Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,Num cands,Num seats
BalSet 1 08 - Corvallis EIGHT C4S8H16,1,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,2,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,15,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,25,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,27,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,32,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,36,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,37,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,39,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,41,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,42,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,57,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,68,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,69,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,70,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,73,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,84,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,96,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,101,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,109,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,110,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,115,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,skipped,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,117,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,120,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Write-in,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,122,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Write-in,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,123,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,124,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,125,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,139,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,150,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,159,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,160,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,161,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,162,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,163,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,165,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,171,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,184,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,196,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
