file,candidate_cloned,numCands,bucklin
/dumgal17-ballots/Nith_dumgal17-09.csv,John DENNIS (Ind),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Niall COWAN (Ind),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,John MARTIN (Lab),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Malcolm JOHNSTONE (Con),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Sandy ROGERSON (Grn),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Elaine MURRAY (Lab),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,David Robert SLATER (Ind),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,John CAMPBELL (SNP),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Alastair WITTS (SNP),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Andrew CROSBIE (Ind),11,['Elaine MURRAY (Lab)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Sean MARSHALL (Lab),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Peter James Gavin MCKAIN (Libtn),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Richard BRODIE (LD),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Allan WEILD (Ind),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Ronnie OGILVIE (Lab),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Ian CARRUTHERS (Con),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Henry MCCLELLAND (SNP),8,['Richard BRODIE (LD)']
/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,Adam WILSON (Lab),6,['Gail MACGREGOR (Con)']
/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,Lisa COURTS (LD),6,['Gail MACGREGOR (Con)']
/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,Doug FAIRBAIRN (Con),6,['Doug FAIRBAIRN (Con)']
/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,Stephen THOMPSON (SNP),6,['Gail MACGREGOR (Con)']
/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,Gail MACGREGOR (Con),6,['Gail MACGREGOR (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Barbara Anne BANNATYNE (Grn),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,John MCCUTCHEON (Ind),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Katie HAGMANN (SNP),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Steve NORRIS (SNP),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Richard OXLEY (Ind),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Matthew CURRY (Lab),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,David INGLIS (Con),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Jim MCCOLM (Ind),10,['David INGLIS (Con)']
/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,Graham NICOL (Con),10,['David INGLIS (Con)']
/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,Paul John TAYLORSON (Grn),7,['Iain HOWIE (Ind)']
/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,Lucy MCKIE (Lab),7,['Iain HOWIE (Ind)']
/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,David JAMES (Con),7,['Iain HOWIE (Ind)']
/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,Iain HOWIE (Ind),7,['Iain HOWIE (Ind)']
/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,George PRENTICE (Ind),7,['Iain HOWIE (Ind)']
/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,John Lachlan YOUNG (SNP),7,['Iain HOWIE (Ind)']
/dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,David MCKIE (Lab),8,['David MCKIE (Lab)']
