rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
3,8,2,10,6,9,1,7,11,4,5,11.0,1.0
11,1,11,11,1,3,2,11,11,11,3,,
5,10,4,8,9,6,7,2,11,3,1,,
8,1,7,4,3,11,9,2,10,6,5,,
11,11,11,11,11,11,11,11,11,11,11,,
11,1,11,11,11,11,11,11,11,11,11,,
6,11,7,5,3,10,8,1,9,4,2,,
5,8,7,3,4,11,1,7,9,2,10,,
3,9,2,10,7,11,5,6,4,8,1,,
8,1,3,6,10,4,9,7,11,5,2,,
6,9,5,8,7,11,4,2,1,3,10,,
9,8,4,6,3,11,10,5,1,7,2,,
2,11,9,11,4,11,8,7,1,11,5,,
10,3,9,4,8,2,7,5,11,6,1,,
9,10,6,7,4,8,5,2,1,3,11,,
2,10,1,9,4,8,7,3,11,5,6,,
4,9,3,8,7,10,1,6,11,5,2,,
4,11,5,11,3,11,11,2,1,11,11,,
11,11,11,2,11,11,1,11,11,11,11,,
11,11,11,3,11,11,11,1,1,11,2,,
1,8,5,10,9,2,3,7,11,4,6,,
11,10,3,9,7,6,4,2,1,5,8,,
11,2,11,11,11,1,11,11,11,11,11,,
11,11,11,11,1,11,11,11,11,11,11,,
11,11,9,2,3,1,1,1,1,1,1,,
3,11,4,6,5,1,10,8,2,7,9,,
8,10,4,2,7,11,9,1,3,6,5,,
1,11,2,4,5,7,8,3,10,6,9,,
5,4,6,11,2,9,10,3,1,7,8,,
11,1,11,2,11,11,2,11,11,11,11,,
4,1,5,2,3,10,9,6,11,7,8,,
9,6,5,7,4,11,1,2,8,3,10,,
3,9,2,5,8,1,4,10,7,6,11,,
2,11,1,10,9,5,8,3,7,6,4,,
4,8,2,11,5,1,3,9,10,7,6,,
6,9,4,8,7,11,10,5,1,3,2,,
3,6,2,5,4,10,8,7,11,9,1,,
6,9,4,8,10,5,2,7,1,11,3,,
11,11,11,11,4,11,3,1,3,2,11,,
6,4,2,7,5,10,3,9,11,8,1,,
11,11,11,11,11,1,11,11,11,11,11,,
10,11,4,1,2,6,3,8,9,7,5,,
5,10,6,9,7,11,8,2,1,4,3,,
11,1,11,11,11,11,11,11,11,11,11,,
6,11,1,7,8,10,9,2,5,4,10,,
8,4,6,9,7,10,3,1,11,5,2,,
9,5,9,5,2,11,6,3,1,4,8,,
4,2,1,5,5,10,11,8,11,9,3,,
2,5,2,5,5,11,4,3,1,3,2,,
6,11,8,9,4,10,5,2,1,4,7,,
11,11,11,11,1,11,11,11,11,11,11,,
2,8,1,9,6,10,4,5,7,3,11,,
