rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
7,12,1,10,3,15,9,8,13,2,6,5,4,14,11,15.0,1.0
10,9,2,11,5,13,12,6,14,1,3,4,7,15,8,,
8,13,1,15,3,14,10,6,12,2,4,5,7,11,9,,
8,10,1,15,2,14,11,7,13,3,6,5,4,12,9,,
9,14,2,8,4,15,11,7,14,1,5,3,6,12,10,,
9,10,1,11,2,15,14,7,12,4,6,5,3,13,8,,
10,9,2,12,1,14,13,11,15,5,4,6,3,8,7,,
8,14,1,7,2,15,12,10,13,5,6,4,3,11,9,,
9,13,2,11,1,12,8,10,14,3,6,5,4,15,7,,
7,13,1,13,2,15,11,9,13,3,6,4,5,10,8,,
15,6,3,15,1,15,11,8,10,2,7,5,4,9,12,,
10,11,2,13,3,15,12,7,14,1,6,5,4,9,8,,
8,12,1,13,3,15,11,10,15,2,6,5,4,9,7,,
12,11,1,14,5,13,8,6,15,2,7,3,4,9,10,,
9,10,1,11,2,15,11,7,14,3,6,4,5,8,10,,
14,7,1,13,2,12,10,8,15,3,6,5,4,9,11,,
8,12,1,11,2,14,13,10,14,3,6,5,4,7,9,,
8,15,3,12,5,11,13,9,10,1,6,4,2,14,7,,
10,14,1,12,2,11,9,7,15,3,4,6,5,8,13,,
7,10,1,13,4,15,11,8,14,2,6,5,3,12,9,,
10,11,3,7,2,14,12,9,15,1,6,4,5,13,8,,
8,9,2,13,6,15,12,7,14,3,1,4,5,10,11,,
10,12,2,13,1,15,11,7,14,3,6,5,4,9,8,,
7,12,1,13,2,15,9,10,14,3,6,4,5,11,8,,
12,6,1,11,2,15,15,9,15,3,5,7,4,10,8,,
9,11,1,12,2,15,10,7,13,3,6,5,4,14,8,,
7,15,1,15,5,15,15,8,15,2,6,4,3,15,9,,
8,10,2,15,3,13,9,7,11,1,6,5,4,12,14,,
13,12,3,14,2,15,11,7,10,1,6,5,4,8,9,,
15,15,15,15,15,15,1,15,3,15,2,15,15,15,15,,
7,10,1,14,2,14,8,9,15,4,6,3,5,12,11,,
8,14,1,12,3,Skipped,9,7,13,2,4,5,6,10,11,,
9,12,4,14,3,15,11,10,13,1,6,5,2,7,8,,
