rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,Num Cands,Num Seats
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,3,50,50,50,50,50,50,50,4,50,1,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50.0,1.0
49,49,49,2,49,5,49,6,49,49,49,49,49,49,49,1,49,49,49,49,49,49,49,7,49,49,49,49,49,49,49,3,50,49,49,49,49,8,49,49,49,49,49,49,49,49,49,49,4,49,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
46,45,21,3,2,12,22,15,25,49,17,41,18,4,20,1,28,40,27,43,10,5,26,14,42,37,35,29,7,44,16,8,38,36,50,13,19,6,48,23,39,31,30,24,9,47,34,33,11,32,,
34,44,11,21,20,3,31,23,2,33,8,46,4,16,18,17,37,45,36,28,35,14,29,15,27,13,7,12,39,41,22,32,1,6,9,30,24,26,48,5,49,19,50,38,43,42,10,40,25,47,,
50,50,50,2,50,7,50,50,50,50,50,50,50,30,1,3,50,50,50,50,50,5,50,4,50,50,50,50,50,50,50,50,50,50,50,50,50,6,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,1,50,50,50,10,50,50,50,6,50,5,50,50,50,3,50,50,50,50,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,9,2,7,3,50,5,50,50,50,50,50,6,50,1,50,50,50,50,50,50,50,4,50,50,8,50,49,50,5,50,50,50,50,50,9,50,48,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,4,50,50,5,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
49,45,33,5,3,1,13,12,6,30,16,29,20,34,14,2,36,47,11,41,38,7,25,4,31,43,23,22,8,48,18,27,35,21,50,32,28,19,24,9,46,15,17,39,44,42,26,40,10,37,,
50,50,50,50,7,3,50,6,10,50,50,50,9,19,2,50,50,50,50,17,8,1,11,14,20,50,13,50,50,50,50,15,4,18,50,5,50,50,50,50,50,50,50,16,50,50,12,50,50,50,,
50,50,50,1,9,50,50,50,9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2,7,4,50,3,18,9,50,8,50,9,50,50,50,50,50,50,50,50,,
28,27,50,13,3,2,37,39,6,35,20,43,1,46,7,31,36,17,26,15,23,4,18,34,21,30,29,10,32,40,12,25,5,42,14,22,38,11,45,16,33,8,44,9,47,48,24,41,19,49,,
15,19,50,8,2,1,50,50,9,14,50,50,4,12,3,50,50,50,6,50,50,11,50,50,4,11,50,50,50,50,50,15,50,10,50,13,50,50,50,50,50,5,50,5,50,50,7,50,50,50,,
50,50,50,8,6,11,12,7,50,49,13,50,50,16,50,4,10,48,50,9,5,17,50,1,50,50,3,50,50,50,50,20,50,50,50,10,50,18,50,15,2,50,50,50,14,50,19,35,50,50,,
41,12,13,2,7,3,33,28,6,36,27,42,34,11,26,1,25,39,18,45,21,4,38,30,16,23,50,47,31,49,43,9,29,19,40,17,46,8,37,14,22,35,44,32,10,48,5,20,24,15,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,3,1,50,50,9,50,10,4,50,2,50,50,50,50,50,5,50,50,50,10,50,1,50,3,50,50,50,50,50,50,50,50,50,50,1,50,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,,
17,37,38,10,8,11,42,9,25,16,24,28,3,39,7,36,33,30,14,23,6,10,13,22,20,15,50,49,26,41,45,35,1,5,2,19,41,43,27,12,34,4,50,18,31,40,29,44,21,32,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
