rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
6,3,4,1,5,8,9,7,2,9.0,1.0
1,2,4,3,6,2,4,4,5,,
2,1,3,3,4,3,3,4,4,,
4,3,1,6,2,7,9,5,8,,
3,2,1,5,2,3,5,8,3,,
1,2,5,5,3,1,5,3,4,,
4,4,5,5,3,4,1,2,3,,
3,1,6,2,7,4,8,5,9,,
3,1,3,3,2,4,2,1,3,,
5,1,3,4,5,6,5,2,9,,
9,9,8,9,2,3,2,1,7,,
8,6,2,7,3,1,9,5,4,,
1,6,3,4,5,2,9,9,6,,
8,9,1,4,3,2,6,5,7,,
1,1,9,2,2,9,9,1,9,,
4,2,3,5,1,3,6,4,2,,
5,3,3,4,1,2,6,7,5,,
3,1,5,1,6,4,8,2,7,,
1,2,5,5,3,5,3,9,2,,
2,4,1,4,3,9,4,2,4,,
9,2,6,7,3,4,8,1,5,,
4,3,1,2,5,8,7,9,6,,
2,1,2,2,3,3,5,3,4,,
2,2,5,9,1,5,9,1,5,,
4,1,5,3,6,8,9,2,7,,
5,7,6,8,2,3,9,1,4,,
3,2,2,3,3,2,4,1,4,,
3,6,9,7,4,5,2,1,8,,
3,4,7,6,8,2,9,5,1,,
8,3,2,6,4,5,9,1,7,,
7,9,1,5,2,4,8,3,6,,
1,5,3,4,7,2,2,6,6,,
7,2,3,1,5,6,9,8,4,,
4,1,2,3,1,3,3,1,3,,
5,4,6,7,2,5,3,1,6,,
8,4,2,5,1,6,9,7,3,,
7,4,3,8,2,6,9,1,5,,
8,1,2,4,6,5,7,9,3,,
