rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
4,5,10,8,6,9,3,2,7,1,10.0,1.0
10,10,10,10,10,10,10,10,10,1,,
10,4,6,5,9,8,7,2,3,1,,
3,4,6,4,4,8,8,6,5,7,,
1,10,5,8,9,4,3,2,6,7,,
2,4,9,10,7,8,5,1,3,6,,
6,10,5,4,9,8,7,1,2,3,,
9,8,1,5,3,4,6,10,7,2,,
7,5,3,4,8,1,6,2,10,9,,
1,9,5,2,7,3,8,10,5,4,,
6,9,4,3,10,5,7,2,1,8,,
6,7,9,3,5,10,4,1,8,2,,
6,10,1,5,9,8,7,10,3,2,,
2,9,4,6,8,5,7,1,3,10,,
3,2,7,10,5,9,4,1,6,8,,
3,9,9,9,9,9,4,9,1,2,,
6,10,8,7,2,9,1,4,3,5,,
2,7,8,9,10,4,1,10,5,3,,
5,7,9,10,8,2,6,1,3,6,,
10,10,10,10,4,10,10,10,10,1,,
8,9,5,7,10,4,6,2,1,5,,
6,10,8,4,7,1,9,5,2,2,,
3,7,4,1,8,10,6,9,5,2,,
7,6,8,4,3,10,9,2,5,1,,
8,7,8,6,9,10,7,4,1,7,,
5,10,8,2,9,4,7,1,6,3,,
9,10,5,2,8,3,7,6,1,4,,
3,8,7,5,10,9,6,1,2,4,,
7,8,5,4,10,1,6,9,2,3,,
10,7,6,2,4,3,5,10,1,10,,
10,10,10,10,10,10,10,10,10,10,,
10,7,3,5,9,2,4,8,6,1,,
9,8,7,3,5,4,6,1,10,2,,
10,10,10,10,10,10,10,1,10,2,,
8,9,6,3,2,5,1,4,10,7,,
8,1,7,10,3,10,10,1,5,5,,
9,8,3,5,2,6,1,7,4,7,,
9,4,6,3,5,10,2,7,1,8,,
10,8,9,6,4,7,5,3,1,2,,
9,8,7,2,5,3,6,4,1,10,,
5,10,8,6,10,4,2,1,7,9,,
8,6,10,3,9,7,4,5,2,1,,
3,10,10,10,10,1,2,10,10,10,,
10,10,10,6,4,10,3,1,2,5,,
10,10,10,10,7,10,1,10,10,10,,
5,10,6,8,9,7,3,2,4,1,,
4,9,8,10,1,6,2,7,3,5,,
9,8,6,5,7,10,9,2,9,1,,
6,9,1,7,10,8,4,2,5,3,,
1,10,4,3,10,10,5,10,7,7,,
3,4,7,2,9,6,8,1,5,10,,
1,5,7,6,10,9,4,3,8,2,,
8,9,7,1,10,4,6,2,3,5,,
5,7,1,8,2,3,4,9,10,6,,
8,2,3,6,9,4,1,7,5,10,,
5,6,4,8,10,9,1,7,3,10,,
10,3,5,1,4,9,3,6,8,7,,
5,9,7,1,10,6,3,2,4,8,,
5,8,4,6,9,1,10,3,2,7,,
8,6,9,7,5,4,3,1,10,2,,
10,10,10,10,10,10,10,10,10,10,,
10,10,10,10,2,10,10,1,10,10,,
2,6,7,5,3,1,10,8,9,4,,
