rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
3,3,7,6,2,1,3,7.0,1.0
2,4,5,3,2,1,2,,
4,6,7,2,5,3,1,,
1,6,7,3,2,5,4,,
3,4,6,2,1,7,5,,
4,5,7,7,2,1,3,,
Skipped,Skipped,Skipped,2,1,3,Skipped,,
4,5,7,1,3,2,4,,
Skipped,Skipped,7,1,Skipped,2,Skipped,,
7,5,7,4,2,1,3,,
7,7,1,5,7,6,7,,
4,5,7,1,3,6,2,,
7,7,7,1,7,7,1,,
7,7,7,7,2,1,7,,
3,6,7,1,5,2,4,,
7,7,7,1,7,1,7,,
3,4,7,2,5,1,6,,
3,7,7,7,7,1,2,,
7,7,1,3,3,2,7,,
7,7,7,2,7,1,7,,
5,4,7,6,3,2,1,,
Skipped,Skipped,Skipped,Skipped,2,1,Skipped,,
6,5,7,1,4,1,6,,
4,6,7,2,5,1,3,,
7,7,2,6,7,5,1,,
7,7,1,5,6,7,7,,
7,7,7,7,7,7,7,,
4,6,7,2,3,5,1,,
2,5,7,1,3,1,4,,
1,6,7,2,3,5,4,,
2,Skipped,Skipped,3,Skipped,1,Skipped,,
7,7,7,7,2,1,7,,
1,7,7,7,4,3,2,,
