rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,Num Cands,Num Seats
68,68,79,68,79,4,68,7,79,68,5,68,68,68,68,68,68,68,68,8,68,68,6,79,68,1,68,68,68,68,68,79,68,68,10,3,68,68,68,68,2,68,68,79,68,68,68,68,68,68,68,68,68,68,68,68,11,68,68,68,79,68,68,68,68,69,68,68,68,68,79,68,68,68,79,68,68,68,68,79.0,1.0
79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,6,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,2,79,79,79,79,79,7,79,79,79,79,79,79,79,79,1,79,3,79,79,79,79,10,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,9,79,4,8,79,,
79,79,79,79,79,9,79,79,79,79,79,79,79,4,79,2,6,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,10,79,79,79,5,79,79,1,79,79,79,79,7,79,79,79,79,3,79,79,79,79,79,79,79,79,79,8,79,79,79,,
76,76,76,76,76,76,2,76,76,76,76,76,76,1,76,76,76,77,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,4,76,76,76,76,76,3,76,4,76,76,76,76,76,76,76,76,3,76,76,76,76,5,76,76,76,2,76,76,76,76,76,79,76,76,3,76,76,76,76,76,76,76,76,4,,
79,79,79,79,79,2,79,79,79,79,1,79,79,79,79,3,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,1,79,79,79,79,2,79,3,79,79,79,3,79,79,79,79,79,79,79,,
11,72,50,69,47,14,13,36,61,57,44,25,24,4,7,77,48,51,12,63,60,76,15,78,27,49,3,56,16,59,45,20,19,67,2,21,34,54,61,65,6,17,10,52,39,66,37,71,18,38,64,33,62,79,22,31,73,41,28,26,1,53,75,23,40,32,46,29,43,9,68,74,55,35,70,30,8,42,5,,
79,79,79,79,79,6,79,79,79,79,79,79,79,8,79,1,79,79,79,79,79,79,79,79,79,7,79,79,4,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,10,79,9,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,5,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,,
3,79,79,79,79,79,3,79,79,79,2,79,79,5,3,79,79,79,79,79,3,79,79,79,5,4,79,79,79,79,79,3,79,79,4,79,79,79,79,79,4,79,3,79,79,79,79,2,79,1,79,79,2,5,79,4,2,79,79,79,3,79,79,79,79,79,79,1,79,79,79,79,79,79,79,4,79,2,4,,
79,79,79,79,79,79,2,79,79,79,1,12,79,9,13,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,6,79,79,79,3,79,79,7,5,10,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,11,79,79,79,79,79,79,79,79,79,79,4,79,8,,
