rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
3,7,7,7,1,7,2,7.0,1.0
4,6,5,3,1,2,7,,
7,7,2,7,1,7,3,,
7,7,2,5,1,4,2,,
1,7,3,4,2,5,6,,
2,3,7,1,7,1,3,,
1,7,7,3,2,6,7,,
6,4,7,3,1,5,2,,
4,6,5,7,2,3,1,,
7,7,1,7,1,3,5,,
6,3,1,7,2,4,5,,
5,2,3,6,7,1,4,,
7,3,4,7,1,5,2,,
4,6,3,2,1,5,7,,
7,7,4,4,3,4,1,,
1,2,3,6,7,5,4,,
4,7,3,6,1,5,2,,
5,7,2,7,1,7,4,,
3,2,7,5,1,4,6,,
1,6,3,7,2,4,7,,
3,7,2,2,1,3,4,,
1,5,4,7,6,2,3,,
7,7,1,3,1,4,2,,
1,7,4,7,5,2,3,,
7,7,4,7,1,3,2,,
5,7,2,6,1,3,4,,
2,7,4,3,7,1,7,,
1,3,6,5,3,4,2,,
4,7,3,7,1,2,6,,
1,6,3,3,2,7,7,,
1,7,7,7,7,2,7,,
2,7,5,7,1,3,4,,
7,7,2,7,2,7,7,,
2,7,3,7,1,7,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,7,3,3,1,6,2,,
7,7,4,1,1,5,1,,
