rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
6,11,20,13,18,4,1,17,10,2,19,7,12,16,3,15,9,8,14,5,20.0,1.0
18,14,3,1,6,8,9,13,15,20,17,10,19,7,12,4,5,11,2,16,,
10,3,7,8,9,17,11,5,13,6,19,18,2,15,1,20,4,14,12,16,,
18,14,8,2,4,9,6,15,13,12,19,11,17,7,20,1,10,5,3,16,,
20,11,2,3,19,13,8,4,5,10,12,18,16,17,1,14,6,7,9,15,,
4,1,8,10,3,15,13,14,17,11,9,2,7,5,6,12,19,16,18,20,,
19,2,16,20,9,3,18,5,12,10,15,11,6,14,1,4,8,7,13,17,,
8,9,4,3,17,20,16,2,10,7,13,1,18,19,5,12,6,14,11,15,,
18,14,6,2,4,8,5,12,17,16,13,11,15,9,20,1,10,7,3,19,,
6,1,12,7,15,5,17,13,11,2,18,4,16,19,10,3,14,9,8,20,,
12,1,4,9,13,17,16,2,15,8,18,7,3,19,20,5,11,6,14,10,,
18,7,2,6,17,20,16,3,10,4,9,15,13,12,1,19,8,5,11,14,,
10,8,2,7,16,18,19,14,9,5,12,17,6,4,1,11,15,13,3,20,,
4,10,14,12,19,2,1,11,13,8,20,3,6,17,5,18,9,16,15,7,,
19,6,5,2,10,11,7,15,9,16,20,8,14,18,1,12,4,3,17,13,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
16,3,2,20,15,19,18,8,6,10,7,13,12,11,1,14,9,5,4,17,,
20,14,3,4,5,7,8,17,15,13,10,11,18,6,17,1,12,9,2,19,,
16,11,13,8,15,19,20,12,17,10,7,6,4,3,2,18,9,5,14,1,,
10,8,6,5,15,17,9,7,4,11,12,14,19,18,1,16,2,13,3,20,,
10,11,5,7,17,15,19,16,14,9,13,4,3,12,1,18,6,8,2,20,,
15,4,2,7,3,19,12,9,10,6,13,18,16,17,1,11,5,8,14,20,,
20,6,5,20,20,7,20,9,20,10,4,12,1,8,2,13,11,3,20,14,,
7,11,2,13,12,18,16,5,15,10,9,19,8,3,1,17,4,6,14,20,,
15,2,2,10,19,6,9,12,14,18,13,17,4,16,1,8,4,11,7,20,,
20,6,10,8,13,19,18,11,16,7,4,17,3,1,2,14,9,12,5,15,,
4,3,2,10,8,20,20,9,7,20,20,20,11,20,6,20,5,12,1,13,,
15,5,2,9,14,8,3,13,20,4,10,16,20,20,1,11,18,17,19,12,,
20,11,3,15,19,14,12,8,6,9,7,5,19,10,4,19,2,1,14,19,,
17,7,6,18,14,11,12,8,3,9,4,15,16,2,20,13,5,10,1,19,,
10,7,2,20,20,20,20,12,6,3,8,20,20,11,1,20,5,9,20,20,,
20,2,3,20,20,6,7,9,20,5,11,20,20,20,1,8,10,4,20,20,,
18,10,3,19,17,20,16,5,6,9,12,8,13,14,1,15,2,7,4,11,,
10,2,4,11,8,16,20,3,19,6,7,13,15,17,1,14,9,5,12,18,,
5,10,20,11,18,3,1,14,12,4,17,6,8,16,2,19,7,13,15,9,,
19,6,4,16,14,17,18,5,3,7,10,13,11,8,2,15,1,9,12,20,,
6,4,18,5,10,8,15,12,17,19,14,3,9,1,2,16,13,11,7,20,,
20,8,1,5,15,12,3,4,19,10,16,11,13,14,6,17,7,2,18,9,,
11,10,7,2,8,15,13,6,12,9,14,19,17,1,4,18,3,20,5,16,,
