rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,rank114,rank115,rank116,rank117,rank118,rank119,rank120,rank121,rank122,rank123,rank124,rank125,rank126,rank127,rank128,rank129,rank130,rank131,rank132,rank133,Num Cands,Num Seats
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,1,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,3,133,133,133,133,133,133,5,7,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133.0,1.0
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
71,85,116,35,51,58,5,55,112,18,66,12,118,27,49,30,72,29,1,39,14,111,11,48,66,62,112,1,84,125,32,95,50,49,57,123,122,121,124,60,132,85,20,85,13,114,56,21,99,9,119,22,16,112,101,31,17,85,95,130,126,28,129,71,94,71,66,111,113,26,19,23,95,45,113,36,127,25,52,84,1,111,85,115,85,85,15,47,40,120,4,6,85,33,128,131,24,43,37,53,85,96,8,63,67,43,42,95,66,66,71,95,7,85,95,44,46,133,117,100,59,28,95,114,100,41,34,10,38,95,112,85,54,,
133,133,133,133,133,133,133,133,3,133,133,4,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,1,133,133,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,10,133,133,12,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,13,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,11,,
133,133,12,133,133,133,133,5,133,133,133,133,133,10,133,133,133,133,133,15,133,133,1,133,133,133,4,133,9,3,133,133,133,2,133,133,133,133,133,6,133,6,133,133,133,133,133,133,13,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,11,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,32,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,14,133,133,133,133,133,133,133,16,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,6,133,133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,5,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,2,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,4,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,3,133,133,10,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,7,133,133,133,133,133,133,1,133,133,133,133,11,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,8,133,133,133,133,133,10,133,133,5,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,,
133,22,20,133,133,133,25,16,133,133,2,12,133,133,133,133,133,133,133,133,133,133,15,133,133,133,26,133,133,3,1,133,133,133,133,133,133,21,133,11,13,133,9,133,133,133,133,17,5,133,133,133,133,14,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,13,8,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,10,133,133,18,133,19,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,,
133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,11,133,133,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,8,133,133,133,133,133,1,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,9,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,8,133,133,133,4,9,6,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,7,133,133,133,10,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,2,133,11,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,13,133,133,133,133,133,133,133,133,12,133,133,133,133,133,133,1,10,4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,5,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,10,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,23,133,9,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,,
133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,8,133,133,133,133,133,4,133,133,133,7,133,133,5,,
4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,12,133,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,5,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,8,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,8,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,4,133,133,133,133,,
133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,7,133,133,133,133,1,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,2,133,133,133,133,3,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,2,3,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
132,132,132,132,132,132,132,132,9,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,7,132,132,132,132,132,132,132,132,6,132,132,132,3,132,132,132,132,5,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,2,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,1,132,132,132,132,133,132,132,132,132,8,132,132,132,4,132,132,132,,
133,133,133,133,6,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,5,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,1,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,4,133,133,133,133,8,133,133,133,133,133,133,133,3,133,133,133,2,133,,
133,133,133,133,133,133,133,133,11,133,133,133,133,133,133,133,133,133,13,4,133,12,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,5,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,14,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,10,133,133,133,133,133,133,15,6,133,133,133,133,3,,
133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,8,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,133,,
133,133,133,133,2,133,133,133,8,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,1,133,4,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,,
79,53,40,57,26,125,124,35,121,93,66,55,72,39,64,97,52,36,1,20,121,11,38,82,25,30,86,9,13,61,112,81,85,127,19,4,95,16,128,69,130,14,82,90,32,29,5,59,71,58,83,31,10,120,34,50,33,28,123,80,65,62,121,67,84,18,37,100,21,24,117,89,91,3,75,108,47,126,107,80,8,122,63,93,15,89,46,22,79,48,23,17,105,7,54,121,89,11,70,51,27,106,2,94,131,93,56,42,114,6,44,109,49,60,99,129,43,133,45,74,110,75,113,104,111,73,115,101,41,103,76,96,132,,
133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,8,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,14,6,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,1,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,6,133,3,133,133,133,,
133,16,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,15,133,16,133,14,133,133,9,14,133,133,133,133,133,133,18,7,133,133,133,133,8,133,12,1,4,133,133,20,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,17,133,133,133,133,133,133,21,133,133,133,11,133,133,133,133,133,133,6,133,133,14,133,133,133,133,133,133,133,133,133,133,19,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,2,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,15,1,133,133,133,133,133,13,133,133,133,12,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,10,133,133,133,133,133,14,133,133,133,8,4,133,133,133,133,133,133,133,133,133,133,133,11,133,133,133,133,133,,
