rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
5,8,6,7,3,2,10,1,3,9,10.0,1.0
2,8,3,7,6,1,9,4,5,10,,
2,10,6,10,4,7,1,3,5,10,,
6,4,5,8,9,3,2,1,10,7,,
2,10,1,10,10,10,4,5,3,10,,
1,7,6,9,4,5,3,2,8,10,,
1,2,6,4,7,3,9,10,5,8,,
1,10,10,10,10,3,4,2,10,10,,
3,1,9,10,6,5,2,4,7,8,,
7,10,4,8,5,3,1,2,6,9,,
4,9,2,1,6,5,3,8,7,10,,
1,10,10,10,10,10,2,10,10,10,,
8,9,5,10,6,3,2,1,4,7,,
9,6,4,5,7,1,2,3,8,10,,
3,10,10,10,9,10,1,2,9,10,,
5,7,10,4,2,8,6,1,3,9,,
8,9,10,10,10,2,3,1,4,10,,
2,8,9,10,4,6,1,3,7,5,,
9,9,9,10,9,3,5,1,10,10,,
5,9,4,10,8,1,2,3,7,6,,
4,5,8,10,3,9,7,6,1,2,,
2,6,7,10,8,4,1,3,5,9,,
10,8,3,8,10,9,8,10,9,2,,
2,7,8,10,9,3,1,4,5,6,,
5,6,2,9,10,4,1,8,7,3,,
6,8,3,5,7,1,2,4,9,10,,
10,10,10,10,10,10,1,2,10,10,,
3,6,4,10,9,7,2,1,8,5,,
4,8,2,10,6,5,1,3,7,9,,
5,7,9,10,4,3,1,2,6,8,,
3,10,10,10,1,4,6,5,2,10,,
8,3,10,9,5,7,4,1,6,2,,
2,7,10,8,5,3,4,1,9,6,,
3,7,4,10,9,2,1,5,6,8,,
10,10,10,10,10,1,10,2,10,10,,
10,10,10,10,10,10,1,2,10,10,,
1,10,7,10,4,3,2,6,5,10,,
