rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
17,17,17,2,3,17,17,17,1,17,17,17,17,17,17,17,4,17.0,1.0
17,6,5,1,2,11,16,12,7,8,3,4,15,10,9,14,13,,
17,17,8,17,17,4,9,10,7,5,17,6,1,3,17,17,2,,
17,17,17,17,17,1,17,17,17,17,17,2,3,17,17,17,17,,
17,2,17,3,17,17,17,17,17,17,4,17,17,17,17,1,17,,
13,8,7,9,6,15,2,17,5,10,14,4,1,12,11,16,3,,
5,17,1,17,17,17,5,5,1,17,17,1,2,2,17,5,2,,
1,3,15,14,14,14,17,14,4,14,1,5,17,2,9,6,5,,
17,4,9,6,4,14,17,17,1,7,11,10,3,8,2,13,12,,
5,4,3,5,5,3,4,4,4,3,5,1,2,3,5,5,5,,
7,14,16,13,11,3,9,5,2,8,15,6,4,10,17,12,1,,
17,17,17,17,5,17,3,17,1,17,17,2,4,17,17,17,17,,
17,17,14,17,17,17,17,17,1,17,17,16,15,17,17,17,13,,
7,2,9,8,4,14,17,15,5,3,13,9,1,12,9,17,6,,
12,8,14,11,10,13,2,4,6,9,16,3,1,7,15,17,5,,
17,5,17,3,1,17,17,17,17,17,17,17,2,17,17,17,17,,
17,6,2,1,8,13,11,10,9,7,16,5,3,15,14,12,4,,
6,6,5,6,6,6,1,6,6,6,6,4,2,6,6,6,3,,
17,4,4,2,6,17,17,10,4,10,5,6,10,17,1,3,2,,
16,2,6,1,9,15,14,8,17,10,13,12,7,11,5,4,3,,
11,4,2,6,17,12,16,9,10,5,13,3,1,7,14,15,8,,
1,17,17,17,17,17,17,17,17,17,1,17,17,3,17,17,17,,
1,17,17,17,17,17,17,17,4,17,2,17,17,3,17,17,17,,
17,8,9,17,2,17,17,6,3,7,17,10,5,17,4,17,1,,
15,5,4,8,6,16,17,11,2,9,7,3,10,14,12,13,1,,
8,5,6,1,9,12,13,14,17,2,11,10,16,15,4,3,7,,
15,11,13,14,12,3,5,6,7,2,17,1,4,9,10,17,8,,
10,1,10,1,1,10,10,10,17,1,5,17,17,10,1,5,5,,
17,9,3,10,6,17,11,7,4,17,9,6,1,17,17,17,2,,
17,17,17,17,17,2,17,17,17,17,17,1,17,17,17,17,17,,
17,2,17,3,17,17,17,17,17,17,4,17,17,17,17,1,17,,
17,7,11,11,12,17,17,4,8,11,6,1,5,2,17,17,3,,
16,9,13,10,5,14,17,8,3,6,4,1,7,12,15,11,2,,
15,12,17,10,9,13,11,14,16,5,4,2,3,8,6,7,1,,
13,3,16,4,7,17,15,14,6,8,10,1,5,12,11,9,2,,
1,3,3,17,3,2,2,3,2,2,3,17,1,2,16,16,17,,
1,7,11,12,8,17,16,13,5,15,1,3,6,4,9,14,10,,
17,17,17,17,2,17,17,17,4,17,17,17,1,17,17,17,3,,
17,1,17,2,17,17,17,17,17,17,17,17,17,17,17,17,3,,
14,17,8,1,2,6,13,12,15,5,7,16,4,11,9,10,3,,
3,4,17,6,5,14,10,12,8,13,2,16,9,1,11,15,7,,
14,3,11,4,2,17,8,10,17,9,13,17,7,6,12,5,1,,
17,17,17,17,17,5,4,3,17,17,17,17,1,17,17,17,2,,
17,17,3,17,17,17,17,17,17,17,17,2,1,2,17,17,17,,
16,7,1,5,9,17,14,13,2,6,15,8,3,11,10,12,4,,
8,2,11,1,5,12,17,14,3,6,10,15,13,7,4,17,9,,
