rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,Num Cands,Num Seats
13,21,3,32,4,11,24,28,27,10,26,19,20,23,30,16,1,2,17,9,29,15,25,14,8,22,7,18,33,12,31,5,6,33.0,1.0
19,21,3,31,5,14,13,32,10,12,18,22,23,29,28,16,7,2,15,8,27,20,24,11,9,26,4,30,33,17,25,1,6,,
18,27,6,30,7,1,15,26,17,13,20,25,29,22,33,11,5,4,16,3,21,19,24,10,9,23,14,31,32,8,28,2,12,,
18,30,5,32,3,8,6,26,22,12,14,27,20,23,25,21,2,4,16,15,28,19,33,10,13,17,7,29,31,11,24,1,9,,
20,29,1,31,9,7,17,32,18,13,30,21,11,24,25,15,2,5,19,14,22,16,27,8,3,23,12,28,33,6,26,4,10,,
17,15,1,32,5,18,3,31,30,11,20,14,22,28,12,29,2,10,26,19,16,13,24,21,23,6,8,25,33,9,27,7,4,,
33,33,3,33,33,33,33,33,33,33,33,33,5,33,33,33,6,2,33,33,33,33,33,4,33,33,33,33,33,33,33,1,33,,
18,29,2,31,3,12,23,33,11,14,20,19,26,22,30,9,1,5,8,15,25,21,24,7,6,27,13,28,32,16,17,10,4,,
18,21,1,31,4,11,15,29,5,10,30,17,21,21,33,13,2,3,20,7,19,21,21,16,8,21,6,21,32,12,21,14,9,,
23,25,1,27,7,14,10,32,24,6,20,19,18,26,31,15,2,5,21,13,30,17,22,8,4,16,12,29,33,11,28,9,3,,
33,33,5,33,6,33,33,33,33,33,33,4,4,33,33,33,3,33,33,33,33,7,6,33,33,33,33,33,33,4,1,33,2,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,,
17,20,2,33,3,13,4,24,33,14,19,33,29,27,16,6,5,10,20,7,28,11,20,12,15,27,18,30,27,9,27,8,1,,
24,20,1,33,4,7,12,17,8,19,26,10,14,32,18,31,3,2,25,15,30,11,21,16,5,29,9,22,27,13,28,23,6,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,,
19,29,1,31,7,9,18,30,17,11,20,15,23,24,32,14,2,4,16,6,27,21,22,13,10,25,5,28,33,12,26,8,3,,
17,26,3,30,4,10,13,31,28,16,20,15,24,22,29,11,1,2,21,14,25,19,18,8,6,27,9,23,33,12,32,5,7,,
32,32,33,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
19,27,2,32,12,9,18,31,10,15,21,17,22,25,30,16,1,3,14,4,29,20,23,13,8,28,6,24,33,11,26,7,5,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
14,24,1,30,6,9,12,31,20,17,16,15,25,26,33,19,2,7,18,8,29,22,27,11,13,23,5,28,32,4,21,3,10,,
14,4,30,3,32,9,13,17,24,6,7,29,5,27,21,18,19,33,15,23,11,1,20,10,28,26,22,25,8,12,2,16,31,,
23,24,2,32,8,19,3,30,16,9,11,14,28,25,27,21,1,5,22,15,31,13,10,7,4,26,17,29,33,12,20,6,18,,
9,19,4,20,33,19,4,2,30,8,19,33,30,30,8,30,19,30,19,30,3,30,19,4,30,30,30,19,19,30,19,1,19,,
6,26,33,33,33,3,9,30,33,17,11,33,33,23,23,33,1,33,28,33,31,33,19,2,11,33,8,14,32,33,15,5,7,,
22,24,1,30,6,13,5,31,15,18,21,16,20,27,32,14,3,8,17,9,25,23,19,2,11,29,10,28,33,12,26,4,7,,
19,21,2,33,4,7,23,31,10,8,22,16,25,27,24,15,3,5,20,11,30,14,17,18,1,29,9,28,32,13,26,6,12,,
19,26,1,31,6,9,17,32,10,12,21,18,23,29,30,13,2,4,14,3,24,20,22,16,7,27,8,25,33,15,28,11,5,,
23,27,1,32,10,9,13,29,14,11,19,18,21,28,31,16,2,4,15,5,22,20,25,12,7,24,3,30,33,17,26,8,6,,
21,27,2,32,5,11,17,26,12,16,20,19,24,29,31,14,1,4,15,6,22,18,23,9,8,28,10,25,33,13,30,7,3,,
13,26,3,28,5,17,7,32,19,8,14,22,18,25,29,15,9,4,16,11,30,21,27,12,1,23,20,24,33,6,31,2,10,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,4,33,5,33,3,33,33,8,33,33,33,33,33,33,6,33,33,11,33,33,33,2,10,33,9,33,33,7,33,1,33,,
16,21,2,31,12,8,23,29,14,15,27,11,19,22,33,7,3,6,17,5,28,20,26,18,4,24,10,25,32,13,30,9,1,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
