rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
2,4,11,3,11,1,11,11,11,5,11,11.0,1.0
1,2,5,2,2,1,2,4,4,5,1,,
11,11,11,4,1,2,11,3,11,5,11,,
3,4,5,6,1,10,7,9,11,2,8,,
4,3,8,5,1,2,7,11,10,10,6,,
1,2,2,2,1,2,2,2,3,3,1,,
8,4,9,7,2,3,10,5,6,11,1,,
3,1,11,9,2,4,8,6,5,7,10,,
3,2,11,8,4,1,9,5,10,7,6,,
3,4,11,11,2,1,11,11,11,11,11,,
3,4,7,9,2,1,11,10,5,6,8,,
4,5,6,7,1,2,3,9,10,8,11,,
2,3,11,4,1,6,5,11,11,7,11,,
5,6,1,7,2,3,11,8,10,9,4,,
11,2,9,3,4,1,6,8,11,10,7,,
11,2,11,11,11,1,11,11,11,4,11,,
1,4,11,2,3,1,11,4,11,4,3,,
3,4,7,8,1,2,9,5,11,10,6,,
3,8,5,7,2,1,11,9,9,4,6,,
1,3,5,2,4,1,4,2,5,2,3,,
5,2,6,4,1,11,11,11,11,3,11,,
1,6,5,2,4,2,7,6,6,7,3,,
4,3,2,11,5,1,11,11,11,11,11,,
6,2,1,11,4,5,3,11,11,11,11,,
1,6,5,11,3,4,9,7,10,8,2,,
3,4,11,7,1,1,11,6,11,5,11,,
1,3,11,11,11,2,11,5,11,4,11,,
11,5,11,11,11,2,11,4,1,3,11,,
1,6,4,8,1,1,5,11,11,7,11,,
1,2,6,6,5,1,11,11,5,10,10,,
2,3,7,10,4,1,8,11,9,6,5,,
3,5,8,11,6,1,4,7,11,11,2,,
2,11,11,11,3,1,11,5,4,11,11,,
3,6,8,9,1,1,9,7,11,5,4,,
1,4,7,6,5,2,3,10,11,8,9,,
3,4,8,11,1,2,7,6,9,10,5,,
1,3,10,4,7,5,9,6,8,2,11,,
7,5,6,4,1,2,8,10,9,3,11,,
2,11,11,3,4,5,11,11,11,1,11,,
