rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
20,8,6,20,18,20,2,12,7,10,20,3,20,20,1,9,11,19,20,5,20.0,1.0
20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,1,20,20,,
2,4,3,20,20,20,8,20,1,20,20,20,5,20,6,20,20,20,7,20,,
20,20,5,2,20,20,7,20,1,20,20,20,6,20,4,20,20,20,20,3,,
4,20,20,20,20,5,20,6,20,8,20,9,3,20,2,20,20,1,7,20,,
20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,1,20,20,20,20,,
17,12,13,15,19,4,2,14,8,20,3,5,1,11,6,9,10,7,18,16,,
1,20,20,20,20,20,1,20,20,20,20,1,20,20,1,20,1,20,20,20,,
1,8,1,10,16,13,2,19,5,12,11,20,9,4,18,15,3,1,14,7,,
9,12,1,7,20,17,5,8,3,18,14,4,19,11,2,15,6,13,10,16,,
1,15,5,3,19,15,17,15,15,20,15,2,15,15,18,15,4,6,15,16,,
1,2,1,1,20,20,1,20,3,20,3,20,1,20,20,20,1,1,4,20,,
1,1,6,2,5,4,1,6,3,2,4,1,5,7,3,2,3,3,2,6,,
7,10,16,8,20,20,6,11,3,5,13,1,15,9,2,4,14,20,12,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,,
20,16,11,12,8,10,18,5,2,7,13,1,6,4,19,14,15,17,3,9,,
20,7,4,20,20,20,20,20,20,20,20,20,6,20,20,2,5,1,3,20,,
8,14,4,3,20,17,6,7,2,10,12,1,18,15,9,5,13,16,11,19,,
9,10,2,6,19,15,3,18,1,18,19,20,1,14,3,7,5,3,13,13,,
11,17,18,3,15,20,8,1,16,12,6,10,5,20,4,14,19,13,20,2,,
12,5,2,3,8,17,14,13,1,15,11,6,19,20,7,9,16,10,4,18,,
8,18,19,18,14,19,7,11,19,15,18,2,19,5,20,19,19,17,1,19,,
4,9,17,12,15,19,2,6,18,10,3,4,14,16,1,13,8,7,11,20,,
4,11,7,5,12,15,2,6,6,10,16,4,2,1,3,9,8,1,7,6,,
20,20,4,15,20,5,2,8,1,20,20,14,20,20,3,20,20,11,18,20,,
20,4,20,20,4,20,20,5,20,4,20,20,20,20,20,20,1,20,20,20,,
7,15,10,11,19,12,1,5,17,13,6,3,9,20,16,4,2,8,18,14,,
20,3,20,20,1,20,20,3,20,20,20,20,3,1,20,20,20,20,20,3,,
14,10,3,2,19,18,8,9,6,20,11,7,16,12,4,5,17,15,13,1,,
20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,,
3,13,10,12,18,15,5,12,14,16,6,4,9,19,2,8,7,1,20,17,,
6,3,5,14,7,18,17,9,8,4,12,10,2,19,16,8,17,16,1,15,,
20,20,20,20,20,20,20,1,2,20,20,20,20,20,20,20,20,20,20,20,,
3,19,15,14,10,6,11,5,13,9,17,8,2,20,4,18,16,1,7,12,,
10,8,6,11,13,17,15,7,1,14,12,5,20,19,9,4,3,16,2,18,,
20,5,1,20,12,7,20,20,20,13,9,20,4,11,20,10,2,3,6,8,,
10,20,2,20,20,15,3,10,2,1,12,20,20,7,4,20,20,20,7,20,,
20,7,3,20,1,14,20,20,6,12,11,20,8,2,20,9,13,20,10,5,,
20,4,2,10,3,11,20,16,20,1,8,20,13,6,20,15,12,14,9,7,,
5,4,20,20,20,20,1,20,20,20,20,20,20,2,20,20,20,20,3,20,,
