rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,Num Cands,Num Seats
1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,24,2,24,24,24,24,24,24,24.0,1.0
24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,4,3,24,1,24,24,24,24,24,,
1,21,13,13,22,24,3,13,13,20,19,19,19,19,13,13,19,23,4,19,13,2,13,13,,
17,24,8,3,20,22,23,12,13,21,15,2,7,5,11,18,16,19,10,9,4,1,14,6,,
21,18,6,17,24,13,23,7,11,4,16,9,19,3,14,2,12,20,22,1,8,15,5,10,,
12,22,4,13,19,21,20,9,16,14,8,1,6,3,11,7,5,23,18,15,17,2,24,10,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,3,24,24,24,24,3,24,1,24,2,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,24,1,24,2,24,24,24,24,24,24,24,1,24,24,,
10,22,15,18,14,11,17,16,1,4,3,2,6,5,7,24,13,8,19,21,20,23,9,12,,
1,17,16,10,18,11,20,5,7,22,8,23,21,14,4,19,9,2,6,15,24,13,3,12,,
20,19,5,10,22,2,16,17,4,11,23,13,1,3,12,9,15,24,14,18,6,21,8,7,,
1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,24,24,24,24,24,,
24,24,3,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,2,24,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,3,24,10,24,12,24,24,7,24,1,24,13,24,5,,
9,19,14,5,22,21,18,23,6,24,2,11,1,16,7,17,15,20,13,8,3,12,4,10,,
1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,24,24,24,24,24,24,,
4,23,22,22,1,22,22,22,22,22,3,22,22,22,22,24,22,22,2,22,22,22,22,22,,
1,3,8,23,18,10,21,11,22,2,6,7,16,9,15,19,4,14,20,12,13,24,17,5,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,1,24,24,24,24,24,,
22,9,1,17,14,11,13,4,18,12,15,7,2,10,16,21,5,23,19,6,8,20,3,24,,
1,24,3,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,2,24,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,24,2,24,3,24,24,24,24,24,24,24,1,24,24,,
11,10,8,13,7,15,5,24,2,21,16,3,1,20,18,17,9,12,6,23,19,14,4,22,,
4,24,24,24,24,24,24,24,24,24,24,2,24,3,24,24,24,6,24,24,24,1,24,5,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,2,24,24,24,24,24,24,,
4,11,13,24,1,7,6,11,24,5,24,11,24,11,24,2,24,3,24,24,11,11,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
