rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
5,10,4,8,1,2,6,3,9,7,10.0,1.0
1,4,10,10,2,10,10,5,10,3,,
2,3,7,9,1,6,4,10,5,8,,
3,7,9,10,2,6,4,8,5,1,,
3,4,2,6,1,8,10,7,5,9,,
4,2,9,3,1,5,7,6,8,10,,
8,3,10,7,5,2,1,6,4,9,,
2,4,3,10,1,10,10,10,6,5,,
8,7,10,3,2,1,9,5,4,6,,
4,10,3,10,1,10,2,10,10,10,,
2,8,9,7,5,10,4,6,1,3,,
1,6,8,5,2,10,3,9,4,7,,
3,5,4,8,1,9,10,7,6,2,,
3,8,6,2,1,4,7,5,9,10,,
1,5,6,3,2,7,8,10,4,10,,
4,6,2,10,1,10,10,10,3,5,,
5,6,3,10,1,7,10,10,4,2,,
7,3,6,10,1,9,8,5,4,2,,
1,10,4,10,2,10,5,10,3,6,,
5,3,9,10,1,6,4,8,2,7,,
2,10,10,10,1,10,10,10,3,4,,
2,3,9,7,1,6,8,5,4,10,,
1,8,2,6,5,4,9,4,3,7,,
2,10,10,10,1,10,10,10,3,10,,
8,6,10,7,2,1,9,5,4,3,,
4,5,8,9,1,7,3,2,6,9,,
2,4,3,5,1,5,5,5,5,10,,
10,2,3,10,1,10,10,10,10,4,,
4,4,4,4,1,2,3,4,4,4,,
6,7,8,10,3,10,4,5,1,2,,
1,2,8,5,6,10,7,9,4,3,,
4,6,7,10,1,2,8,10,3,5,,
10,10,10,10,1,10,10,2,10,10,,
5,3,2,10,1,8,4,7,6,9,,
4,8,9,10,3,5,7,1,2,6,,
3,10,6,4,1,7,10,8,5,2,,
2,3,10,10,1,10,10,10,10,10,,
2,7,10,6,1,4,8,5,3,9,,
3,6,2,10,1,7,9,5,4,8,,
