rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,Num Cands,Num Seats
83,83,83,83,83,1,83,83,83,83,83,3,83,6,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,83,9,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,10,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,8,83,5,83,83,7,2,83,83,83,83,83.0,Unknown
74,56,47,83,65,6,60,17,26,75,79,9,46,50,60,14,23,34,13,80,53,62,30,21,18,33,5,38,44,71,39,25,29,68,42,49,76,67,82,78,50,3,63,32,37,11,40,58,48,2,22,59,10,15,54,69,61,20,19,2,24,73,36,43,52,16,70,51,41,4,12,1,27,45,7,35,64,28,8,81,57,31,72,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,83,83,2,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,4,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,83,83,83,1,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,7,83,83,83,83,83,3,83,4,83,83,83,83,83,1,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,10,83,83,83,6,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,7,83,83,83,83,83,83,83,6,83,83,83,83,83,83,83,83,83,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,5,83,83,83,4,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,3,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,14,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,12,83,83,83,83,83,,Unknown
83,83,83,83,83,1,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,5,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,5,83,83,83,83,83,4,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,4,83,83,83,83,,Unknown
83,83,83,83,83,6,83,83,12,83,83,7,83,83,83,83,83,83,83,83,83,83,83,83,83,83,8,83,83,83,83,83,5,83,83,83,83,83,10,83,83,83,83,83,83,83,83,1,2,83,83,83,83,83,83,83,9,83,83,83,83,83,83,4,13,83,83,83,83,83,83,83,83,83,83,83,83,83,83,11,3,83,83,,Unknown
83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,3,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,,Unknown
83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,4,83,83,83,83,6,83,83,83,5,83,83,83,83,,Unknown
83,83,83,83,83,1,83,83,83,83,83,2,83,1,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,3,83,83,83,2,83,83,83,83,83,83,83,83,83,4,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,,Unknown
83,83,83,83,83,1,83,83,83,83,83,6,83,83,83,83,83,83,83,83,83,83,5,83,83,4,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,83,83,83,3,83,83,83,83,,Unknown
83,83,83,83,29,7,83,83,14,12,83,3,83,83,29,83,6,83,8,18,83,21,83,83,83,83,1,11,22,83,13,83,83,16,83,83,83,10,83,15,83,83,30,83,83,83,29,83,83,29,83,83,83,5,83,29,83,83,83,20,83,83,9,83,29,83,83,29,17,4,2,29,83,19,83,83,21,83,83,83,83,83,83,,Unknown
53,4,29,54,82,41,16,10,48,57,30,37,1,25,77,32,36,19,67,34,2,22,75,52,65,83,58,59,55,5,69,61,60,63,17,11,31,68,8,73,47,43,81,44,51,24,78,21,12,33,70,13,6,76,3,38,28,64,35,9,45,56,14,27,80,50,46,49,79,42,62,39,74,66,72,15,71,40,23,18,7,20,26,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
48,75,63,50,24,53,38,45,31,5,20,51,74,9,15,33,13,77,56,18,73,22,4,1,78,77,83,7,10,64,6,47,69,25,41,42,56,26,32,8,81,66,12,3,80,36,28,59,58,27,70,43,61,39,73,21,38,71,40,44,66,49,57,34,14,67,63,29,16,52,46,2,68,11,19,56,22,17,30,35,60,82,80,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,2,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,6,83,83,83,83,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,8,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,9,83,83,83,83,83,83,83,83,83,4,83,7,83,83,2,3,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,1,83,83,83,83,83,83,83,83,3,83,4,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,6,83,83,83,83,83,7,83,83,83,83,83,83,83,83,83,83,8,83,83,83,5,83,83,83,83,,Unknown
83,83,83,83,83,1,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,4,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,83,5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,7,83,9,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,10,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,8,4,83,3,83,83,6,5,83,83,83,83,,Unknown
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1,83,83,83,83,83,83,83,83,83,83,83,2,83,83,83,83,83,83,83,83,83,83,83,,Unknown
