rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
3,14,8,13,5,15,10,12,9,11,6,7,4,1,2,15.0,1.0
5,12,14,4,2,15,7,10,13,11,9,8,3,6,1,,
6,11,15,8,3,12,2,5,14,13,9,7,4,10,1,,
5,14,13,11,2,15,3,6,10,12,7,8,4,9,1,,
11,13,8,7,1,15,5,6,14,10,9,12,4,3,2,,
5,7,14,11,3,15,2,9,10,12,13,6,1,8,4,,
4,14,13,12,6,15,9,10,8,11,1,7,3,5,2,,
4,14,12,9,6,15,2,8,11,13,5,10,3,7,1,,
2,15,5,15,15,15,15,15,6,15,1,7,3,4,15,,
1,14,10,9,6,15,4,12,13,11,7,8,3,5,2,,
1,14,7,6,9,15,8,11,12,13,4,5,2,3,10,,
1,14,11,5,8,15,7,13,10,12,9,6,3,2,4,,
5,15,12,8,4,15,2,15,7,11,6,9,3,10,1,,
5,14,10,7,2,14,3,13,11,12,9,6,4,8,1,,
4,14,9,10,7,15,3,12,11,13,8,6,2,5,1,,
3,14,13,10,7,15,5,8,11,12,9,6,2,4,1,,
3,14,13,9,12,15,4,7,11,10,5,6,2,8,1,,
2,1,12,10,14,15,4,7,8,13,9,6,3,11,5,,
5,14,13,12,3,15,2,6,9,11,8,7,4,10,1,,
4,15,7,9,10,15,15,8,15,15,1,7,2,3,5,,
2,15,13,10,9,14,4,7,12,11,5,6,3,8,1,,
1,6,15,14,5,12,13,3,10,11,2,8,9,4,7,,
6,12,14,10,2,15,3,9,7,5,8,11,4,13,1,,
5,10,10,10,3,15,2,6,8,10,7,10,4,9,1,,
5,14,10,12,2,15,3,13,4,11,8,6,7,9,1,,
5,15,11,9,3,15,2,15,15,10,7,8,4,6,1,,
3,14,12,10,4,15,7,13,11,9,8,5,1,6,2,,
5,14,13,8,3,15,1,12,9,11,10,6,4,7,2,,
4,15,14,8,6,13,2,10,11,12,7,5,3,9,1,,
5,14,13,9,4,15,2,11,10,12,8,6,3,7,1,,
2,13,11,8,6,15,15,7,10,12,5,9,4,3,1,,
3,13,7,9,15,12,11,8,10,2,4,6,5,1,14,,
9,7,12,6,1,15,3,10,5,11,13,8,4,14,2,,
5,15,11,9,2,10,8,4,7,13,1,12,6,3,14,,
2,14,12,11,7,15,4,9,13,10,6,8,3,5,1,,
3,13,9,11,1,15,8,6,10,14,5,12,7,4,2,,
1,14,5,10,9,15,8,11,12,13,4,7,3,6,2,,
3,15,15,11,6,15,4,5,9,12,8,10,2,7,1,,
8,15,13,9,3,15,2,12,6,15,11,10,4,7,1,,
