rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
16,5,11,6,7,4,15,14,13,3,2,1,9,12,10,8,16.0,1.0
13,2,1,8,4,11,3,14,6,7,16,10,5,15,9,12,,
13,1,2,5,10,12,8,11,7,9,4,16,6,3,15,14,,
Skipped,3,1,10,Skipped,Skipped,Skipped,Skipped,7,9,2,8,6,5,4,Skipped,,
2,14,13,7,8,3,5,4,10,6,9,11,15,16,12,1,,
10,1,2,3,6,7,5,4,9,14,13,15,8,12,16,11,,
12,7,3,1,2,10,4,9,8,6,13,16,5,11,14,15,,
8,14,15,1,2,3,9,4,7,12,11,16,5,6,13,10,,
11,1,1,4,3,6,8,7,9,8,13,16,5,12,15,10,,
7,16,1,10,9,6,2,13,4,11,3,5,12,15,14,8,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
7,1,8,6,3,11,2,10,16,9,12,14,5,15,13,4,,
2,14,15,12,8,11,10,5,4,1,16,9,7,13,3,6,,
12,5,3,2,1,14,11,6,13,9,8,16,4,10,15,7,,
1,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
7,2,13,3,5,11,1,9,10,8,4,16,12,6,15,14,,
15,7,2,11,15,15,9,15,5,8,10,3,4,6,1,16,,
12,2,8,5,3,6,1,16,2,16,4,16,16,10,14,6,,
10,7,5,9,6,3,4,13,8,11,1,15,16,2,14,12,,
10,16,4,9,12,14,1,11,3,8,2,6,7,15,5,13,,
2,7,3,16,6,4,1,8,11,12,10,15,5,9,13,14,,
8,5,7,3,6,10,9,14,1,2,15,13,4,12,16,12,,
14,15,3,2,1,8,6,7,12,5,13,11,10,9,16,4,,
8,14,9,5,13,1,2,6,11,15,7,4,10,12,16,3,,
2,8,11,7,5,1,6,3,13,10,12,14,9,15,16,4,,
8,4,14,2,3,7,1,6,12,10,5,16,15,13,11,9,,
15,6,3,8,7,12,1,13,4,16,2,9,10,5,11,14,,
4,2,6,3,12,11,1,10,13,5,9,15,7,8,14,16,,
9,7,4,6,13,10,1,11,5,14,2,3,16,8,15,12,,
10,3,12,2,5,8,1,15,7,11,4,16,13,6,14,9,,
10,16,2,5,4,14,1,3,8,9,11,6,13,12,7,15,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
12,8,1,16,10,11,13,14,5,6,7,4,2,9,3,15,,
1,11,6,9,13,4,8,2,14,7,10,16,5,12,15,3,,
2,10,14,5,3,11,8,6,13,9,15,1,4,16,12,7,,
7,2,12,3,8,4,6,9,13,5,11,16,14,1,15,10,,
