rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,Num Cands,Num Seats
20,57,45,71,34,10,41,62,73,56,68,40,10,28,22,59,27,24,3,67,9,11,60,44,39,18,52,69,66,53,58,7,4,72,31,21,25,30,49,46,5,50,33,14,64,36,63,54,55,47,31,19,48,65,1,15,74,8,61,13,51,35,6,29,2,70,23,75,37,16,42,38,30,43,39,17,76.0,1.0
55,47,43,62,46,13,67,30,56,49,66,45,22,11,6,72,40,64,16,70,32,12,32,42,36,19,23,38,57,39,61,14,1,48,58,29,33,37,71,59,20,26,51,21,24,15,75,50,33,41,4,28,69,9,17,27,10,2,52,35,18,31,3,44,5,76,7,68,34,8,53,60,63,65,25,54,,
76,76,4,76,76,76,76,57,76,5,76,76,76,15,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,8,76,76,76,76,71,62,76,76,76,76,76,76,76,76,76,76,76,76,76,7,76,76,76,2,76,60,12,76,76,76,76,11,73,1,76,60,76,63,76,76,76,61,76,9,76,,
69,48,26,29,68,16,49,58,75,60,37,52,6,18,8,63,28,46,12,74,21,5,65,13,38,23,71,61,53,17,47,10,14,44,43,56,35,41,72,76,11,39,34,31,59,20,57,51,67,15,9,27,62,55,1,50,36,3,73,21,30,24,4,70,2,32,40,42,19,7,66,64,33,54,45,25,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
76,31,25,76,50,13,76,76,76,47,36,46,12,35,16,76,29,76,4,76,10,14,76,15,44,32,76,76,76,26,42,11,6,23,30,76,76,21,76,76,9,27,33,41,40,38,76,76,76,19,7,20,76,48,3,76,76,2,76,8,34,28,5,76,1,49,39,43,37,18,76,76,45,22,24,17,,
75,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,8,16,Skipped,Skipped,73,5,Skipped,Skipped,2,13,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,15,Skipped,72,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,15,Skipped,20,7,Skipped,Skipped,Skipped,12,10,Skipped,Skipped,Skipped,9,Skipped,22,3,4,Skipped,Skipped,Skipped,1,76,1,21,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,,
76,76,76,76,76,13,76,76,76,76,76,76,17,76,6,76,76,76,2,76,16,12,76,15,76,76,76,76,76,76,76,10,7,76,76,76,76,76,76,76,8,76,76,76,76,76,76,76,76,76,76,76,76,76,4,76,76,1,76,9,76,76,5,76,3,76,76,76,76,11,76,76,76,76,76,76,,
Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,Skipped,22,Skipped,19,16,Skipped,Skipped,24,Skipped,Skipped,23,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,21,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,10,Skipped,Skipped,2,Skipped,6,Skipped,Skipped,7,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,25,4,3,,
62,54,42,70,57,11,39,48,66,53,18,26,16,52,8,71,58,56,5,72,13,14,46,9,50,28,65,43,55,44,38,17,6,34,41,68,51,36,76,73,12,29,27,33,47,31,49,23,60,19,10,21,59,20,4,63,40,2,67,7,37,30,1,61,3,24,64,69,45,15,74,75,32,22,35,25,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
75,50,28,64,48,15,63,47,74,45,23,25,10,34,12,52,24,39,5,53,22,19,59,12,35,17,53,56,40,44,72,8,4,55,41,46,38,13,76,66,9,30,18,27,33,26,61,31,69,43,7,20,73,37,6,42,51,1,71,11,65,14,2,68,3,29,60,58,57,16,67,32,62,35,49,21,,
76,26,76,76,76,9,76,76,76,16,76,20,17,76,18,76,76,76,6,76,5,11,76,23,76,76,76,76,76,76,76,10,7,76,76,76,76,76,76,76,15,76,76,76,24,76,76,76,76,76,8,76,76,19,4,21,76,2,76,3,76,76,12,22,1,76,76,76,76,14,76,76,76,76,25,76,,
Skipped,Skipped,23,42,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,38,19,33,7,Skipped,37,Skipped,6,Skipped,11,14,Skipped,20,40,17,Skipped,Skipped,Skipped,35,Skipped,8,2,Skipped,34,Skipped,Skipped,29,Skipped,Skipped,10,32,31,Skipped,Skipped,25,Skipped,18,Skipped,15,12,24,Skipped,41,5,Skipped,26,1,Skipped,13,28,30,3,Skipped,4,36,Skipped,39,Skipped,9,Skipped,Skipped,Skipped,27,22,21,,
76,76,76,76,76,14,76,76,76,76,76,76,16,76,8,76,76,76,5,76,6,12,76,17,76,76,76,76,76,76,76,13,4,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,76,76,11,76,76,76,3,76,76,1,76,7,76,76,9,76,2,76,76,76,76,15,76,76,76,76,76,76,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,2,76,76,76,76,3,76,1,76,76,76,76,76,76,76,76,76,76,76,,
76,29,26,76,76,13,76,76,76,40,35,39,17,30,10,76,76,34,7,76,14,8,76,19,20,22,76,76,76,76,38,12,5,76,36,44,42,15,76,76,11,23,76,Skipped,76,18,76,32,76,24,9,37,76,43,6,31,41,2,76,4,76,21,3,76,1,27,76,Skipped,33,16,76,76,45,28,76,25,,
27,26,12,27,27,5,26,26,27,27,25,27,14,25,1,27,25,26,1,27,11,10,27,5,11,14,27,27,26,25,28,5,1,26,25,27,27,25,27,27,1,25,25,25,26,25,27,27,27,14,1,25,28,27,5,27,25,1,27,11,25,5,1,27,1,28,26,28,26,5,27,27,26,11,26,12,,
66,65,60,54,55,15,39,58,72,63,33,48,11,23,12,68,26,44,5,73,17,7,45,19,22,30,70,53,46,61,32,9,13,47,31,69,42,27,75,59,10,28,25,35,Skipped,20,37,36,64,53,8,24,56,38,3,53,40,4,67,6,34,21,2,53,1,29,60,71,41,14,53,57,43,18,62,16,,
76,76,76,76,76,18,76,76,76,76,76,76,14,76,15,76,76,76,5,76,17,13,76,16,76,22,76,76,76,76,76,12,7,76,76,76,76,76,76,76,9,76,76,76,76,76,76,76,76,76,11,20,76,76,4,76,21,2,76,8,76,19,3,76,1,76,76,76,76,10,76,76,76,6,24,23,,
76,76,30,76,76,10,76,76,76,76,76,76,20,25,20,76,50,76,5,76,20,30,76,20,76,30,76,76,76,76,76,20,5,76,76,76,76,30,50,76,10,50,50,76,76,22,76,76,76,50,10,40,76,76,1,76,76,3,76,5,76,25,4,76,2,76,50,76,76,30,76,76,76,76,76,20,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
57,43,23,57,39,15,48,45,67,66,44,24,18,27,11,65,22,20,6,57,17,14,54,16,46,25,57,57,68,40,69,12,7,53,51,65,58,21,65,71,13,34,33,47,42,29,76,31,75,19,8,26,56,55,4,50,36,1,74,10,41,30,5,70,2,49,38,29,3,9,73,72,37,52,35,28,,
76,14,76,76,76,76,76,76,76,76,76,76,76,30,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,76,76,76,76,76,76,76,76,23,76,76,76,76,76,76,76,65,76,76,76,76,76,4,76,76,76,76,76,76,76,68,29,76,76,76,33,76,76,76,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
65,27,20,63,70,17,54,28,76,66,39,40,11,34,8,71,46,30,15,64,12,13,57,16,35,24,65,62,53,38,44,14,5,51,43,69,33,26,67,74,9,45,41,50,55,31,61,56,59,29,7,21,60,22,6,52,36,2,48,4,37,19,3,75,1,25,72,42,23,10,58,73,49,18,32,47,,
54,Skipped,35,41,39,13,Skipped,56,64,59,34,17,11,27,9,61,44,32,12,55,16,8,68,21,29,26,60,67,52,58,50,5,7,69,25,Skipped,70,40,Skipped,65,6,45,42,19,62,30,38,43,56,24,20,48,47,52,4,46,23,3,Skipped,10,33,14,2,Skipped,1,22,49,51,36,18,63,31,37,28,15,66,,
54,31,20,35,Skipped,6,44,38,64,66,46,29,12,21,10,59,Skipped,40,11,58,15,17,57,16,32,24,63,56,60,Skipped,Skipped,9,4,61,43,47,50,26,Skipped,65,13,28,36,45,39,22,42,49,55,19,8,30,51,62,3,41,Skipped,2,48,14,33,27,5,Skipped,1,37,25,Skipped,Skipped,7,53,52,Skipped,23,34,18,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,14,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,5,76,12,76,76,76,76,76,76,76,76,76,76,76,3,76,76,76,76,76,76,76,8,76,76,76,76,76,76,76,76,76,6,76,76,76,4,76,76,1,76,9,76,76,6,76,2,76,76,76,76,76,76,76,76,76,76,76,,
75,75,28,75,75,12,75,75,75,75,75,75,18,75,14,75,75,75,5,75,10,17,75,24,11,16,75,75,75,29,75,3,4,75,37,75,75,32,75,75,13,32,29,30,75,75,75,75,75,75,9,25,75,75,2,75,75,2,75,6,75,75,7,75,1,75,45,76,16,75,75,75,21,33,75,30,,
Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,10,Skipped,Skipped,Skipped,2,Skipped,13,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,5,Skipped,Skipped,1,Skipped,7,Skipped,Skipped,4,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
56,22,17,66,28,15,59,40,64,72,32,43,16,27,8,68,24,47,7,73,14,15,38,23,35,30,61,65,55,26,48,12,6,57,33,39,60,20,18,42,11,21,31,50,67,34,75,52,70,25,9,29,41,44,3,51,46,2,49,5,58,19,4,71,1,62,37,63,54,13,45,69,53,10,36,20,,
34,4,20,73,67,41,42,37,54,45,50,75,21,44,19,76,51,25,3,55,14,31,69,23,12,17,63,66,39,53,60,26,8,48,18,46,62,27,59,58,10,28,56,13,36,16,68,70,52,72,5,7,74,30,22,29,38,2,57,11,71,9,24,35,1,65,6,49,43,33,64,61,40,15,32,47,,
21,49,64,61,30,13,68,75,39,34,71,52,45,55,15,47,25,63,6,32,38,3,70,50,53,69,18,40,44,42,37,14,8,26,65,2,36,60,35,17,9,51,27,74,72,59,41,28,32,24,11,29,16,48,3,58,43,7,73,4,57,67,1,31,2,46,19,62,55,9,76,22,55,33,66,20,,
