rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
2,1,3,8,9,6,10,11,5,7,4,11.0,1.0
5,1,4,11,11,11,3,11,1,11,6,,
11,11,11,11,11,11,11,11,1,11,11,,
2,2,2,11,11,11,2,11,1,11,3,,
2,3,5,6,6,6,6,4,6,6,1,,
3,2,11,11,11,11,1,6,4,11,5,,
11,1,11,11,11,11,11,11,11,11,11,,
1,5,4,6,6,6,6,6,2,6,3,,
11,2,5,11,11,11,4,3,11,11,1,,
4,2,1,9,8,11,6,3,10,7,5,,
2,11,11,11,11,11,11,11,1,11,11,,
1,2,1,4,5,3,4,5,2,3,2,,
2,1,4,8,10,6,9,7,3,11,5,,
3,2,1,11,10,8,5,7,4,9,6,,
4,4,4,11,11,11,11,5,1,11,4,,
3,2,5,9,11,10,1,7,4,8,6,,
1,1,1,11,11,11,1,11,6,11,1,,
1,2,2,10,10,3,2,3,2,3,2,,
1,1,2,3,3,3,1,3,2,3,1,,
5,1,5,5,11,11,6,8,5,11,7,,
2,9,3,6,7,8,11,1,4,10,5,,
1,2,2,9,9,5,2,9,2,9,2,,
2,1,9,7,8,11,4,3,11,6,9,,
6,1,3,6,5,6,6,2,4,6,6,,
3,1,6,11,11,11,4,7,2,11,5,,
2,1,11,11,11,11,11,11,11,11,11,,
2,11,2,11,11,11,2,11,1,11,11,,
3,11,2,11,11,11,11,11,1,11,11,,
6,6,1,10,10,10,10,10,6,10,10,,
1,2,2,11,11,11,2,11,2,11,11,,
6,6,1,5,6,2,4,3,5,5,5,,
