rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,Num Cands,Num Seats
32,32,32,32,32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,3,32,32,,
32,2,32,32,32,32,32,32,32,32,32,32,3,32,32,32,32,32,32,4,32,1,32,32,32,32,32,32,32,32,32,32,,
Skipped,3,Skipped,Skipped,5,3,Skipped,Skipped,10,Skipped,7,1,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,9,Skipped,Skipped,Skipped,Skipped,5,Skipped,7,Skipped,Skipped,Skipped,,
32,32,32,32,32,32,32,32,4,32,32,32,32,32,32,32,32,32,32,2,1,32,32,32,32,32,32,32,32,32,3,32,,
32,32,32,9,5,32,32,6,32,32,3,7,32,32,32,32,32,32,32,1,32,10,32,32,32,32,2,32,32,32,4,8,,
32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,3,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,2,32,4,32,32,3,32,32,5,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,6,,
32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
12,8,11,32,10,32,32,11,32,32,3,7,32,32,12,32,32,5,32,9,4,2,32,32,32,32,1,32,32,6,32,13,,
32,17,32,32,32,20,32,32,21,32,9,32,11,32,32,2,32,3,10,1,22,32,32,15,32,13,6,32,32,7,7,32,,
4,32,32,32,32,32,32,32,32,3,32,32,32,32,32,32,32,32,32,2,32,32,32,32,5,32,1,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
17,31,18,5,32,16,Skipped,Skipped,2,Skipped,6,15,10,Skipped,Skipped,8,Skipped,9,11,1,7,29,3,14,Skipped,Skipped,30,12,Skipped,4,13,Skipped,,
32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,3,32,32,32,32,7,32,29,2,28,32,4,8,32,22,26,5,1,31,32,32,32,32,14,1,32,24,32,6,,
32,32,32,1,32,32,32,32,32,32,4,32,32,32,32,4,32,3,32,2,32,32,32,32,32,32,32,32,32,1,32,32,,
32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,2,32,32,32,32,32,32,32,32,5,32,32,1,32,32,32,3,32,32,4,32,9,,
32,3,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
