rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,Num Cands,Num Seats
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32.0,1.0
32,32,32,32,32,2,32,32,32,32,32,32,32,32,32,32,1,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,,
10,6,30,27,9,22,31,3,18,15,20,16,23,25,17,12,32,11,19,1,7,4,29,24,5,21,28,8,2,14,26,13,,
32,5,32,32,32,32,32,32,32,4,32,32,32,32,32,32,32,10,32,2,32,32,32,32,1,32,32,32,32,32,32,32,,
6,7,20,25,11,32,29,14,1,16,28,12,31,27,4,2,26,9,23,15,10,3,20,30,8,17,18,13,5,24,21,22,,
10,6,25,29,12,28,19,7,4,23,23,16,24,13,8,1,23,9,26,18,11,2,32,27,3,20,15,14,5,17,25,32,,
1,32,32,32,1,32,32,32,6,32,32,32,32,32,32,32,32,7,32,32,3,4,32,32,8,32,32,32,5,32,32,32,,
23,23,32,32,32,24,8,23,23,23,23,3,23,1,32,7,23,2,32,5,9,4,23,14,12,32,23,10,6,32,11,32,,
4,5,21,21,20,19,21,1,6,9,21,21,21,12,10,11,21,15,21,13,17,3,21,18,2,16,21,14,8,21,21,7,,
2,4,32,32,8,31,32,5,5,4,32,32,32,32,32,32,32,8,32,1,3,5,32,32,5,32,32,32,8,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,9,10,4,13,12,32,32,2,5,16,32,7,32,32,32,32,6,14,1,32,11,32,32,8,32,32,15,32,32,32,32,,
32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,1,32,32,32,32,32,2,32,4,32,32,32,32,32,32,32,32,32,32,32,3,32,32,32,,
14,7,31,31,14,20,32,2,8,10,30,14,32,30,12,4,30,14,19,5,13,3,30,31,9,18,31,13,11,32,1,6,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,,
14,1,32,32,2,20,32,5,8,13,32,12,32,32,17,9,32,10,32,5,7,3,32,32,4,32,32,11,6,32,32,32,,
32,32,32,32,32,1,32,32,32,5,32,32,32,32,2,32,32,32,3,32,32,4,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,,
14,2,32,32,1,32,32,7,10,32,32,32,32,32,3,8,32,9,32,13,32,12,32,32,5,32,32,6,4,11,32,32,,
24,23,23,23,31,5,23,23,25,23,23,23,23,26,27,4,28,4,23,23,23,4,23,23,1,30,32,23,23,23,23,29,,
32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,3,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,2,32,32,32,32,32,32,32,,
5,32,32,32,32,7,4,3,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,2,32,8,32,6,8,32,1,,
21,4,15,19,25,5,24,12,10,20,23,11,7,31,32,26,18,13,1,22,8,2,27,3,14,17,6,30,9,29,28,16,,
2,4,17,16,14,Skipped,19,1,3,10,7,11,15,10,8,7,18,11,18,8,6,5,17,14,2,9,15,10,9,13,16,12,,
2,5,32,32,32,32,32,3,32,6,32,32,32,32,32,32,32,32,32,4,32,1,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
1,7,32,32,32,11,32,5,2,2,10,32,32,32,6,4,32,1,32,32,32,9,32,32,8,32,32,3,1,32,32,32,,
32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
29,31,31,31,31,31,31,31,31,31,26,31,31,31,31,31,31,31,32,31,31,31,31,31,30,27,31,31,31,28,31,31,,
10,3,32,32,10,32,11,5,10,10,32,32,32,32,10,5,32,10,32,32,10,1,32,32,2,32,32,10,10,11,32,9,,
4,3,19,17,15,Skipped,28,9,6,24,31,10,26,30,1,11,23,14,12,13,8,7,20,25,16,2,18,22,5,27,21,32,,
10,2,32,32,5,32,32,20,7,10,32,10,32,32,32,10,32,5,32,2,5,1,32,32,1,32,32,20,10,32,32,32,,
2,1,20,20,20,32,20,3,32,20,20,20,20,6,20,20,20,20,32,4,20,20,20,20,5,20,20,20,20,20,20,4,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,5,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,24,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,2,32,32,32,32,32,32,32,,
32,32,32,32,1,9,32,32,3,32,32,8,32,32,5,32,32,6,32,7,2,32,32,32,32,32,32,32,4,32,32,32,,
9,12,Skipped,Skipped,Skipped,32,Skipped,2,11,Skipped,Skipped,4,Skipped,Skipped,8,6,Skipped,10,Skipped,7,Skipped,5,Skipped,Skipped,1,14,Skipped,3,13,Skipped,Skipped,Skipped,,
11,32,32,32,1,32,32,30,11,7,4,32,32,32,32,32,32,10,3,8,31,29,32,32,32,2,32,32,6,9,32,5,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,3,32,32,32,32,32,2,32,32,1,32,32,32,32,32,32,32,,
8,5,14,28,28,28,32,28,28,28,8,28,30,28,8,28,29,28,13,28,28,28,28,28,28,28,31,28,28,1,28,28,,
32,32,32,32,32,32,32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,3,32,32,1,32,32,32,32,32,32,32,,
15,5,22,21,8,23,32,4,6,14,14,11,20,19,12,17,18,7,14,9,3,1,32,16,10,32,32,12,2,32,32,13,,
32,32,32,32,32,32,32,3,32,32,5,1,32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,4,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,2,32,32,32,3,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
3,9,32,27,26,26,24,23,5,9,4,23,32,15,23,14,23,23,11,14,10,14,9,26,23,9,3,12,2,23,23,23,,
4,6,10,Skipped,5,Skipped,Skipped,3,1,6,9,6,10,10,5,6,Skipped,5,10,5,5,2,10,11,2,9,10,5,4,Skipped,10,7,,
16,9,32,1,32,32,32,11,24,32,32,32,32,32,32,32,32,32,32,8,32,32,32,32,32,32,32,7,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
1,Skipped,32,32,4,30,32,5,2,8,32,32,32,32,32,32,32,10,32,Skipped,11,9,32,32,3,32,32,6,7,32,32,32,,
5,6,32,32,6,32,32,Skipped,12,32,Skipped,32,32,32,32,32,32,14,17,32,32,1,32,32,32,32,32,32,11,32,32,32,,
32,2,32,32,12,15,32,9,7,32,32,32,32,6,13,5,32,11,32,1,10,3,32,32,4,32,32,14,8,32,32,32,,
11,8,7,25,18,31,30,21,9,29,14,6,2,32,15,23,28,17,22,16,5,13,4,27,24,12,3,20,26,10,1,19,,
13,32,32,32,32,32,32,5,9,7,32,32,32,5,32,9,32,32,32,32,10,5,32,32,6,32,32,32,6,5,32,5,,
