rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,Num Cands,Num Seats
48,51,15,45,29,4,31,60,20,25,60,13,9,46,8,26,1,19,39,44,41,52,36,3,11,43,23,38,14,34,40,28,52,44,60,2,52,49,7,37,32,18,42,5,47,35,30,6,24,16,12,22,60,27,10,21,17,60,52,33,60.0,1.0
Skipped,Skipped,13,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,14,Skipped,9,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,15,Skipped,4,12,Skipped,8,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,
6,58,17,50,7,11,32,56,51,29,55,8,9,43,4,34,2,10,21,12,33,58,36,3,23,54,39,41,19,38,5,24,48,45,52,20,37,25,46,30,15,47,40,31,42,49,44,35,26,18,22,16,57,27,13,1,14,28,56,53,,
50,60,60,53,1,60,60,60,60,60,60,60,58,60,44,60,3,41,60,60,60,60,60,60,2,60,60,60,60,60,60,60,60,60,60,60,60,60,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,
60,60,60,60,60,9,60,60,60,60,60,4,10,60,60,60,1,60,60,60,60,60,60,3,7,60,60,60,6,60,60,60,60,60,60,5,60,60,60,60,60,15,60,60,60,60,60,2,60,4,8,60,60,7,60,60,60,60,60,60,,
33,60,36,37,17,9,13,41,30,39,60,3,26,41,8,35,1,10,40,41,60,41,28,2,5,22,14,41,12,41,41,21,41,29,41,4,41,60,11,41,41,20,31,24,38,27,34,18,25,60,16,7,60,15,6,32,23,60,41,19,,
60,60,60,60,60,5,60,60,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,3,60,60,60,60,60,60,60,4,60,60,60,60,10,60,10,60,60,60,60,2,60,60,60,60,,
60,60,60,60,60,60,60,60,60,60,60,60,2,60,2,60,1,12,60,12,60,60,60,16,4,60,60,19,21,20,60,60,60,60,60,18,60,60,60,60,60,60,60,60,60,60,8,6,60,19,16,60,60,24,60,60,13,60,60,60,,
6,60,60,36,17,3,21,60,37,60,60,57,25,24,34,60,4,15,60,58,60,60,60,30,60,60,22,60,60,60,60,29,60,28,60,27,60,60,60,59,60,33,60,23,60,60,60,35,60,31,16,7,60,32,58,60,14,60,60,26,,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,7,1,60,6,60,60,60,60,5,9,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,4,3,60,60,60,60,8,2,60,60,60,60,,
6,60,60,60,60,12,60,60,60,60,60,60,60,60,10,60,1,60,5,60,60,60,60,60,14,60,60,60,13,60,60,60,60,60,60,4,60,60,3,60,60,60,7,60,9,60,60,60,60,60,60,2,60,60,60,8,11,60,60,60,,
60,60,45,13,44,12,24,14,42,60,30,7,3,26,8,60,1,6,60,5,60,37,29,2,42,19,37,20,37,11,21,38,29,18,37,4,15,60,23,29,37,16,60,37,60,25,22,9,60,60,17,42,60,10,42,60,37,60,37,44,,
22,17,25,12,8,1,60,60,60,60,60,23,7,60,60,60,9,60,60,60,60,60,60,60,13,60,60,60,11,6,60,14,60,60,60,10,60,60,60,21,15,24,60,3,60,4,18,16,60,19,5,60,60,20,60,60,60,60,60,2,,
60,60,1,60,60,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,60,60,60,60,60,60,60,60,60,1,60,60,1,60,60,1,60,60,60,60,60,60,60,60,60,60,,
60,60,21,13,60,8,60,60,10,60,60,3,17,60,60,60,1,60,60,60,16,60,60,22,20,60,7,60,14,19,18,60,60,60,60,4,60,60,60,60,60,11,60,12,60,60,60,5,15,60,2,60,60,60,9,60,60,60,60,6,,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2,60,60,60,60,60,60,60,60,60,3,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,60,60,60,60,60,60,60,60,60,60,,
