rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,Num Cands,Num Seats
10,12,11,13,8,4,6,17,3,20,15,14,2,16,19,7,9,5,18,1,21,21.0,1.0
15,12,16,11,6,4,21,17,2,19,3,14,1,20,8,18,9,13,5,7,10,,
6,21,21,1,21,3,21,4,2,8,21,21,5,21,7,21,21,21,9,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,,
6,12,14,5,15,10,21,7,1,8,3,17,4,16,19,20,18,13,9,11,2,,
10,21,6,21,21,2,13,8,4,7,21,21,9,1,21,12,5,21,21,11,3,,
14,5,11,18,17,10,21,4,8,9,19,16,3,13,12,2,1,7,20,6,15,,
13,17,13,21,13,4,16,13,2,19,15,18,3,5,1,13,13,13,20,14,13,,
21,21,21,21,21,21,21,21,1,21,21,5,1,21,21,21,21,21,1,21,21,,
8,21,21,21,21,2,21,21,1,21,21,21,6,4,7,10,21,9,5,21,3,,
21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
10,15,13,17,19,1,21,5,14,9,20,7,4,12,11,16,18,8,2,3,6,,
12,15,9,1,17,1,20,14,2,16,10,2,7,11,18,13,5,19,21,8,6,,
21,21,1,1,21,1,21,21,1,21,21,21,21,21,21,21,21,21,1,21,1,,
1,21,1,21,21,1,20,1,1,21,2,21,1,3,21,21,21,19,21,2,21,,
4,18,12,21,21,2,20,10,1,19,15,21,3,13,16,18,17,12,21,7,17,,
21,21,21,21,21,2,21,21,21,21,21,21,1,21,21,21,21,21,21,3,21,,
14,19,9,18,21,10,17,16,2,12,7,15,3,5,4,1,20,13,6,8,11,,
7,1,20,3,9,6,20,20,20,20,20,21,5,20,20,20,20,8,4,2,20,,
2,6,2,21,21,1,21,1,1,5,4,3,1,3,5,2,1,4,2,3,3,,
21,5,2,3,4,21,6,21,1,21,4,21,5,3,21,21,5,21,1,21,1,,
10,16,12,3,1,6,21,9,2,13,15,19,5,14,17,8,18,20,4,11,7,,
3,13,11,21,13,2,21,16,1,21,15,16,6,17,9,8,9,10,21,12,7,,
15,10,21,4,19,7,18,6,1,13,16,20,3,8,14,5,12,17,2,11,9,,
1,18,7,21,20,4,15,5,2,14,17,16,3,10,9,13,12,11,19,6,8,,
21,21,21,21,21,21,21,21,21,2,21,21,21,21,21,21,21,3,21,1,21,,
2,20,20,20,21,1,20,20,6,20,5,20,3,20,20,20,20,4,20,7,8,,
21,21,1,21,21,21,6,21,1,21,21,21,1,21,1,21,21,21,1,21,21,,
21,2,21,21,21,21,21,21,21,21,21,21,21,21,3,21,21,1,21,21,21,,
10,5,15,1,3,9,21,16,8,19,14,12,6,11,2,4,20,13,7,18,17,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,2,21,21,21,1,3,21,,
