rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,Num Cands,Num Seats
31,105,13,14,105,105,105,105,105,3,14,2,105,11,105,105,22,105,105,35,105,105,43,9,105,15,105,105,105,105,105,18,105,105,105,18,105,105,105,14,10,39,12,105,105,105,5,21,16,105,105,105,18,105,105,8,105,105,30,105,23,54,105,6,105,20,8,14,105,20,105,11,105,105,1,105,13,105,12,30,105,19,8,105,105,3,40,5,105,105,105,105,24,25,105,105,105,105,2,105,5,105,105,105,105,105.0,1.0
51,45,13,7,91,Skipped,52,Skipped,70,62,30,18,Skipped,16,Skipped,14,55,25,58,15,24,38,11,15,35,93,Skipped,50,26,30,31,66,52,Skipped,53,62,57,4,Skipped,33,5,Skipped,33,39,10,Skipped,54,28,43,61,37,Skipped,40,96,86,6,80,49,90,47,21,76,Skipped,90,21,42,67,9,3,1,44,34,39,16,23,56,8,60,105,75,49,92,6,46,23,42,50,36,65,17,Skipped,22,32,12,31,50,19,Skipped,4,48,2,85,20,4,27,,
105,16,7,105,105,105,105,105,105,15,105,105,105,19,105,105,105,105,105,8,17,105,105,105,16,105,105,105,105,29,19,27,105,105,105,30,105,105,105,10,5,105,105,105,105,105,1,9,105,105,105,105,105,105,105,3,105,105,105,105,105,18,105,105,105,105,12,5,105,20,105,14,7,105,6,105,105,105,15,105,105,105,2,105,105,10,17,105,7,105,105,105,105,22,105,105,105,31,3,105,3,105,12,105,105,,
105,105,105,105,105,105,105,105,105,105,105,105,105,2,105,105,105,105,105,105,105,105,105,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,,
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,,
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,,
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,,
105,105,2,105,105,105,105,105,18,105,17,105,105,7,21,105,105,105,105,105,105,105,17,5,105,105,105,105,105,105,19,105,105,105,105,105,105,105,105,15,1,105,16,105,105,105,9,11,105,105,105,105,3,105,13,24,105,18,22,105,105,105,105,8,105,23,105,22,105,8,105,105,6,105,20,105,105,105,23,105,7,105,6,105,105,10,105,14,12,105,105,105,105,6,105,105,105,105,4,105,1,18,105,105,105,,
25,105,9,39,105,105,105,105,105,22,31,43,105,41,105,36,105,105,105,17,105,105,105,5,105,1,105,35,105,105,33,105,105,105,105,105,105,40,105,32,4,105,26,105,23,105,2,16,44,105,105,105,105,105,105,7,105,19,28,105,105,105,105,15,21,29,31,12,10,24,105,30,8,105,105,105,16,105,27,105,105,105,45,37,34,6,105,11,105,105,105,105,20,105,14,42,105,38,3,105,18,105,105,105,105,,
42,19,1,105,68,105,105,105,105,37,105,24,105,28,50,105,81,47,105,41,53,105,103,49,105,105,105,8,45,39,54,10,57,105,105,105,35,105,105,21,9,105,15,105,17,105,44,40,48,105,105,51,14,20,43,2,105,105,105,105,12,6,23,105,105,11,48,105,22,56,105,105,38,105,87,105,105,27,33,102,46,105,29,25,105,4,31,105,105,105,105,91,105,18,16,105,105,105,5,7,3,36,105,105,52,,
105,105,105,29,105,105,105,105,105,105,39,105,105,13,105,105,105,105,105,24,10,105,27,4,105,5,105,35,105,105,105,105,105,105,105,30,105,105,8,18,12,26,32,33,105,105,20,28,105,105,8,105,19,105,105,2,105,20,105,14,105,105,105,20,105,40,105,25,15,5,105,5,37,105,35,105,17,38,105,105,105,41,105,105,105,16,105,105,31,105,105,105,105,36,105,105,105,105,1,105,8,105,3,20,10,,
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,,
105,105,4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,2,105,9,105,105,105,105,105,7,105,105,105,105,105,105,105,105,3,105,105,105,105,105,4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,8,105,105,105,105,105,105,105,105,105,105,105,105,105,Skipped,105,105,105,105,105,105,105,105,10,105,105,105,105,105,105,105,105,105,105,105,105,1,105,105,105,6,105,105,,
105,105,105,105,105,105,105,105,105,105,105,7,105,8,105,105,5,105,105,105,105,105,105,1,105,105,105,105,11,105,105,105,105,105,105,105,105,105,105,105,2,105,105,105,105,105,3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,12,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,10,,
42,66,12,38,81,43,47,61,94,91,63,14,84,71,83,51,65,6,22,18,7,20,103,4,45,17,93,55,79,37,34,41,71,80,75,52,64,9,50,32,40,36,87,105,16,92,49,10,33,58,91,46,35,62,104,2,81,99,23,15,31,71,89,1,19,44,85,3,8,60,71,56,72,91,11,75,81,75,26,76,103,25,39,27,54,13,90,28,86,100,71,96,103,24,30,95,59,46,21,71,57,29,75,5,53,,
105,95,105,105,105,105,105,105,105,105,105,9,105,34,105,105,105,105,101,105,105,104,105,105,85,105,104,105,105,105,105,46,105,105,105,105,105,105,105,105,105,102,105,105,105,105,60,7,104,74,105,105,105,103,105,105,105,73,105,93,105,105,105,12,105,105,105,104,105,73,105,105,95,105,105,105,105,92,56,105,105,105,105,105,105,105,90,105,105,105,105,92,105,65,105,105,105,92,4,105,105,105,98,105,82,,
105,105,1,105,105,105,105,105,105,105,11,105,16,105,21,105,105,105,105,18,105,105,105,22,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,4,7,105,105,105,105,105,12,105,105,105,105,105,17,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,20,23,105,105,19,14,105,6,105,105,105,5,105,15,8,105,105,9,13,105,105,105,105,11,105,105,105,2,105,3,105,105,24,10,,
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,98,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,,
105,105,2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,46,105,105,105,1,105,105,16,105,105,105,105,105,105,105,90,105,105,105,105,10,105,93,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,9,105,105,105,105,105,105,4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,6,105,3,105,105,105,5,,
105,Skipped,9,26,95,105,Skipped,Skipped,1,81,39,65,Skipped,43,Skipped,Skipped,93,79,73,8,17,104,34,16,93,Skipped,Skipped,Skipped,7,Skipped,5,99,51,Skipped,Skipped,12,Skipped,Skipped,Skipped,78,15,Skipped,88,105,24,Skipped,30,11,101,92,71,Skipped,14,44,83,20,Skipped,Skipped,80,Skipped,28,98,91,50,Skipped,59,75,13,Skipped,27,37,101,22,36,99,105,45,Skipped,47,77,Skipped,79,29,52,48,25,10,99,40,74,Skipped,Skipped,49,89,67,31,Skipped,76,3,Skipped,18,105,46,74,63,,
105,105,105,105,105,105,105,105,105,105,105,105,105,9,105,105,105,105,105,105,105,105,105,1,3,105,105,105,105,105,105,105,105,105,105,19,105,105,105,105,4,12,20,105,14,105,105,105,105,105,105,105,105,105,9,4,105,105,105,105,20,105,105,5,105,25,20,2,105,13,11,105,105,8,105,105,35,105,105,105,105,105,5,21,105,3,105,105,105,105,105,105,105,17,105,16,105,105,105,105,105,105,105,105,5,,
105,78,12,105,105,105,103,105,92,76,105,4,105,52,86,105,38,95,105,105,105,63,105,7,96,105,100,105,21,87,76,105,105,105,105,30,70,54,105,25,12,105,105,47,101,105,73,10,104,94,105,99,52,102,105,105,18,6,58,103,25,105,105,6,105,105,105,105,105,105,70,81,105,104,105,105,105,105,16,67,105,6,61,43,105,105,72,105,105,91,105,101,68,105,49,105,103,92,21,105,18,100,105,105,105,,
