rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
10,3,1,10,10,10,2,10,10,10,10.0,1.0
9,9,4,9,2,1,5,9,10,3,,
10,2,1,4,10,10,3,10,10,10,,
10,10,10,10,10,10,10,10,10,1,,
10,1,10,1,10,10,10,10,10,10,,
10,10,10,10,10,10,10,10,10,1,,
4,10,10,10,1,3,2,5,10,10,,
6,8,7,2,9,3,10,5,4,1,,
1,7,5,4,3,8,7,2,6,10,,
10,10,10,10,10,10,10,10,10,1,,
1,5,6,6,4,6,2,3,6,6,,
10,10,10,10,10,10,10,10,10,1,,
1,4,10,10,10,10,3,2,10,10,,
1,1,10,10,10,1,10,10,10,1,,
9,2,8,6,7,3,10,4,5,1,,
10,10,10,10,10,10,10,10,10,1,,
10,1,2,4,10,10,3,10,10,10,,
10,10,10,10,10,10,10,10,10,1,,
10,3,10,2,4,10,1,10,10,10,,
2,10,10,10,1,3,10,10,10,10,,
3,1,5,7,2,6,4,10,8,9,,
6,7,9,3,5,2,1,10,8,4,,
3,10,5,6,4,8,9,1,2,7,,
10,10,10,10,10,10,10,10,10,1,,
10,1,10,3,10,10,2,10,10,10,,
10,1,2,10,10,10,3,10,10,10,,
1,10,10,10,10,10,10,10,10,10,,
10,5,3,2,10,10,1,10,10,4,,
10,3,10,4,1,10,2,10,10,10,,
10,3,10,2,5,10,4,10,10,1,,
1,7,3,5,2,10,5,4,8,9,,
2,5,8,4,3,10,7,1,6,9,,
10,3,1,4,10,10,2,10,10,10,,
10,4,2,1,10,10,3,10,10,10,,
10,2,3,1,10,10,4,10,10,10,,
10,10,10,1,10,10,10,10,10,10,,
10,2,3,4,10,10,1,10,10,10,,
10,10,10,10,10,10,10,10,10,1,,
10,3,1,5,10,10,2,10,10,4,,
10,10,10,10,10,10,10,10,10,1,,
10,10,10,10,10,10,10,10,10,1,,
10,2,10,4,5,10,1,10,10,3,,
10,4,5,8,6,9,2,2,1,7,,
1,2,6,10,5,9,3,4,8,7,,
2,10,10,10,5,1,10,10,10,10,,
10,1,10,10,10,10,10,10,10,10,,
10,2,1,4,10,10,3,10,10,10,,
5,3,1,4,2,7,6,9,10,7,,
10,4,1,2,6,10,3,10,10,5,,
10,10,10,10,10,10,10,10,10,10,,
