rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,Num Cands,Num Seats
3,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,4,94,94,94,94,94,94,94,94,94,2,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94.0,1.0
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1,94,94,94,94,94,94,94,94,94,94,94,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,
75,87,91,76,87,80,17,76,78,78,59,85,63,48,89,17,93,90,71,66,80,86,78,94,94,62,52,85,75,73,12,79,89,24,84,2,87,88,84,70,9,90,26,82,78,7,18,78,83,51,26,70,90,64,86,29,53,79,85,88,62,2,49,80,1,83,57,6,28,26,68,8,77,86,94,73,82,41,45,78,40,45,58,55,61,79,83,62,76,14,75,85,53,51,,
94,2,94,94,94,94,94,94,13,94,94,94,94,94,94,94,2,94,94,94,94,6,94,94,94,94,94,94,94,94,94,94,94,94,94,16,94,94,94,94,5,94,9,94,94,94,3,94,94,94,94,94,15,94,14,94,11,94,4,94,94,3,2,94,6,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,12,94,94,5,11,17,94,94,94,1,94,7,94,,
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,4,94,94,1,94,5,94,94,94,94,94,94,94,94,94,94,94,2,94,94,94,94,94,94,94,5,94,94,94,94,94,94,4,94,94,94,94,94,94,94,94,94,94,3,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,
94,7,94,94,94,94,2,94,94,94,94,3,94,94,94,94,94,94,94,94,94,94,94,94,94,4,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,5,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,8,94,94,94,94,94,94,94,94,94,94,94,94,1,94,94,94,94,94,94,94,6,94,94,94,94,,
94,94,94,94,94,94,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,2,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,2,94,94,94,94,94,94,3,94,94,94,94,94,94,94,94,94,94,94,94,94,3,94,94,94,94,94,1,,
53,94,3,53,53,12,53,53,94,2,53,11,53,94,53,14,53,53,53,94,4,8,6,94,53,10,94,53,94,5,53,94,53,94,53,53,13,53,53,53,94,94,53,53,94,94,94,94,53,53,94,53,94,53,53,94,53,53,94,53,94,1,94,53,7,94,94,53,94,53,53,53,9,94,94,94,53,94,53,94,53,94,53,53,94,53,53,53,94,53,94,53,53,53,,
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,
1,94,94,94,94,2,94,94,5,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,3,94,94,4,94,94,94,94,94,94,94,94,94,,
94,94,94,94,94,94,14,94,94,94,94,2,94,94,94,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,3,94,94,94,94,94,94,94,94,94,94,34,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,
94,10,94,94,94,94,94,94,94,14,94,94,94,94,94,94,21,94,94,94,17,94,16,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,20,2,94,3,94,94,1,94,94,94,13,19,94,5,94,21,94,94,94,94,94,11,18,94,94,94,94,12,94,94,94,94,7,15,94,94,4,94,94,94,9,8,6,94,94,94,94,94,94,94,94,94,94,94,94,,
