rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,Num Cands,Num Seats
2,21,21,21,21,21,21,21,3,21,4,21,21,21,21,21,21,1,21,21,21,21.0,1.0
10,21,4,12,3,21,14,11,1,6,21,21,21,2,21,9,7,13,21,5,8,,
1,19,10,2,20,15,13,16,11,8,3,12,18,5,17,6,21,9,4,14,7,,
21,15,8,6,20,2,10,11,19,18,5,14,17,7,13,4,3,9,16,1,12,,
10,7,9,3,14,20,2,4,6,12,18,1,21,15,19,16,8,17,13,11,5,,
14,10,15,12,6,1,8,18,13,17,11,9,5,4,2,21,19,7,16,20,3,,
13,3,19,10,11,15,1,16,12,6,21,8,14,9,20,18,7,4,5,17,2,,
21,21,21,21,21,3,21,21,7,21,2,21,21,21,1,6,21,4,21,5,21,,
16,15,18,17,13,8,9,5,19,12,4,1,10,14,21,20,7,6,2,3,11,,
5,19,11,2,13,6,14,9,4,7,8,18,20,10,16,17,14,1,21,3,12,,
19,13,12,11,10,1,7,6,3,4,20,8,18,9,5,14,17,2,15,16,21,,
5,11,7,6,21,18,9,13,3,2,4,14,18,20,12,19,18,10,1,18,8,,
2,14,17,12,18,21,16,5,6,9,11,13,19,1,20,15,10,4,8,7,3,,
1,10,2,6,4,20,16,12,3,10,7,19,21,19,21,4,9,16,18,7,21,,
5,18,9,7,19,17,8,3,6,15,12,14,21,16,11,20,4,10,2,1,13,,
9,2,14,15,19,16,1,6,3,10,13,20,21,5,8,7,12,18,17,6,11,,
5,20,2,9,15,14,19,17,8,7,6,21,16,10,18,1,4,12,13,3,11,,
13,15,11,14,20,16,3,1,9,5,18,7,21,17,19,12,8,10,4,2,6,,
17,14,15,5,12,18,4,6,7,3,13,2,19,11,20,16,10,8,1,9,21,,
1,21,4,2,21,21,21,21,3,21,21,21,21,21,21,21,6,5,21,21,21,,
1,19,19,9,20,19,3,19,2,8,7,10,21,5,11,19,4,19,19,6,19,,
1,19,5,12,16,20,3,10,2,17,14,15,21,7,8,13,6,9,11,4,18,,
11,13,21,15,18,16,7,3,9,10,12,1,20,8,14,19,17,6,2,4,5,,
4,13,9,14,20,19,2,17,8,15,13,6,18,21,10,5,1,11,3,16,7,,
3,20,4,11,16,20,7,5,2,6,12,14,21,15,17,9,8,10,13,1,20,,
9,21,10,10,9,21,21,16,21,11,9,15,21,21,21,9,16,12,15,10,21,,
21,6,21,21,21,3,2,6,3,7,21,21,5,21,21,21,21,21,21,1,21,,
4,17,15,3,7,20,21,12,2,6,13,18,19,1,11,16,10,8,14,5,9,,
18,11,16,12,10,21,7,8,3,5,15,2,20,17,19,14,13,6,1,9,4,,
14,11,9,13,2,18,8,5,12,4,3,10,19,17,20,21,16,1,7,6,15,,
1,21,6,2,14,13,19,16,15,4,10,18,20,7,17,8,9,3,12,5,11,,
9,21,10,1,11,17,19,4,16,14,12,3,20,5,18,6,2,8,7,13,15,,
1,20,14,11,18,19,4,10,7,16,12,15,21,6,3,9,17,2,5,8,13,,
5,17,15,11,19,13,10,4,1,7,16,14,8,3,20,21,6,9,12,2,18,,
2,21,19,10,7,17,9,13,1,8,11,21,16,14,18,15,3,5,4,12,6,,
3,12,21,10,20,17,9,5,8,13,6,4,19,14,15,18,11,1,2,7,16,,
8,14,15,16,12,9,1,6,7,19,10,4,21,13,3,17,19,5,2,20,11,,
3,14,18,2,18,8,18,4,5,9,11,7,21,12,19,18,13,1,6,10,20,,
14,8,19,9,17,20,1,2,11,3,12,6,21,15,18,16,13,4,7,5,10,,
2,21,4,6,9,21,21,21,1,7,5,21,21,3,21,10,21,21,21,11,8,,
6,20,4,9,15,19,18,7,8,2,10,17,21,1,11,5,12,14,16,3,13,,
6,19,2,12,9,14,20,21,5,10,3,18,17,11,4,7,1,13,16,8,15,,
14,8,19,12,16,9,4,2,6,18,15,5,10,11,21,20,17,7,3,13,1,,
