rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
17,17,17,1,17,17,17,17,2,17,4,17,3,17,5,17,1,17.0,1.0
17,17,17,2,17,2,17,1,17,1,17,2,17,17,17,17,17,,
12,15,6,3,17,5,9,8,4,1,13,11,14,16,7,10,2,,
11,13,2,4,10,3,6,5,16,14,12,8,17,15,7,9,1,,
16,17,3,2,12,16,4,16,7,1,11,10,5,10,8,6,9,,
17,11,2,3,8,17,17,16,3,4,17,2,6,17,5,1,2,,
9,11,1,6,16,12,4,17,3,7,14,15,5,10,8,13,2,,
9,17,3,5,10,17,17,17,8,2,17,4,7,17,6,17,1,,
12,16,7,1,15,10,11,17,5,3,15,9,4,6,8,15,2,,
13,16,3,4,14,10,15,17,2,1,8,7,13,13,9,5,13,,
5,16,4,8,12,14,11,17,9,15,3,2,1,6,13,7,10,,
3,4,1,16,9,14,7,6,17,10,15,2,8,13,12,11,5,,
11,1,8,5,9,14,17,13,3,6,15,11,7,10,4,13,2,,
17,17,17,2,17,8,17,9,6,17,1,3,4,17,17,17,5,,
10,15,1,3,13,17,7,12,16,2,8,5,14,11,9,6,4,,
17,17,2,1,17,17,17,6,17,6,3,4,17,5,6,17,3,,
17,17,1,3,8,6,17,17,10,4,17,2,7,9,17,17,5,,
16,7,10,1,6,13,17,8,4,5,12,6,2,15,3,14,2,,
17,17,17,17,6,17,17,1,17,17,17,17,17,17,10,17,17,,
13,1,2,9,10,4,17,7,11,14,16,3,12,5,6,15,8,,
17,17,2,10,17,17,17,17,17,17,17,1,17,17,6,5,3,,
15,9,3,7,11,14,17,16,2,13,8,5,1,4,12,10,6,,
8,17,5,7,3,5,5,4,17,4,3,6,17,8,2,3,1,,
14,17,2,10,14,1,16,11,5,10,14,10,6,15,4,10,3,,
17,17,9,10,17,16,17,17,17,14,17,11,12,17,15,17,13,,
17,17,1,3,17,2,17,9,8,7,17,4,5,17,6,17,17,,
5,17,1,17,6,2,17,17,17,3,17,4,10,3,2,4,2,,
17,1,5,17,17,5,17,4,17,17,10,10,17,2,17,3,5,,
16,17,16,2,16,16,3,16,4,16,16,1,16,16,16,16,5,,
9,16,5,1,15,13,12,17,4,6,11,8,3,14,10,7,2,,
17,17,3,17,17,17,6,17,17,17,7,1,17,17,4,17,2,,
11,17,2,5,12,3,9,13,5,6,15,10,8,10,16,14,5,,
15,8,7,1,10,15,17,11,4,5,2,3,6,13,3,12,1,,
5,14,8,2,15,16,4,17,9,3,12,1,10,6,7,13,11,,
6,8,12,2,13,5,9,10,3,17,7,12,4,11,12,14,1,,
16,17,1,6,14,5,7,8,15,11,9,4,13,12,3,2,10,,
5,17,14,5,12,13,7,15,3,1,11,8,2,16,10,9,4,,
11,17,1,17,10,2,8,3,17,6,17,17,7,9,5,17,4,,
14,16,4,13,3,6,8,7,2,9,15,1,5,17,10,11,12,,
11,13,1,4,15,7,16,14,9,2,12,5,17,8,6,10,3,,
17,17,1,2,17,3,17,6,17,8,17,17,17,17,4,17,5,,
12,13,1,7,16,11,17,4,10,9,5,6,8,2,15,14,3,,
11,16,14,2,5,17,8,15,3,10,12,4,1,7,9,6,13,,
17,17,1,1,16,8,17,15,17,5,17,3,5,1,3,17,2,,
3,14,10,8,13,9,6,11,16,12,2,1,15,17,7,5,4,,
13,17,9,2,1,17,6,7,5,10,8,11,4,14,17,12,3,,
