rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,Num Cands,Num Seats
1,23,23,23,23,23,23,23,1,1,1,23,23,23,4,2,23,3,2,23,23,2,23,23.0,1.0
15,2,23,19,21,13,18,1,22,8,6,12,17,3,20,16,5,4,12,14,7,9,10,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,1,23,23,2,23,23,23,23,3,23,23,23,23,,
23,23,2,23,23,23,23,5,23,23,23,23,23,8,23,23,23,1,23,23,23,23,23,,
23,9,3,23,23,23,10,7,8,23,23,11,23,4,5,23,1,2,23,6,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
6,10,23,23,23,23,23,3,23,23,1,23,23,23,5,23,9,4,8,2,11,7,23,,
23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
9,23,7,23,23,23,23,2,23,23,23,23,23,8,4,23,6,5,23,3,1,23,23,,
23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2,23,23,23,23,2,,
23,8,23,3,23,23,23,4,9,23,1,23,23,23,23,23,7,5,2,6,23,23,23,,
3,8,23,23,23,23,23,2,9,23,1,23,23,23,5,23,4,5,23,2,23,23,23,,
23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
3,23,23,2,23,6,23,1,23,23,23,23,5,7,23,23,23,23,4,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
13,11,1,3,23,16,5,2,15,8,15,23,23,10,12,14,6,9,4,7,23,18,23,,
23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
13,5,4,23,15,23,23,6,23,23,3,23,23,1,11,7,12,10,8,2,9,23,14,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,,
23,2,8,3,1,12,13,6,23,4,23,23,23,7,23,23,23,5,23,9,11,23,10,,
10,2,11,13,20,19,14,1,12,21,4,22,18,23,8,16,3,5,9,7,15,17,6,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
2,15,16,21,12,8,10,6,1,14,4,18,9,22,11,5,17,19,23,7,20,3,13,,
23,23,23,23,23,23,23,23,23,23,1,23,23,2,23,23,23,23,23,23,23,23,23,,
5,23,23,23,6,2,8,23,12,11,1,23,8,4,23,23,23,23,3,10,23,10,8,,
3,12,8,10,23,18,14,4,9,20,16,15,17,6,2,21,7,11,5,1,22,13,19,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
3,21,20,2,1,16,19,14,15,10,13,4,23,5,12,6,9,7,22,8,18,11,17,,
23,23,1,23,23,23,23,3,23,23,23,23,23,23,23,23,23,23,23,2,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
7,11,14,14,14,14,14,4,12,13,1,22,14,23,5,21,8,6,2,3,9,10,14,,
23,2,23,3,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,3,23,23,23,23,4,23,23,23,23,23,23,2,23,23,1,23,23,23,23,23,,
3,23,7,23,23,23,23,2,5,23,8,1,23,4,23,23,6,23,23,23,23,23,23,,
3,6,11,22,1,18,4,8,12,23,19,16,20,2,21,9,10,17,7,5,15,13,14,,
23,23,23,23,23,5,23,23,4,23,1,23,23,23,23,3,23,23,23,23,23,2,23,,
11,4,7,6,23,23,13,2,23,10,12,23,14,23,9,23,5,8,1,3,23,23,23,,
6,8,9,3,23,23,23,10,4,23,23,23,23,23,23,23,23,5,23,2,1,23,23,,
23,23,23,7,23,7,23,23,23,23,1,23,23,5,23,6,23,23,23,23,23,4,23,,
7,23,3,23,23,23,8,2,23,23,23,23,23,1,5,23,6,23,23,4,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,,
1,23,23,3,23,23,23,23,2,23,23,23,23,5,2,23,4,23,23,3,23,23,23,,
22,23,22,3,1,22,22,22,22,22,22,22,22,23,22,22,22,5,2,4,23,22,22,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,2,23,23,23,23,,
23,23,2,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,3,23,23,23,,
23,2,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
4,20,13,7,15,18,12,2,8,16,12,10,19,14,6,17,1,9,5,3,23,21,15,,
23,23,23,23,3,23,23,23,23,23,23,23,23,5,23,23,23,1,4,23,23,23,2,,
3,23,23,23,23,23,4,23,23,2,1,23,23,23,23,23,5,23,23,6,23,23,23,,
5,23,3,23,23,23,23,6,7,23,1,23,23,23,23,6,4,23,23,23,23,2,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
2,23,23,23,23,23,23,7,8,23,1,6,3,23,23,23,23,23,5,4,23,23,23,,
23,23,23,3,23,23,23,23,23,23,23,23,1,2,23,23,23,23,23,23,23,23,23,,
10,15,15,4,15,4,5,5,15,1,8,10,15,6,15,2,7,15,15,10,15,2,10,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
15,15,15,15,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,15,15,15,,
4,9,2,6,12,5,23,1,23,16,3,23,12,15,23,23,13,12,12,8,23,7,14,,
23,2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
2,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
8,11,13,6,23,16,14,2,10,23,5,9,22,22,23,15,4,7,1,3,12,13,23,,
23,3,5,23,1,23,23,23,23,23,23,23,23,23,23,2,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,,
23,23,23,3,23,2,23,23,23,23,23,23,1,23,23,23,23,23,22,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,2,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
1,23,23,1,23,23,23,23,1,23,1,23,23,23,23,23,23,23,23,23,23,23,23,,
1,23,23,5,23,23,23,2,6,23,23,23,23,23,4,23,3,23,23,5,23,23,23,,
1,23,5,9,23,10,23,7,4,6,2,3,23,8,12,23,11,23,15,14,23,13,23,,
3,5,6,9,17,16,23,2,12,13,14,17,17,8,10,17,4,7,15,1,17,11,17,,
