rank1,rank2,rank3,rank4,Num Cands,Num Seats
4,1,4,4,4.0,1.0
4,2,1,3,,
1,4,2,Skipped,,
1,2,3,4,,
4,4,4,1,,
4,2,3,1,,
3,1,4,2,,
1,3,2,4,,
1,4,2,4,,
1,2,2,2,,
3,2,4,1,,
4,3,1,2,,
4,4,1,4,,
4,4,1,4,,
1,4,2,3,,
3,1,4,2,,
1,3,2,4,,
1,2,2,2,,
3,4,1,2,,
Skipped,2,Skipped,1,,
1,4,4,4,,
1,4,3,2,,
1,4,4,4,,
3,2,1,4,,
2,4,3,1,,
2,4,3,1,,
Skipped,2,1,3,,
4,1,4,4,,
Skipped,Skipped,1,Skipped,,
4,4,1,4,,
Skipped,1,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,,
1,Skipped,Skipped,Skipped,,
3,1,2,4,,
2,4,1,3,,
4,4,1,4,,
2,3,1,4,,
3,4,2,1,,
3,4,1,2,,
1,3,4,2,,
1,3,4,2,,
1,2,2,2,,
1,4,3,2,,
4,3,1,1,,
2,1,3,3,,
2,1,3,1,,
3,4,1,2,,
4,1,4,4,,
3,2,1,3,,
1,2,3,4,,
4,3,1,2,,
3,4,1,2,,
3,1,2,4,,
3,2,1,4,,
1,3,4,2,,
1,2,4,3,,
1,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,,
1,4,4,4,,
