rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
12,15,10,9,11,17,8,2,16,7,14,5,4,19,18,3,13,1,6,20,20.0,1.0
13,14,12,9,10,18,7,1,19,5,15,8,2,16,20,3,11,4,6,17,,
13,14,9,10,11,17,7,1,18,6,18,8,2,15,18,4,12,5,3,16,,
14,13,10,9,11,17,5,1,19,7,15,8,2,16,20,4,12,3,6,18,,
13,14,11,10,8,15,6,1,20,4,16,9,2,18,17,5,12,3,7,19,,
13,14,12,6,10,16,7,1,20,4,18,9,2,15,19,5,11,3,8,17,,
13,14,11,8,10,18,5,1,19,7,16,9,2,15,20,3,12,4,6,17,,
12,14,10,7,9,16,4,2,19,6,15,8,1,13,18,3,11,4,4,17,,
13,14,10,8,11,18,4,2,19,9,15,5,6,16,20,7,12,1,3,17,,
6,3,7,9,4,2,8,20,10,11,8,18,16,13,5,17,12,1,19,15,,
13,14,11,9,10,18,6,1,20,4,16,7,2,15,17,3,12,5,8,19,,
13,14,9,8,11,15,5,2,20,7,16,10,1,19,18,6,12,3,4,17,,
13,14,12,9,10,17,6,1,20,4,16,8,2,15,19,5,11,3,7,18,,
14,14,14,6,7,17,4,1,20,8,15,9,2,18,19,10,14,3,5,16,,
15,13,12,9,10,18,7,1,20,3,15,8,2,16,17,5,11,4,6,19,,
13,15,11,9,10,18,7,1,20,3,16,8,2,14,19,4,12,6,5,17,,
18,18,18,7,18,18,8,1,18,5,18,18,2,18,20,4,18,6,3,19,,
13,14,8,9,10,20,4,1,18,7,15,12,2,16,17,3,11,5,6,19,,
13,14,10,9,11,14,6,2,20,7,19,8,4,17,16,3,12,1,5,18,,
11,14,12,6,10,18,3,1,17,8,15,9,2,16,20,4,13,7,5,19,,
16,14,13,9,20,20,2,3,19,6,14,7,4,16,15,5,20,1,4,17,,
13,14,11,7,10,19,6,1,20,8,15,9,2,16,18,5,12,4,3,17,,
13,14,10,9,11,17,6,1,19,4,15,7,2,16,20,3,12,5,8,18,,
12,13,10,7,11,18,8,3,20,5,16,9,1,15,19,2,14,4,6,17,,
13,14,10,8,11,18,5,1,20,6,15,9,2,16,19,3,12,7,4,17,,
13,14,11,9,10,19,7,2,20,3,16,8,1,15,18,4,12,6,5,17,,
13,15,11,9,10,18,5,1,19,6,16,8,2,14,20,4,12,3,7,17,,
11,14,11,8,8,17,10,1,20,4,14,6,2,14,19,5,13,3,7,17,,
13,15,10,5,11,20,6,1,17,7,16,8,2,14,18,3,12,4,9,19,,
14,12,11,9,10,19,3,1,20,8,16,6,2,15,17,5,13,7,4,18,,
13,14,11,10,9,19,7,1,17,6,15,8,2,16,18,4,12,3,5,20,,
12,14,9,7,13,18,6,1,20,8,16,10,2,15,19,4,11,5,3,17,,
13,14,10,6,12,17,7,1,20,5,16,9,2,15,19,4,11,3,8,18,,
13,14,10,9,11,17,5,1,20,3,16,8,2,15,19,4,12,6,7,18,,
13,14,12,8,10,18,4,1,20,7,15,9,2,16,19,3,11,6,5,17,,
11,12,15,6,14,18,8,1,20,3,13,9,2,16,19,5,10,4,7,17,,
12,13,10,8,11,18,6,1,20,4,15,9,2,16,19,3,14,5,7,17,,
11,10,9,3,17,18,5,1,18,4,13,12,2,16,19,6,15,7,8,15,,
20,20,10,6,7,20,8,1,20,9,20,14,2,20,20,4,13,3,5,20,,
