rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
25,25,2,6,25,25,5,25,4,25,3,25,25,25,25,7,25,25,25,25,25,1,8,25,26,25,26.0,1.0
15,12,13,11,10,9,1,22,16,5,8,18,13,24,21,2,23,17,14,25,4,7,3,19,6,20,,
10,20,6,8,15,16,11,17,7,19,1,4,26,22,24,15,18,14,21,23,2,5,12,25,3,9,,
26,7,4,3,26,10,2,26,26,26,26,26,5,26,26,26,26,26,26,26,26,26,1,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,,
26,26,26,1,26,26,1,26,26,26,26,26,1,26,26,26,26,26,1,26,26,26,26,26,26,26,,
26,26,26,3,26,4,2,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,5,26,26,26,,
11,26,2,26,26,10,5,26,26,26,1,26,26,26,26,9,26,7,12,26,3,26,6,13,4,7,,
18,10,13,5,25,4,3,24,14,12,1,22,8,19,15,6,20,23,16,21,7,17,11,26,2,9,,
11,18,7,8,23,6,4,12,3,15,1,14,10,21,24,16,25,19,22,20,5,2,9,26,13,17,,
9,26,15,5,24,3,10,17,2,11,8,18,6,21,25,7,22,14,16,19,12,1,13,20,4,23,,
26,25,2,9,26,5,4,26,26,8,1,26,6,26,26,25,26,26,12,26,10,3,7,26,11,26,,
20,11,2,8,12,6,1,15,5,22,25,19,9,18,13,17,24,7,20,14,16,3,4,23,26,10,,
23,17,13,4,20,9,12,16,3,15,2,19,8,25,21,5,24,18,26,22,6,1,10,14,7,11,,
26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,10,6,26,26,26,1,26,9,26,26,26,26,26,26,26,7,1,2,26,5,26,,
26,26,26,5,26,1,4,26,26,26,26,26,6,26,26,26,26,26,26,26,2,26,26,26,3,26,,
21,2,9,5,15,6,1,11,13,10,18,24,8,26,20,7,23,14,25,22,19,12,4,3,17,16,,
24,6,2,3,21,12,8,20,9,26,1,17,4,23,25,14,16,18,22,15,5,7,10,19,11,13,,
26,26,26,3,26,4,6,26,26,26,7,26,8,26,26,26,26,26,26,26,1,10,5,26,2,9,,
26,26,1,5,26,7,3,26,26,26,26,26,4,26,26,26,26,26,26,26,26,2,26,26,6,26,,
21,13,1,4,23,12,3,25,8,15,5,14,6,19,16,20,22,16,24,16,7,9,10,26,2,11,,
26,26,3,10,22,9,7,26,4,26,1,18,9,26,26,25,14,5,15,26,26,2,8,23,6,13,,
26,26,26,26,26,8,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
22,20,1,5,14,6,4,17,8,11,3,25,19,24,21,15,12,13,23,10,9,2,16,26,7,18,,
6,24,2,8,10,9,13,16,25,20,5,12,26,17,21,11,14,15,7,18,3,1,19,22,4,23,,
18,6,2,7,22,15,3,19,14,23,26,25,4,12,17,20,24,5,16,11,8,10,9,13,1,21,,
16,19,2,3,13,7,5,24,6,21,4,20,14,12,20,18,17,8,25,9,26,1,15,25,10,11,,
14,26,4,4,26,9,6,26,13,9,15,26,1,26,26,8,26,26,7,26,12,2,3,26,12,26,,
26,26,3,6,8,26,4,26,26,26,1,26,10,26,9,26,26,5,26,6,26,26,7,26,2,26,,
11,25,3,25,25,12,5,25,13,25,1,25,8,25,25,7,25,9,26,25,6,2,10,25,4,25,,
6,26,26,26,26,4,2,26,26,26,1,26,8,26,26,26,26,26,26,26,7,5,26,26,3,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
19,16,2,9,24,8,5,17,13,11,7,25,1,23,22,14,26,20,15,10,3,6,12,21,4,18,,
12,13,11,1,18,19,9,10,7,21,3,15,6,16,22,5,23,25,14,24,20,8,1,26,4,17,,
10,13,5,4,26,11,26,12,9,25,1,26,8,26,26,12,26,6,14,26,24,3,7,26,2,26,,
15,20,3,6,18,9,5,16,14,17,1,26,7,26,26,13,22,10,26,21,11,2,12,19,4,8,,
26,5,26,4,26,26,7,26,26,26,2,26,26,26,26,8,26,26,26,26,1,26,26,26,3,26,,
15,4,2,8,17,9,1,12,11,22,23,19,7,5,21,14,18,10,26,16,5,13,3,24,25,20,,
17,8,7,3,21,5,1,26,16,12,11,21,2,15,18,13,26,20,14,19,10,22,9,26,4,6,,
5,15,1,7,11,17,4,9,3,19,6,20,8,13,14,16,18,8,26,10,21,2,12,26,26,9,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,10,26,26,26,26,26,26,26,26,26,26,,
24,14,3,5,20,7,6,17,19,11,4,23,8,25,16,18,21,15,12,22,1,13,9,26,2,10,,
26,26,2,3,26,26,10,26,26,26,4,26,5,26,6,26,26,9,26,8,26,1,26,26,26,7,,
12,7,2,8,18,10,3,17,6,24,26,23,5,23,15,23,16,4,11,13,14,25,9,23,1,23,,
15,8,1,3,26,13,21,24,22,2,16,20,11,9,10,19,12,18,7,17,6,5,14,26,4,23,,
23,19,1,12,26,13,3,20,4,16,26,26,6,22,18,7,24,17,10,21,5,2,8,25,9,26,,
12,26,2,10,26,8,7,26,26,11,5,26,3,26,26,26,26,26,26,26,26,1,9,26,6,4,,
12,14,1,2,22,4,5,19,13,18,26,23,10,15,16,25,17,9,24,21,3,11,6,20,7,8,,
26,26,2,3,26,5,1,26,26,26,26,26,26,26,26,4,26,26,26,26,26,26,6,26,26,26,,
21,11,1,5,10,4,3,22,19,12,2,17,9,26,14,24,23,15,25,16,8,20,6,18,7,13,,
26,12,26,26,26,6,1,12,26,26,4,12,2,12,26,26,26,12,26,12,5,12,8,26,3,7,,
16,24,2,5,23,11,4,13,8,17,1,22,6,19,21,25,20,15,18,14,9,7,10,26,3,12,,
26,26,4,26,26,26,1,26,26,26,2,26,26,26,26,26,26,26,26,26,26,3,26,26,26,26,,
19,17,2,8,12,5,7,25,6,13,3,24,4,24,15,20,19,24,10,16,14,18,9,26,1,11,,
18,22,2,24,18,7,6,19,20,18,4,18,26,18,3,21,18,18,18,18,1,18,5,25,23,18,,
12,9,2,3,24,4,13,24,6,24,1,24,5,24,24,24,24,11,26,24,25,7,8,24,10,24,,
22,16,3,7,19,12,2,25,23,13,9,24,10,21,5,17,26,14,15,6,8,20,1,26,4,11,,
26,12,1,6,14,9,3,11,2,26,26,13,8,26,26,26,26,26,26,26,20,4,5,26,7,10,,
