rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
3,1,4,6,8,5,7,2,9,10,10.0,1.0
1,10,6,3,9,1,2,1,2,8,,
1,8,4,9,6,5,3,10,7,2,,
5,3,9,1,10,4,2,8,7,6,,
1,7,8,3,4,2,5,9,10,6,,
4,3,5,1,6,8,2,7,10,9,,
4,10,4,2,7,1,6,3,9,6,,
1,4,10,3,10,5,6,10,10,2,,
10,8,6,4,1,3,7,5,2,9,,
10,9,5,3,6,2,4,1,8,7,,
8,3,5,2,9,7,1,10,6,4,,
8,1,5,2,3,6,4,7,9,10,,
2,8,6,9,7,3,10,1,5,4,,
4,10,3,2,7,1,6,9,8,5,,
10,10,10,10,10,10,10,1,10,10,,
10,10,10,10,10,10,1,10,10,10,,
1,3,6,7,8,5,4,2,10,9,,
9,5,4,1,2,3,6,8,7,10,,
10,10,10,10,1,10,10,10,10,10,,
10,10,10,10,10,10,10,1,10,10,,
1,10,10,10,10,10,10,10,10,10,,
2,10,1,10,10,9,10,2,10,10,,
10,10,10,10,10,10,10,10,10,10,,
10,10,10,10,10,10,10,10,10,10,,
8,9,3,8,7,10,5,6,2,1,,
1,2,10,3,10,5,4,7,10,6,,
9,10,8,9,9,9,9,1,9,9,,
10,10,5,4,7,1,3,10,6,2,,
7,9,4,3,5,1,2,8,10,6,,
1,2,3,8,6,7,5,4,9,10,,
10,10,10,10,10,10,10,10,10,10,,
10,10,10,10,10,10,10,10,10,10,,
9,7,4,3,8,5,2,1,6,10,,
6,1,5,4,9,3,10,2,8,7,,
10,10,10,10,10,10,10,10,1,10,,
10,10,10,10,10,10,10,10,10,8,,
1,10,6,9,10,9,9,1,10,10,,
