rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,Num Cands,Num Seats
40,40,40,40,40,4,40,40,40,1,40,40,40,40,40,40,5,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40.0,1.0
1,2,40,10,5,15,40,6,38,12,36,37,40,40,17,34,35,13,19,5,40,20,40,21,22,39,35,7,4,14,40,18,9,16,23,34,40,8,3,11,,
40,40,40,40,40,40,40,40,40,40,40,40,3,1,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,40,40,40,40,4,40,40,40,40,,
23,24,37,33,4,2,34,3,21,25,32,20,30,36,17,35,6,31,38,16,12,9,26,22,13,28,27,5,8,29,14,7,11,10,18,40,39,1,15,19,,
40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,4,40,40,40,3,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,1,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,,
39,40,39,39,39,39,39,39,1,39,39,39,39,39,39,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,39,39,39,39,,
40,40,40,40,40,40,28,39,40,2,40,40,32,40,40,27,35,40,29,36,40,40,40,40,40,37,31,40,40,40,30,40,33,40,1,40,40,34,40,38,,
35,18,35,8,35,35,18,37,35,3,35,35,6,36,18,10,18,35,12,10,35,40,5,35,35,35,10,7,35,35,35,2,18,35,1,18,35,40,18,4,,
30,40,10,30,40,7,6,5,10,40,40,9,40,15,1,40,1,3,3,40,40,7,40,26,40,7,38,4,4,40,20,40,20,19,40,40,40,12,6,4,,
2,30,1,30,40,25,20,40,40,20,40,40,25,30,30,40,3,40,30,30,30,30,30,40,30,20,10,40,40,30,30,30,10,30,25,40,30,30,40,40,,
40,40,40,2,2,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,1,2,40,40,40,2,40,2,40,40,2,40,40,40,40,,
5,40,40,7,2,2,5,2,6,7,40,40,40,40,40,40,40,40,40,5,40,40,5,40,3,40,40,3,2,40,7,5,40,40,40,40,40,40,1,40,,
40,40,40,40,3,10,40,9,40,40,5,40,40,40,40,40,40,40,40,40,40,40,40,7,40,40,40,6,1,40,8,11,12,2,40,40,40,40,10,4,,
40,40,40,40,8,4,40,1,5,40,5,40,40,40,40,40,40,40,3,40,40,40,40,6,40,9,40,5,7,40,40,40,2,5,40,40,40,40,3,40,,
40,40,40,40,5,40,40,40,40,7,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,40,40,6,40,40,40,40,1,40,3,40,2,,
40,4,40,40,3,40,40,2,40,2,40,40,3,40,40,40,40,40,40,40,2,40,1,40,40,40,40,40,40,40,3,1,40,40,40,40,40,40,40,40,,
40,40,40,40,40,5,40,40,40,40,40,40,40,40,40,2,40,40,40,1,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,6,40,40,40,40,,
40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,40,,
40,13,40,40,40,5,40,40,40,9,40,1,4,2,40,11,40,40,40,40,6,40,3,8,40,40,40,7,40,40,40,10,40,40,40,12,40,40,40,40,,
40,2,40,5,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,4,6,40,40,40,3,5,40,40,40,8,40,40,40,7,,
40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,4,40,40,40,40,40,40,33,40,40,40,3,40,2,40,,
40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,2,3,3,2,40,40,40,40,40,40,3,1,40,3,40,1,40,3,40,40,2,1,3,40,40,,
12,8,29,24,40,1,35,4,40,15,6,22,8,21,7,40,17,20,28,2,33,1,29,28,17,1,15,4,4,20,40,31,1,17,9,40,40,24,1,40,,
40,40,40,40,40,1,40,2,3,40,40,40,40,40,40,7,6,40,5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,9,40,40,8,4,,
40,40,40,4,40,40,2,40,40,6,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,5,7,40,40,40,40,40,40,40,40,8,3,40,40,40,,
40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
20,4,36,35,8,3,15,9,17,5,24,26,13,29,30,37,22,19,39,10,18,31,6,32,14,27,33,2,12,25,23,7,28,34,16,38,40,21,1,11,,
12,3,40,40,13,40,8,40,2,5,14,40,40,40,40,11,40,40,40,40,40,6,40,1,40,15,40,4,40,40,9,7,40,40,40,10,40,40,40,40,,
10,17,15,40,10,10,1,10,10,10,15,1,10,1,17,17,17,40,40,10,15,17,40,10,15,10,40,15,10,10,40,10,15,10,10,40,40,15,40,10,,
40,40,40,40,6,40,40,9,3,7,40,40,10,40,40,40,40,40,40,40,40,40,11,40,5,40,40,1,2,40,8,40,4,40,40,40,40,40,40,40,,
