rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,Num Cands,Num Seats
18,2,17,19,23,10,7,25,20,22,3,24,15,14,11,12,8,9,13,4,21,5,1,6,16,25.0,1.0
13,7,2,19,1,11,12,16,9,14,19,19,17,19,19,18,19,4,19,8,10,3,6,15,19,,
21,3,20,15,14,16,24,7,11,9,10,12,4,22,8,25,17,6,19,1,23,5,13,18,2,,
3,16,18,6,1,9,5,20,4,21,19,13,12,8,25,23,10,2,11,15,24,17,14,7,22,,
2,21,17,22,5,18,7,13,12,8,16,1,9,10,19,14,15,4,11,3,23,25,6,24,20,,
1,7,14,12,23,18,4,19,24,10,21,17,6,13,15,25,16,2,9,3,5,8,11,22,20,,
7,12,4,20,5,8,23,3,6,22,21,2,9,17,14,19,10,25,24,15,16,1,13,11,18,,
2,25,17,21,5,18,7,13,12,8,16,1,9,10,19,14,15,4,11,3,22,24,6,23,20,,
13,4,21,18,2,17,6,10,15,23,12,19,24,8,20,25,7,16,11,22,9,3,1,5,14,,
15,17,25,13,1,6,14,10,8,16,12,7,4,9,5,2,11,3,21,22,24,19,18,20,23,,
2,11,24,24,10,24,3,6,24,24,24,9,5,4,24,24,24,8,24,7,24,1,25,24,24,,
25,3,25,25,25,25,25,25,25,25,25,25,1,2,25,25,25,25,25,25,25,25,25,25,25,,
17,15,23,19,1,4,13,7,8,22,5,21,3,20,14,18,25,10,6,12,16,11,2,9,24,,
20,25,21,14,11,6,13,25,8,19,22,2,9,24,5,4,10,18,25,15,7,25,16,3,1,,
11,24,14,20,4,15,7,13,19,10,17,23,5,18,8,25,16,9,6,3,12,1,2,21,22,,
1,10,12,25,6,16,4,14,15,25,25,13,5,25,9,8,25,3,25,11,25,7,2,25,25,,
14,8,6,19,9,22,16,23,13,5,21,12,3,15,24,4,18,10,7,2,17,11,1,20,25,,
2,11,13,17,6,9,12,8,23,7,18,20,3,24,21,25,22,10,16,4,14,15,1,5,19,,
8,18,9,17,1,14,24,11,5,10,4,16,2,20,3,13,21,6,19,15,23,7,22,12,25,,
17,6,11,19,5,7,14,15,16,9,20,8,13,23,22,4,25,2,12,1,24,3,18,10,21,,
21,6,22,16,2,20,8,14,5,3,11,13,1,19,18,25,9,24,7,17,4,23,12,15,10,,
3,2,25,23,21,24,13,11,15,10,22,17,19,18,7,9,16,14,6,4,5,20,1,12,8,,
25,9,19,15,14,2,13,18,10,7,4,1,8,5,24,11,3,6,16,17,22,20,21,12,23,,
14,1,19,24,5,6,16,13,4,8,22,17,20,15,10,18,12,3,9,21,7,2,25,23,11,,
9,6,11,15,14,15,8,15,15,11,13,13,15,12,15,7,11,5,15,10,25,10,1,15,13,,
25,25,25,25,25,25,25,25,25,3,25,25,25,9,25,25,25,25,25,25,25,25,4,25,25,,
15,25,19,21,12,8,9,18,2,23,4,5,14,22,13,24,1,10,20,17,11,3,6,16,7,,
2,8,25,25,6,25,4,10,25,25,12,11,25,5,25,3,9,25,25,25,25,25,7,25,13,,
1,10,12,7,1,17,12,18,20,5,19,10,23,11,14,1,25,1,22,6,12,8,21,25,15,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,,
6,25,14,18,19,16,10,24,22,8,11,15,5,13,21,12,8,9,7,2,17,4,1,23,20,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,9,15,16,1,13,4,7,3,18,8,14,10,11,19,25,17,20,12,24,22,6,5,23,21,,
20,3,13,17,24,16,22,23,11,6,18,2,4,25,8,10,9,5,14,19,21,15,1,7,12,,
19,4,1,22,20,16,16,10,23,25,11,7,3,12,13,6,14,24,8,5,21,2,9,18,15,,
20,25,18,9,8,6,23,16,21,3,13,15,22,10,14,2,17,11,7,19,5,4,1,24,12,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
3,25,25,25,1,25,2,25,25,25,25,25,25,25,25,25,25,4,25,25,25,25,25,25,25,,
4,20,5,18,19,2,3,9,6,14,11,17,21,1,10,25,24,12,23,8,16,22,13,15,7,,
1,24,13,22,14,15,3,10,11,6,17,16,12,19,23,25,18,5,9,8,20,4,2,7,21,,
