rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,Num Cands,Num Seats
1,30,30,11,30,6,8,4,16,30,30,30,30,30,2,7,3,30,30,9,13,30,14,30,13,10,5,30,15,30,30.0,1.0
3,6,21,16,15,17,9,4,12,28,30,26,23,13,1,5,2,18,25,10,19,22,14,29,27,11,8,7,24,20,,
24,12,5,20,18,10,19,15,15,10,7,17,10,17,20,15,30,17,10,15,18,12,20,9,16,1,20,23,20,21,,
2,30,24,6,8,18,13,5,17,26,22,10,14,28,3,1,4,15,27,12,19,21,25,23,29,11,9,7,20,16,,
1,11,26,27,18,10,6,14,22,16,21,30,20,19,4,9,3,25,15,29,5,17,7,13,24,12,2,8,28,23,,
4,27,15,22,20,8,6,5,18,28,24,16,12,8,1,3,2,30,14,25,8,25,23,9,23,28,7,8,25,18,,
17,29,28,4,3,24,25,18,20,19,13,2,16,9,6,12,5,8,21,22,7,14,15,27,10,30,11,1,23,26,,
28,25,6,16,4,2,21,23,11,19,1,4,13,8,29,27,30,17,14,26,10,15,20,5,7,22,18,24,9,12,,
5,30,30,10,11,13,12,6,30,30,16,9,19,20,1,2,4,19,30,3,17,19,30,18,30,15,8,7,29,14,,
2,30,30,6,3,5,30,30,30,30,30,30,30,30,30,30,1,30,30,30,30,30,30,4,30,30,30,30,30,30,,
3,28,30,22,14,19,7,11,25,23,20,13,26,15,1,4,2,8,27,6,9,24,10,29,17,21,12,5,16,18,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
4,25,26,11,16,3,6,9,15,30,24,10,14,27,1,5,2,7,19,13,20,23,28,8,29,21,12,17,22,18,,
1,13,23,27,11,5,18,6,10,21,25,17,29,22,3,4,2,14,28,9,15,26,16,24,20,12,7,18,19,8,,
2,30,29,20,3,8,11,10,14,28,24,9,21,27,4,15,1,6,23,13,19,25,17,12,18,22,5,7,16,26,,
11,3,30,22,28,23,18,14,15,29,19,10,12,16,4,5,6,9,26,1,8,17,21,24,20,2,13,7,25,27,,
4,16,26,12,11,19,15,3,29,25,22,10,28,18,2,5,1,9,17,8,24,23,13,20,27,21,7,6,14,30,,
3,27,26,15,11,22,4,8,24,28,30,12,14,16,2,6,1,29,23,18,9,25,5,21,13,20,7,10,19,17,,
3,12,29,19,18,9,8,5,23,11,28,6,13,21,1,4,2,15,30,10,7,30,25,30,20,17,22,14,24,16,,
15,4,12,19,29,28,5,8,14,22,30,7,25,23,2,1,6,26,16,3,18,24,13,27,20,10,9,11,17,21,,
1,6,8,23,9,20,17,12,18,26,29,13,24,28,3,5,2,15,22,4,25,19,7,21,27,16,11,10,30,14,,
6,28,9,12,4,18,5,16,21,23,24,8,13,27,2,1,3,10,30,19,25,29,15,17,26,20,22,11,14,7,,
3,30,30,4,5,30,30,7,30,30,30,10,30,8,1,30,2,30,30,30,30,30,30,30,30,30,9,6,30,30,,
3,24,29,26,10,19,18,1,15,21,27,7,23,13,4,6,2,17,30,16,9,28,12,22,25,8,11,5,14,20,,
6,13,16,26,7,11,12,4,15,28,29,18,8,17,1,3,2,22,23,9,24,21,27,10,30,14,19,5,25,20,,
5,12,16,21,17,28,14,4,18,20,30,8,15,11,2,6,1,9,10,25,27,22,7,29,24,13,26,3,23,19,,
3,23,10,9,30,22,17,5,20,28,26,13,21,18,2,4,6,1,27,15,19,7,12,25,24,16,8,14,11,29,,
7,30,17,10,14,18,5,6,12,24,22,11,16,26,3,8,9,20,28,2,27,29,25,21,19,4,1,15,23,13,,
10,3,20,22,26,21,9,11,18,24,30,19,23,8,1,2,6,16,14,15,5,12,4,25,29,27,13,7,17,28,,
3,30,11,24,23,17,7,4,9,21,26,20,23,22,1,3,2,12,25,13,14,27,10,15,28,6,5,29,28,19,,
2,18,21,22,14,10,6,7,12,29,30,15,11,28,1,3,4,19,25,9,17,26,20,23,27,8,5,24,16,13,,
3,14,27,17,16,12,11,5,24,22,30,7,19,15,1,4,2,26,30,9,10,23,20,21,30,13,8,6,25,18,,
2,30,26,21,13,14,25,4,19,23,28,9,12,22,1,3,5,8,15,10,7,29,17,20,18,11,6,16,27,24,,
5,24,20,18,13,17,10,6,28,16,27,11,23,25,1,4,3,21,19,8,12,30,7,30,29,26,14,2,15,9,,
5,30,30,30,30,4,30,3,30,30,30,30,30,30,7,30,1,30,30,30,8,30,3,30,6,30,2,30,30,30,,
2,30,29,22,9,16,6,14,21,28,26,11,12,13,3,7,1,19,23,5,8,20,24,18,27,17,4,10,25,15,,
4,12,13,10,6,22,11,28,25,18,26,9,16,17,1,7,2,20,23,21,8,24,14,29,15,30,19,5,27,3,,
4,17,6,28,24,26,1,9,25,23,29,14,27,16,3,7,2,12,19,13,11,18,5,21,30,10,8,15,22,20,,
2,30,30,5,30,30,30,30,30,30,30,30,30,30,1,30,30,4,30,30,30,30,30,30,30,3,30,30,30,30,,
1,9,22,12,27,15,3,7,13,30,25,19,23,17,2,10,4,8,26,5,16,29,20,18,28,11,6,8,24,14,,
4,21,30,11,24,20,8,13,19,26,27,25,9,17,1,2,3,15,10,7,18,22,16,29,28,5,12,6,23,14,,
2,2,9,2,7,7,5,4,9,7,7,6,10,4,1,1,1,7,11,6,3,8,5,8,10,6,3,5,4,7,,
3,10,25,5,18,27,8,26,22,15,25,16,12,25,4,9,6,14,17,2,19,21,13,28,30,20,1,7,30,11,,
2,26,30,20,21,9,8,6,19,25,27,16,24,17,3,4,1,10,29,5,13,28,22,12,23,11,7,15,18,14,,
5,12,13,15,16,19,6,4,26,25,29,11,27,23,2,1,3,14,28,8,22,30,20,24,21,10,7,17,18,9,,
1,3,5,3,3,6,7,3,5,8,6,1,5,9,3,3,1,4,4,5,8,5,4,7,5,4,4,3,5,3,,
1,30,29,24,18,9,12,3,15,27,25,19,10,20,8,6,7,13,28,5,14,23,11,17,26,16,2,4,22,21,,
