rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,Num Cands,Num Seats
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24.0,1.0
24,24,24,24,24,24,5,24,24,2,24,3,24,24,24,24,24,4,6,24,24,1,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
23,24,23,23,23,6,23,23,23,23,23,23,23,6,23,23,23,6,6,6,23,1,6,23,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
12,24,22,20,8,24,21,4,6,23,16,7,24,19,5,17,13,24,2,3,9,1,14,18,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,24,24,24,2,24,24,1,24,24,,
22,24,22,22,22,22,23,22,22,3,22,22,22,22,22,22,22,22,2,22,22,1,22,22,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
24,24,24,24,24,24,24,24,24,24,24,2,24,24,24,24,24,24,3,24,24,1,24,24,,
24,24,7,24,24,24,24,3,24,6,8,24,24,3,24,8,24,2,1,3,24,24,24,24,,
21,24,21,21,21,21,21,21,21,21,21,21,21,21,23,21,21,21,21,21,21,1,21,21,,
14,24,16,19,8,22,23,9,10,18,3,21,20,7,17,6,5,1,15,2,14,4,14,14,,
6,23,19,22,4,15,24,15,15,21,8,16,15,15,18,5,17,7,3,1,15,2,15,20,,
10,24,9,13,19,15,23,7,12,4,11,20,18,3,22,8,2,5,21,6,16,1,14,17,,
16,24,4,22,16,9,23,8,12,15,20,13,18,7,17,6,3,14,2,5,11,1,20,10,,
8,24,20,20,21,20,23,2,20,23,21,5,4,20,20,21,20,3,4,20,20,1,4,20,,
10,22,17,18,24,20,21,1,17,4,6,12,23,5,17,8,11,3,7,9,19,2,17,17,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
12,24,10,24,24,20,21,2,20,6,7,24,23,3,24,5,11,1,9,4,20,8,16,20,,
14,24,22,14,14,22,22,3,22,2,22,23,11,6,15,14,10,1,7,5,8,4,22,7,,
17,24,13,20,22,19,18,4,15,5,8,21,23,3,9,7,10,1,2,6,16,11,12,14,,
24,24,24,24,24,24,24,22,24,21,24,24,24,24,24,24,24,24,23,24,24,1,24,24,,
13,24,2,20,17,6,22,6,11,21,10,18,19,14,23,15,8,7,6,3,16,1,12,9,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,,
17,24,20,17,21,17,22,21,17,23,17,17,17,17,17,20,17,2,17,17,17,1,17,17,,
16,24,14,18,15,10,23,21,11,4,1,17,13,9,22,5,3,6,19,8,12,2,21,10,,
23,21,13,18,22,13,15,3,13,2,13,4,16,7,24,8,19,1,9,20,13,14,17,13,,
9,24,12,21,22,16,20,7,17,11,4,18,19,5,23,8,10,3,2,6,14,1,15,13,,
24,24,24,24,24,24,24,23,24,24,2,24,24,1,24,24,24,24,24,24,24,24,24,24,,
23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,2,24,24,3,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
