rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
5,9,17,12,10,15,2,4,14,11,7,3,8,1,16,6,13,17.0,1.0
17,7,5,13,6,16,10,2,8,9,14,3,1,15,4,12,11,,
17,10,2,11,1,15,7,12,8,5,14,9,3,16,6,13,4,,
6,12,14,3,15,11,2,8,10,16,5,4,9,1,17,7,13,,
5,4,7,8,2,6,14,10,17,16,1,9,15,12,11,3,14,,
10,4,5,17,3,17,6,8,7,17,9,2,17,1,17,17,17,,
17,17,1,17,17,17,17,17,17,17,2,17,17,17,17,17,17,,
15,3,1,17,6,13,8,2,5,9,7,11,4,16,14,12,10,,
17,6,1,16,2,15,12,10,11,8,3,9,7,13,4,14,5,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
16,14,17,15,2,4,3,1,13,12,8,6,9,7,11,5,10,,
17,17,17,17,17,17,17,17,17,1,3,17,17,17,2,17,3,,
14,6,11,15,9,8,7,4,17,13,1,12,10,2,5,16,3,,
4,13,12,15,9,2,8,7,17,14,1,3,10,16,11,5,6,,
15,13,3,7,2,17,9,10,11,1,14,8,4,12,6,16,5,,
10,17,11,14,1,16,12,3,5,15,2,6,8,4,13,7,9,,
10,7,13,4,9,6,11,17,15,16,1,14,12,3,2,8,5,,
17,12,10,7,8,15,11,9,4,2,14,5,6,13,1,16,3,,
3,5,7,13,14,16,9,1,12,4,11,10,8,2,6,15,17,,
17,9,2,13,5,16,10,4,11,3,1,6,8,15,12,14,7,,
12,11,10,16,1,15,2,4,7,17,5,3,8,15,6,9,15,,
12,13,16,17,11,8,7,3,2,9,10,6,4,14,15,1,5,,
11,1,10,3,12,4,16,8,5,17,7,6,13,9,15,2,14,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
15,9,4,17,8,12,10,3,5,6,2,11,1,14,16,4,7,,
17,12,4,10,2,15,7,9,16,1,13,5,6,11,8,14,3,,
10,6,9,7,14,15,16,1,4,12,2,8,13,5,17,3,11,,
12,4,2,7,14,1,8,9,10,16,5,3,17,13,11,6,15,,
17,6,5,13,1,14,11,4,8,12,10,7,2,15,16,9,3,,
16,12,2,7,1,15,11,14,9,3,10,6,8,13,5,17,4,,
6,15,10,12,16,8,1,13,7,14,3,17,5,11,9,2,4,,
12,14,17,9,8,13,7,10,16,3,1,15,11,4,2,6,5,,
2,11,16,15,5,12,3,1,6,7,4,13,10,9,14,17,8,,
1,17,17,17,12,4,5,9,10,3,11,17,8,17,6,2,7,,
1,17,6,17,17,1,1,1,3,10,1,7,1,1,1,1,1,,
4,13,15,6,14,17,2,8,7,9,11,1,5,3,16,10,12,,
17,12,1,13,2,15,11,4,7,6,9,10,5,12,3,14,6,,
16,14,8,12,4,17,11,1,11,9,2,13,6,5,10,15,3,,
