rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
14,8,6,3,15,7,16,12,2,9,10,17,5,11,1,4,13,17.0,1.0
17,5,8,2,17,3,17,17,10,7,12,13,1,3,6,8,11,,
12,9,8,6,15,5,16,11,4,3,7,17,1,14,13,10,2,,
14,7,4,3,16,8,17,15,2,11,10,9,12,5,1,6,13,,
12,9,4,3,15,8,17,13,1,14,6,16,5,10,2,7,11,,
13,8,5,3,15,9,16,14,1,12,6,17,2,11,7,4,10,,
10,5,7,8,14,4,17,16,3,13,12,15,9,11,6,2,1,,
14,1,5,7,13,8,16,15,9,11,12,17,2,4,3,10,6,,
9,11,5,3,13,10,17,14,2,15,6,12,1,8,4,7,17,,
12,11,9,5,15,10,17,15,2,7,13,16,1,6,4,3,8,,
13,11,6,10,17,3,16,15,5,1,14,8,2,7,12,9,4,,
17,8,3,17,17,9,17,17,1,6,17,17,4,17,7,2,5,,
13,4,5,3,15,10,17,14,2,16,8,11,9,7,6,1,12,,
8,10,5,2,9,6,13,12,1,16,17,17,3,7,4,14,11,,
12,10,8,5,17,3,9,14,7,1,15,16,2,6,13,11,4,,
11,8,6,3,17,10,16,15,2,12,9,17,1,13,4,7,5,,
10,7,5,1,15,11,17,14,2,12,13,16,3,8,4,6,9,,
12,9,5,7,13,10,17,15,1,16,8,11,2,4,3,6,14,,
12,4,9,1,15,3,16,13,6,5,14,17,2,10,11,8,7,,
8,7,5,6,10,7,17,12,3,17,4,11,3,9,1,2,4,,
11,13,8,9,17,10,15,14,1,3,6,16,2,5,7,12,4,,
13,8,6,5,12,7,17,14,4,11,9,16,1,10,3,2,15,,
10,7,4,3,15,8,17,14,11,16,12,13,2,6,1,5,9,,
9,13,6,8,16,10,17,15,2,14,4,7,12,11,3,1,5,,
11,9,3,10,14,13,17,16,2,15,5,7,6,12,4,1,8,,
15,10,16,11,14,7,17,13,6,9,2,1,8,5,12,3,4,,
13,14,6,5,15,10,16,17,3,4,9,7,1,12,11,2,8,,
11,5,6,3,16,8,17,15,7,13,12,14,2,10,1,9,4,,
9,5,3,14,4,6,16,8,11,17,1,12,15,13,2,7,10,,
12,8,4,3,15,7,17,13,10,16,11,6,2,9,1,5,14,,
14,7,10,3,17,4,17,13,2,8,11,17,1,9,5,6,12,,
14,12,8,6,15,11,17,16,2,10,9,13,1,3,5,7,4,,
17,1,7,3,14,10,16,9,13,11,15,2,6,12,5,4,8,,
7,9,13,5,16,10,11,8,17,3,4,6,14,15,2,1,12,,
9,10,5,4,16,11,17,7,2,15,14,8,1,6,3,13,12,,
13,10,4,3,15,11,17,14,2,16,7,12,1,9,5,6,8,,
