rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,Num Cands,Num Seats
39,39,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,39,39,39,39,39.0,1.0
15,3,2,32,37,18,25,17,8,13,32,27,16,4,11,28,5,6,32,35,20,34,26,38,7,21,36,32,19,39,33,9,32,14,12,22,23,1,10,,
39,39,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,
39,39,1,39,39,39,39,39,39,39,39,39,39,39,4,39,39,2,39,39,39,39,39,39,3,39,39,39,39,39,39,39,39,39,5,39,39,39,39,,
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,4,1,39,39,39,39,39,2,39,5,39,39,39,39,39,3,,
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,
39,5,3,39,39,39,39,39,39,39,39,39,39,4,39,39,1,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,6,39,,
38,33,31,23,13,24,11,27,29,18,22,39,21,28,26,36,35,34,14,25,3,2,20,10,4,8,19,12,37,7,6,30,9,15,17,16,5,32,1,,
39,2,2,39,39,39,39,39,4,39,39,39,39,39,5,39,1,1,39,39,39,39,39,39,3,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,
39,39,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,
39,39,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,39,39,39,39,39,39,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,
