rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,Num Cands,Num Seats
28,6,9,17,27,23,13,40,40,25,14,27,15,40,4,40,24,40,2,18,20,3,21,28,40,8,40,26,27,28,22,40,1,19,29,40,12,40,40,16,40.0,1.0
7,5,4,18,22,16,19,31,32,28,15,20,11,33,10,37,26,38,1,13,14,3,30,8,29,6,39,23,21,36,17,27,9,24,34,25,12,40,35,2,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,40,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,,
8,7,3,20,17,13,14,28,37,22,32,16,10,27,6,36,35,31,2,19,15,1,33,4,34,9,38,18,23,30,29,26,11,21,25,24,12,39,40,5,,
31,2,6,30,30,19,21,30,30,19,13,20,18,30,3,39,40,30,1,11,34,4,30,5,30,9,36,15,30,35,10,33,8,12,16,17,32,37,38,7,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,3,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
18,8,4,40,13,40,6,40,40,31,26,9,14,40,3,27,15,27,7,12,11,2,29,5,40,19,40,22,10,27,40,40,16,20,27,21,17,27,30,1,,
40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,5,5,40,40,4,40,4,40,40,40,40,40,40,1,3,40,40,40,40,40,4,,
40,6,6,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,2,40,40,4,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,5,,
23,19,7,21,16,25,4,34,30,29,13,6,3,37,15,39,17,38,2,7,5,18,28,22,32,20,31,14,26,40,24,35,1,11,12,27,10,36,33,9,,
7,4,9,40,40,30,20,40,40,40,40,40,20,40,6,40,40,40,5,30,40,2,40,3,40,8,40,30,25,40,40,40,10,20,40,40,40,40,40,1,,
26,9,7,14,19,8,1,28,31,12,15,11,10,32,3,40,17,39,2,4,18,5,25,20,24,29,34,21,22,35,30,37,16,36,27,23,13,33,38,6,,
