rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,Num Cands,Num Seats
9,23,4,23,5,11,23,23,3,23,23,23,9,9,23,23,9,10,2,23,23,2,12,23.0,1.0
23,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,3,2,23,23,23,23,,
7,23,3,23,7,23,23,23,7,23,23,23,7,23,23,23,23,8,2,23,23,2,23,,
6,16,7,23,6,13,13,23,6,23,13,16,6,13,16,23,13,17,6,23,23,6,13,,
23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,3,2,23,23,4,23,,
5,23,6,23,4,23,23,23,3,23,23,23,7,23,23,23,23,23,1,23,23,2,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,2,23,23,3,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,3,23,6,23,23,23,5,23,23,23,23,23,23,23,23,4,1,23,23,2,23,,
14,23,3,23,14,14,14,23,14,23,14,23,14,14,14,23,14,15,2,23,23,2,14,,
23,23,3,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,2,23,,
5,23,6,23,5,10,13,23,5,23,14,23,9,9,23,23,10,11,5,23,23,5,13,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
22,22,3,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5,1,22,22,4,22,,
23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,19,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,,
13,23,3,23,13,13,13,23,13,23,13,23,13,13,23,23,13,4,1,23,23,2,13,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
17,17,2,17,17,17,17,23,17,23,17,17,17,17,17,23,17,18,1,23,23,3,17,,
7,23,8,23,7,23,23,23,7,23,23,23,7,7,23,23,23,23,7,23,23,7,23,,
12,22,23,22,12,12,12,22,4,22,22,22,12,12,22,22,12,1,2,22,22,3,12,,
6,23,7,23,6,13,13,23,6,23,13,23,6,13,23,23,13,14,6,23,23,6,13,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,,
23,23,2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,,
5,17,6,18,4,11,13,22,3,23,14,16,8,9,15,20,10,7,1,19,21,2,12,,
