rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,Num Cands,Num Seats
7,2,4,13,8,6,3,20,14,1,23,15,17,12,22,9,19,11,10,5,16,18,21,24,24.0,1.0
17,23,22,11,14,20,19,16,21,2,8,15,9,4,5,24,3,18,1,10,13,7,6,12,,
24,24,24,24,24,24,24,24,24,4,24,24,24,24,2,24,24,3,1,5,24,24,24,24,,
14,17,9,13,4,6,19,24,15,5,10,7,16,19,20,3,8,11,2,22,12,23,1,18,,
24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,3,24,1,24,24,24,24,24,,
14,22,13,3,1,12,23,8,5,9,4,15,6,18,20,24,17,2,16,21,7,19,11,10,,
1,4,16,21,3,5,9,19,24,14,7,8,22,12,20,17,2,18,15,11,6,10,13,7,,
24,24,24,24,24,24,24,2,24,24,24,24,24,24,24,24,3,24,24,24,24,24,24,1,,
21,22,6,17,9,10,19,4,24,2,12,11,20,18,3,8,1,13,7,5,16,23,14,15,,
24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,24,24,24,24,24,,
21,24,9,3,20,19,4,6,23,7,2,5,22,1,12,16,8,11,15,13,14,10,17,18,,
24,24,24,1,24,24,24,24,24,24,24,24,24,2,3,24,3,24,24,24,24,24,24,24,,
24,24,15,24,20,18,24,24,24,1,19,24,24,24,1,24,3,24,1,24,24,16,24,24,,
3,23,1,15,2,6,13,10,14,9,6,5,23,23,23,16,23,12,7,23,17,23,24,9,,
24,24,24,24,8,6,5,4,3,24,24,7,2,24,24,24,24,24,24,24,24,24,1,24,,
7,12,1,24,4,5,15,24,3,24,10,11,24,13,24,16,2,10,24,24,2,8,9,24,,
9,7,2,10,14,15,18,3,23,11,1,5,13,24,21,22,12,4,16,6,19,20,17,8,,
7,10,2,10,10,10,10,10,10,10,6,10,4,10,10,10,5,8,10,9,10,3,10,1,,
24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,1,24,24,,
14,15,19,4,23,20,9,21,24,16,10,18,8,3,2,12,5,13,1,17,22,7,11,6,,
6,5,16,8,19,17,9,11,3,1,24,12,7,22,21,13,23,20,15,2,10,4,18,14,,
8,10,5,22,15,14,7,20,17,16,12,11,23,6,2,19,1,1,2,9,18,24,13,21,,
13,11,6,15,5,2,17,22,9,20,3,12,23,19,24,7,10,4,21,18,1,16,8,14,,
5,11,3,18,23,22,14,20,8,9,23,2,21,9,21,22,14,11,12,5,23,6,23,17,,
24,24,24,24,24,24,24,24,24,24,3,24,24,1,24,24,2,24,24,24,24,24,24,24,,
24,24,24,1,24,24,24,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,,
18,22,8,23,21,20,12,11,15,16,9,1,5,4,10,24,3,2,7,13,14,19,6,17,,
3,6,9,19,1,2,7,8,4,10,8,11,20,23,18,13,21,17,14,5,12,22,15,16,,
24,24,6,24,10,8,24,24,24,7,22,24,3,24,24,24,24,24,1,24,24,24,2,24,,
24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,3,24,1,24,24,24,24,24,,
24,24,24,1,24,24,5,24,24,24,1,5,5,1,24,24,1,24,24,24,24,24,24,5,,
