rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
26,26,26,26,26,26,26,26,26,2,26,26,3,26,26,26,26,1,26,4,26,26,26,26,26,26,26.0,1.0
7,14,15,21,19,1,4,18,20,2,9,21,11,6,5,10,8,3,21,16,17,12,21,21,20,13,,
26,17,21,19,7,2,11,23,8,24,10,9,20,14,25,15,12,1,13,3,4,22,16,5,18,6,,
24,24,24,24,24,26,24,25,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,,
26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,,
25,9,17,16,7,2,14,21,10,18,3,4,12,23,1,15,26,24,5,6,11,19,8,20,13,22,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,2,3,26,26,26,26,26,26,,
24,10,16,17,7,18,20,15,12,26,19,5,6,25,23,4,1,2,14,13,8,21,9,22,11,3,,
26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,1,26,26,26,26,26,26,,
26,26,26,26,26,1,26,2,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,,
26,26,26,26,26,3,2,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,,
24,24,24,24,24,1,24,24,24,24,24,25,24,24,24,26,1,24,24,24,24,24,24,24,24,24,,
26,26,26,26,2,26,26,26,26,26,26,26,26,26,4,1,26,26,26,26,26,26,3,26,26,26,,
9,26,26,26,26,8,6,26,26,26,26,26,3,26,26,4,5,1,26,7,26,26,2,26,26,26,,
4,19,19,19,19,3,19,26,19,19,19,19,19,26,19,1,5,2,19,19,19,19,19,19,19,26,,
