rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26.0,1.0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
17,26,11,10,14,4,12,26,6,15,8,22,9,5,18,3,7,13,16,26,2,1,21,19,26,20,,
25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,25,25,25,1,25,26,25,25,,
26,26,26,26,26,26,4,26,5,4,26,26,26,3,26,26,26,26,26,26,26,26,26,26,2,26,,
26,26,2,26,26,26,26,26,26,1,26,26,26,3,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,5,26,26,26,5,26,26,26,26,2,26,26,26,26,5,26,26,6,26,26,5,1,26,26,,
26,1,26,26,26,26,26,26,26,26,2,26,26,2,26,1,26,26,26,1,26,26,26,26,26,26,,
21,11,11,8,5,20,26,11,9,1,23,11,3,6,22,7,10,25,24,11,4,2,11,11,11,11,,
26,26,26,26,26,26,26,26,26,26,26,26,2,26,26,3,26,26,26,26,1,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
14,26,26,6,9,4,13,26,7,26,11,26,5,1,15,2,12,8,16,26,3,10,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,1,26,26,26,26,26,26,26,2,26,26,26,26,3,26,26,26,26,26,26,26,,
26,26,26,26,8,6,26,26,26,26,26,26,26,3,26,2,1,7,26,26,4,5,26,26,26,26,,
7,14,14,9,1,25,13,14,8,14,12,14,2,10,3,26,11,6,5,14,24,4,14,14,14,14,,
13,25,23,5,12,2,17,15,19,21,22,20,11,1,10,7,8,18,16,3,6,4,24,9,14,26,,
26,26,4,2,26,26,26,3,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
21,26,10,18,7,9,14,15,16,26,17,13,4,5,20,1,6,2,19,23,8,3,11,26,22,12,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
21,1,2,17,7,18,26,23,12,2,25,19,20,2,16,14,22,8,19,11,9,10,2,6,24,15,,
17,18,7,20,16,3,22,24,2,8,23,21,5,1,14,6,9,19,11,25,4,15,13,10,26,12,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,1,7,2,26,26,26,26,26,26,10,26,5,26,9,6,4,26,3,8,26,26,26,26,,
20,22,24,15,18,16,25,26,9,1,14,7,10,11,12,5,17,19,13,2,3,4,8,21,23,6,,
26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,6,26,2,26,26,26,26,26,26,26,26,26,26,1,26,5,26,3,4,26,26,26,26,,
26,26,26,26,4,3,10,26,8,26,9,26,26,1,26,26,26,6,7,26,5,2,26,26,26,26,,
16,1,26,24,4,10,21,26,26,26,9,26,26,2,3,14,12,17,11,26,13,17,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
17,22,4,9,8,14,18,20,26,2,19,21,26,1,3,11,10,7,16,12,13,5,6,26,26,15,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,1,26,26,26,26,26,26,26,26,26,3,26,26,26,26,26,26,2,26,26,26,26,26,,
26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
17,18,18,3,9,8,15,18,11,4,15,18,12,1,5,6,10,14,13,18,7,2,18,18,18,18,,
26,26,26,1,26,26,26,26,5,26,26,26,26,26,6,3,26,26,26,26,4,2,26,26,26,26,,
12,26,26,6,2,14,11,26,4,26,14,26,3,10,16,5,15,9,8,26,1,7,26,26,26,26,,
26,26,26,5,26,26,26,26,26,1,26,26,3,26,26,26,26,26,26,26,4,2,26,26,26,26,,
23,22,4,5,10,6,23,23,23,1,23,23,7,26,9,8,23,25,11,23,3,2,23,23,24,21,,
10,26,26,5,8,26,15,26,26,2,13,26,26,4,12,9,7,14,11,26,6,3,1,26,26,26,,
26,26,26,3,8,2,26,5,4,26,26,26,6,26,26,11,10,9,10,26,1,7,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,5,26,3,26,2,26,26,26,1,26,26,26,26,26,26,26,26,26,5,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,5,8,3,26,26,26,26,26,26,26,26,6,9,7,26,2,26,1,4,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,,
16,26,26,2,9,6,18,26,13,7,17,26,11,5,14,12,8,15,10,26,3,4,26,1,26,26,,
13,11,26,14,9,1,20,7,10,6,22,23,19,3,15,5,16,8,17,12,2,4,21,18,24,25,,
8,5,26,8,5,6,7,26,3,26,5,26,2,1,6,5,6,7,8,25,2,1,26,26,3,26,,
26,26,26,13,10,7,12,26,26,26,26,26,26,1,6,8,4,11,26,3,5,9,26,26,2,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
14,20,20,5,9,3,15,16,6,20,19,20,11,1,13,2,3,7,12,20,10,8,20,20,17,20,,
15,26,5,11,13,3,20,26,16,8,10,19,9,1,6,18,4,7,14,26,2,12,17,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,2,26,26,26,26,26,26,26,26,26,26,26,26,3,26,26,26,26,26,26,1,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
12,10,3,18,5,17,26,23,21,1,25,16,7,9,19,2,13,4,20,15,11,6,8,22,24,14,,
