rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
11,11,3,11,8,1,4,2,7,5,6,11.0,Unknown
7,8,3,6,2,11,5,9,4,10,1,,Unknown
9,5,3,8,6,10,7,2,4,11,1,,Unknown
3,11,2,11,11,11,1,11,11,11,4,,Unknown
6,11,7,11,11,2,4,3,11,1,5,,Unknown
8,4,1,3,7,5,10,2,9,11,6,,Unknown
1,11,4,11,11,3,7,5,2,6,8,,Unknown
11,8,6,9,11,3,2,4,7,2,5,,Unknown
3,2,7,1,8,10,6,9,4,11,5,,Unknown
6,6,6,3,6,2,1,5,5,11,4,,Unknown
2,3,1,11,4,11,11,5,11,11,6,,Unknown
3,10,6,10,10,11,2,10,5,1,4,,Unknown
3,4,6,6,6,2,1,5,6,6,6,,Unknown
1,2,5,11,3,4,7,9,10,6,8,,Unknown
3,11,6,1,4,9,7,2,5,11,8,,Unknown
7,11,8,2,1,10,3,4,6,9,5,,Unknown
7,4,1,5,6,9,2,8,11,10,3,,Unknown
11,11,2,5,11,11,1,3,11,11,4,,Unknown
2,10,5,10,10,4,1,3,10,11,6,,Unknown
1,11,2,6,11,8,8,3,5,4,9,,Unknown
1,3,6,10,2,5,11,10,7,10,4,,Unknown
8,9,3,5,7,6,1,4,10,11,2,,Unknown
4,9,7,5,2,10,8,6,1,11,3,,Unknown
7,11,9,10,4,1,5,3,6,2,8,,Unknown
2,4,3,10,1,5,11,8,9,7,6,,Unknown
3,4,6,5,2,8,11,10,7,9,1,,Unknown
11,11,3,2,11,11,11,1,4,11,11,,Unknown
6,7,1,8,3,11,5,2,9,4,10,,Unknown
2,10,5,3,4,6,8,1,7,11,9,,Unknown
4,11,11,5,11,3,1,2,11,11,11,,Unknown
7,6,1,3,9,4,10,2,8,11,5,,Unknown
7,6,1,4,5,2,9,8,3,11,11,,Unknown
7,4,2,5,1,9,3,6,10,11,8,,Unknown
5,4,1,7,8,10,3,2,10,11,6,,Unknown
11,11,11,11,11,2,11,11,11,1,11,,Unknown
9,7,2,4,6,8,1,3,11,10,5,,Unknown
7,4,9,11,3,6,5,2,10,8,1,,Unknown
2,6,10,3,4,8,1,11,7,9,5,,Unknown
4,8,7,3,10,6,2,5,11,9,1,,Unknown
2,4,9,3,1,10,7,5,6,11,8,,Unknown
9,5,9,10,6,3,2,1,11,4,7,,Unknown
