rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,rank114,rank115,rank116,rank117,rank118,rank119,rank120,rank121,rank122,rank123,Num Cands,Num Seats
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,12,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,11,123,123,123,123,123,123,123,123,123,8,123,123,123,2,7,123,123,6,123,123,123,123,123,123,123,123,3,123,123,14,123,5,123,123,123,123,123,4,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,17,16,123,9,123,123,123,123,123,10,123,123,123,13,123,123,123,123,123,123,123,123,123,123,19,123,15,18,123,123,123,123,1,123,123,123,123,123.0,1.0
123,123,123,123,123,123,123,123,123,1,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,4,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,,
123,123,123,123,123,123,123,123,123,123,123,123,123,123,1,8,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,7,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,123,5,123,123,9,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,4,,
123,123,123,123,123,123,123,123,123,4,123,123,6,123,123,123,123,123,123,123,123,123,123,123,123,123,123,5,1,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,7,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,123,123,123,123,123,123,123,,
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,1,123,123,123,123,123,123,123,123,123,123,1,123,123,1,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,1,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,123,123,2,123,123,123,123,123,123,123,123,123,,
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,8,123,123,123,123,123,123,123,5,123,123,9,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,6,123,123,123,123,123,123,2,123,123,123,123,123,123,123,123,123,123,4,123,7,123,123,123,123,123,123,123,123,123,123,123,1,123,123,,
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,123,123,123,1,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,4,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,,
20,123,123,123,123,123,123,123,123,4,123,123,123,123,9,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,6,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,10,123,123,123,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,5,123,123,123,7,123,123,8,123,123,123,123,123,123,123,123,123,123,1,123,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,,
123,123,123,11,123,123,123,4,123,123,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,9,123,123,123,123,123,1,11,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,6,2,123,123,123,10,12,123,15,13,123,123,123,123,123,123,123,123,123,123,123,123,123,123,8,123,123,123,5,123,123,123,123,123,123,123,123,7,123,123,123,123,123,,
5,123,23,123,37,123,2,123,123,6,123,123,123,123,123,123,123,13,8,4,123,123,23,123,123,123,123,123,1,123,123,123,30,30,10,123,23,37,123,123,30,11,123,123,123,123,123,123,123,123,123,24,123,30,14,23,123,37,123,123,23,123,123,123,37,37,123,123,123,123,23,123,123,123,123,123,23,123,123,123,23,12,123,9,123,15,7,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,37,123,30,123,123,123,123,31,123,3,38,123,123,30,123,123,37,123,123,123,,
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,1,123,123,123,123,123,123,123,3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,,
66,3,22,123,21,59,43,65,108,2,108,43,43,67,123,65,108,108,60,68,4,5,21,108,108,108,108,43,109,108,108,123,21,21,123,108,14,21,11,67,6,71,123,65,108,108,43,108,43,108,9,24,123,21,123,14,108,26,108,43,14,65,123,108,43,23,59,108,108,43,7,123,65,108,108,43,27,10,59,108,15,108,108,123,108,108,59,108,59,43,43,70,59,123,123,59,43,108,59,70,8,108,43,26,108,21,59,108,59,108,14,108,108,44,59,123,21,59,1,21,59,59,108,,
