rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,Num Cands,Num Seats
66,66,4,66,66,66,66,2,66,66,66,3,66,66,66,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,66,66,66,66,66,66,5,66,66,66,66,66,66,66,66,66,66,66.0,1.0
Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,4,Skipped,56,3,9,Skipped,Skipped,32,30,Skipped,Skipped,Skipped,Skipped,9,48,1,2,51,31,20,Skipped,54,Skipped,Skipped,Skipped,54,49,43,53,32,6,Skipped,Skipped,31,7,Skipped,8,9,53,Skipped,Skipped,30,15,Skipped,Skipped,Skipped,Skipped,11,8,Skipped,Skipped,7,Skipped,Skipped,Skipped,25,Skipped,13,14,,
61,65,4,64,56,20,59,2,22,25,9,4,39,41,29,33,55,53,18,16,18,38,1,15,60,20,17,43,51,62,35,44,46,57,42,47,63,7,58,36,26,3,66,23,14,50,30,54,33,11,49,28,32,31,13,7,37,45,9,52,48,24,40,12,6,27,,
65,62,5,48,52,25,42,2,56,43,8,4,57,39,38,24,36,64,30,20,16,55,1,8,45,33,17,21,40,53,35,19,63,47,54,28,34,6,58,59,32,3,60,18,11,51,49,66,44,15,37,61,26,31,14,8,27,50,11,46,41,29,23,13,11,22,,
24,57,6,45,17,35,18,4,37,15,19,9,55,23,59,31,61,42,26,5,12,52,2,8,33,32,21,51,27,44,63,22,64,58,36,65,38,11,48,41,34,3,43,25,14,40,29,53,54,16,66,47,39,49,28,1,50,62,13,56,60,46,30,10,7,20,,
35,58,8,50,41,29,40,4,40,24,7,2,38,21,46,40,46,40,31,34,17,61,1,16,23,19,14,26,55,56,32,46,28,56,20,27,56,11,47,58,22,3,54,18,13,52,37,53,39,10,36,57,33,25,12,6,41,53,9,40,30,49,25,15,5,47,,
66,66,5,66,66,66,66,1,66,66,6,3,66,66,66,66,66,66,66,66,11,66,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,9,66,66,66,7,66,66,66,66,66,66,66,14,66,66,66,66,13,2,66,66,10,66,66,66,66,12,8,66,,
66,66,66,66,66,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,66,66,66,66,66,66,1,66,66,66,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
23,Skipped,6,Skipped,29,21,28,1,25,20,3,1,Skipped,30,Skipped,Skipped,Skipped,Skipped,32,17,17,Skipped,6,14,Skipped,22,14,26,Skipped,Skipped,Skipped,23,Skipped,36,24,Skipped,Skipped,6,Skipped,Skipped,16,3,Skipped,13,14,27,Skipped,Skipped,21,10,Skipped,Skipped,Skipped,Skipped,13,3,Skipped,Skipped,10,19,18,Skipped,Skipped,10,6,Skipped,,
Skipped,Skipped,8,25,25,12,Skipped,1,Skipped,12,5,7,Skipped,16,Skipped,15,21,16,Skipped,21,11,Skipped,4,20,17,12,12,25,17,Skipped,Skipped,Skipped,25,50,Skipped,Skipped,Skipped,3,Skipped,Skipped,15,8,Skipped,11,9,Skipped,Skipped,Skipped,21,8,Skipped,Skipped,14,21,7,1,Skipped,Skipped,5,16,21,21,26,9,11,Skipped,,
66,66,5,66,66,18,66,2,66,34,11,4,66,66,66,66,66,66,66,21,12,66,1,14,66,22,16,19,66,66,66,66,66,66,24,66,66,8,66,66,23,3,66,20,13,66,66,66,66,15,66,66,33,66,17,7,66,66,9,66,66,32,66,10,6,66,,
56,60,5,41,43,21,Skipped,3,Skipped,42,16,1,62,35,36,28,40,57,34,19,14,54,2,8,52,25,15,45,59,61,53,32,24,30,26,31,48,11,Skipped,58,27,4,51,18,17,47,44,39,46,9,29,55,38,23,12,6,37,Skipped,13,50,49,33,20,10,7,22,,
31,65,6,48,56,25,26,2,37,39,8,4,50,33,24,36,40,51,27,19,16,44,1,10,58,21,17,54,55,59,35,29,62,53,32,45,61,9,47,52,20,3,60,18,14,63,41,66,30,13,43,57,42,23,15,5,28,64,11,49,34,38,46,12,7,22,,
57,59,6,66,66,26,44,1,64,55,66,66,42,51,36,48,45,66,28,31,28,19,4,10,41,49,66,66,54,39,52,3,7,66,43,40,61,24,56,37,29,8,58,27,19,47,64,38,66,18,53,63,59,65,16,2,46,63,10,59,16,26,60,17,50,30,,
66,66,7,66,66,23,66,6,66,66,8,4,42,66,66,22,66,66,66,66,13,66,1,16,66,29,66,66,66,66,66,66,47,66,39,66,66,10,66,66,66,2,66,66,9,66,66,66,66,16,66,66,66,66,11,3,66,66,5,66,66,66,66,66,31,23,,
57,59,4,28,15,58,65,1,49,51,11,2,61,17,32,30,31,48,40,23,12,42,6,13,56,25,22,36,60,52,20,21,37,26,29,62,44,5,64,41,18,3,50,7,16,63,66,46,39,9,27,55,54,35,47,10,45,53,8,33,38,43,34,14,24,19,,
66,66,2,66,16,41,55,4,66,57,7,1,59,66,51,66,66,66,17,16,8,56,5,10,66,14,14,18,66,66,47,30,66,66,49,30,66,11,66,66,31,4,66,48,13,27,51,66,66,15,66,66,28,13,28,3,66,66,12,39,63,61,66,9,6,27,,
16,20,13,62,23,15,10,1,38,7,16,6,22,40,30,16,40,40,30,36,13,30,2,13,29,53,29,43,57,22,21,39,16,31,16,16,65,29,57,35,22,3,35,6,24,45,19,22,28,23,36,40,20,10,15,3,8,31,8,49,45,38,52,8,6,13,,
Skipped,Skipped,12,Skipped,Skipped,9,Skipped,6,Skipped,Skipped,17,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,7,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,16,Skipped,Skipped,15,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,11,5,Skipped,,
