rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
7,8,31,14,27,5,2,15,16,28,24,10,9,21,20,23,4,11,17,1,25,22,19,30,12,29,18,3,13,6,26,31.0,1.0
31,31,31,31,31,4,31,31,31,31,31,31,31,31,31,31,4,2,31,3,31,31,31,31,31,31,31,31,31,31,31,,
9,24,31,15,20,16,13,11,12,30,6,3,21,22,2,29,14,17,28,4,8,26,27,10,1,25,19,23,5,18,7,,
15,17,30,28,28,29,11,8,4,28,13,3,14,28,5,18,7,1,28,10,16,28,28,28,6,31,9,2,28,12,28,,
31,31,31,31,31,31,31,31,31,31,4,2,31,31,31,31,3,2,31,1,31,31,31,31,31,31,31,31,31,31,4,,
31,2,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3,31,4,31,,
31,31,3,31,31,31,31,31,5,31,31,31,6,31,31,4,31,31,31,31,31,31,31,31,31,31,31,2,1,31,31,,
31,31,31,31,31,2,31,10,31,31,6,8,31,9,31,31,1,31,3,31,31,31,4,31,7,31,5,31,31,31,31,,
31,31,31,31,31,31,31,6,31,31,31,2,31,31,1,31,31,4,31,2,31,31,5,31,3,31,31,31,31,7,31,,
1,17,22,16,5,18,29,6,13,15,19,26,4,21,14,27,25,28,23,20,9,8,7,12,31,3,24,10,2,11,30,,
29,11,18,24,13,25,4,16,15,28,7,22,6,26,19,27,21,23,1,3,8,14,2,17,20,31,5,10,12,30,9,,
31,31,31,31,31,9,6,31,7,31,31,1,31,31,3,31,2,31,31,5,31,31,31,31,4,31,31,31,31,31,8,,
6,24,31,27,9,28,10,21,4,26,25,2,20,13,17,18,16,8,30,1,14,29,23,3,17,22,7,11,12,20,5,,
31,31,31,31,31,31,31,31,31,31,31,4,31,31,31,31,31,1,31,2,31,31,31,31,31,31,31,3,31,31,31,,
31,31,31,1,10,31,31,31,31,4,31,31,31,31,31,31,31,8,31,3,31,31,31,7,5,2,31,6,31,31,9,,
12,12,11,5,1,12,10,12,12,12,12,3,12,12,6,4,12,8,12,2,7,12,12,12,12,12,12,9,12,12,12,,
31,15,25,22,17,23,16,5,18,31,9,1,10,24,4,14,2,9,3,13,12,31,7,31,4,21,11,31,20,19,6,,
5,4,31,8,3,31,31,31,31,31,31,1,10,31,31,31,7,31,31,31,31,9,6,31,31,31,31,2,12,11,31,,
31,4,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,3,31,31,31,31,31,31,31,31,31,31,31,,
31,31,8,31,3,31,31,7,31,31,31,5,6,10,4,31,31,31,31,31,31,31,31,31,31,9,11,1,2,31,31,,
31,31,12,12,31,31,5,10,29,31,16,2,31,4,2,10,9,2,6,1,9,4,4,31,2,27,9,12,31,31,9,,
31,31,31,31,31,31,6,31,3,31,31,7,5,31,31,31,31,31,31,1,4,31,2,31,31,31,8,31,31,31,31,,
31,31,31,31,2,31,31,31,31,31,4,31,3,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,,
31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,,
27,31,15,25,19,14,18,21,26,29,7,2,23,24,1,11,4,6,22,3,20,17,8,28,9,13,16,10,12,30,5,,
6,15,31,31,13,8,3,31,2,14,14,9,12,31,10,23,24,31,23,4,23,23,14,1,11,31,14,5,7,14,14,,
3,31,31,31,31,31,6,31,31,31,1,31,31,31,4,2,31,31,31,31,31,31,31,31,31,31,31,31,31,5,31,,
31,31,31,31,31,31,31,2,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
4,31,31,31,31,31,31,31,31,31,31,2,1,31,6,31,31,31,31,31,31,31,3,4,7,31,31,31,31,31,31,,
3,31,31,31,31,31,31,31,4,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,31,1,31,,
1,31,31,31,31,31,31,31,6,31,31,31,31,31,31,31,31,31,31,2,31,31,7,3,31,31,31,5,31,4,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,,
