rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,Num Cands,Num Seats
7,29,22,17,13,27,23,1,12,2,4,6,14,11,16,10,9,3,22,18,22,22,28,22,15,8,25,5,26,29.0,1.0
29,8,29,29,10,7,29,3,29,29,29,29,6,29,29,29,1,9,5,29,29,29,29,29,29,2,4,29,29,,
4,23,19,20,3,11,16,2,7,10,5,15,14,27,6,13,16,17,12,28,18,29,16,25,26,8,21,9,1,,
13,16,29,29,8,6,9,1,29,2,5,12,3,29,15,11,10,29,4,29,17,29,29,29,29,13,15,7,12,,
4,5,7,7,4,2,6,6,9,3,8,7,5,9,6,6,4,9,4,7,8,8,8,3,8,1,6,3,9,,
7,29,29,29,29,1,9,29,6,10,29,29,29,29,4,2,29,29,3,29,29,29,29,8,29,5,29,29,29,,
3,12,13,26,6,4,22,8,2,7,9,19,5,23,24,10,14,15,16,17,28,25,20,21,1,18,27,11,29,,
27,7,3,27,27,10,27,27,27,27,27,2,28,27,27,27,6,4,27,2,5,27,8,27,27,27,9,27,27,,
28,12,28,28,28,1,12,1,2,1,12,1,1,28,12,1,12,28,28,28,28,28,28,28,28,28,2,28,28,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,2,29,29,,
2,29,29,29,4,1,29,6,3,29,29,29,29,29,2,1,29,29,1,29,29,29,29,29,29,2,29,5,29,,
16,7,29,17,12,4,9,1,10,8,13,29,29,29,29,11,29,29,2,15,29,29,14,6,29,3,18,5,29,,
7,8,29,29,11,6,29,9,29,4,29,29,10,29,29,29,29,29,5,29,29,29,29,3,29,1,29,2,29,,
29,29,29,29,29,29,29,2,29,1,29,29,29,29,29,29,29,29,29,29,29,29,3,29,29,29,29,29,29,,
29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
7,29,29,29,8,2,10,9,3,8,5,29,29,29,4,1,29,29,2,29,29,29,29,10,29,10,29,9,6,,
7,8,14,13,11,6,29,9,17,4,16,15,10,29,29,29,29,12,5,13,29,29,29,3,29,1,29,2,29,,
29,2,29,29,29,7,29,4,29,5,8,29,9,29,29,29,29,6,29,29,29,29,3,29,29,29,1,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,,
29,4,5,2,1,3,29,29,29,29,29,29,29,29,6,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
6,29,29,29,7,2,29,29,1,29,29,29,29,29,3,4,29,29,8,29,29,29,29,29,29,5,29,29,29,,
29,29,29,29,29,29,29,1,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,3,29,29,6,4,29,1,29,2,29,29,5,29,29,29,29,8,29,29,29,29,7,29,29,29,29,29,29,,
12,2,28,28,11,6,16,4,18,8,5,28,9,28,15,14,28,29,13,28,28,28,3,17,28,10,1,7,28,,
3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,4,1,29,29,29,,
24,6,10,29,7,19,13,1,11,2,12,22,4,23,28,3,9,5,16,26,27,20,8,25,18,21,15,14,17,,
2,29,29,29,29,29,29,29,29,29,6,29,29,29,29,3,29,29,29,29,29,1,8,29,29,29,29,29,29,,
5,11,22,8,6,28,24,27,29,25,7,22,23,22,4,2,22,26,1,22,22,22,22,9,22,10,22,3,22,,
1,8,15,11,5,4,26,28,2,29,25,6,9,13,12,22,23,27,3,17,16,10,18,24,14,20,21,19,7,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,,
22,28,6,3,22,22,11,27,7,22,29,3,2,22,27,22,9,10,22,3,22,22,27,27,22,4,22,22,1,,
6,4,29,29,7,29,29,1,29,2,29,29,29,8,29,29,29,3,29,29,29,29,29,29,29,29,5,29,29,,
16,7,28,28,14,28,8,1,17,2,4,18,6,28,15,10,28,3,28,28,28,28,9,28,12,11,5,13,28,,
19,29,29,8,4,5,15,1,29,2,6,3,14,18,29,9,13,12,16,7,29,29,17,20,29,10,29,11,29,,
4,28,29,29,7,9,14,10,6,1,15,28,2,18,13,3,16,19,12,28,17,29,28,8,28,11,28,5,28,,
18,29,29,12,29,29,29,29,29,5,29,29,21,4,2,3,29,29,26,29,8,29,17,29,1,29,29,23,29,,
29,29,29,29,29,29,29,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
27,10,15,20,17,4,12,7,25,3,23,19,16,26,11,8,6,28,9,18,22,24,13,2,1,29,14,5,21,,
12,17,24,10,2,6,22,29,21,14,9,24,1,28,8,15,25,26,18,27,19,5,20,7,4,13,3,16,11,,
1,17,28,28,17,2,13,3,4,17,17,27,28,28,17,15,28,28,17,28,28,29,28,16,28,14,28,5,12,,
7,8,29,29,11,6,29,9,29,4,29,29,10,29,29,29,29,29,29,29,29,29,29,3,29,1,29,2,29,,
2,29,29,29,29,1,29,29,2,29,29,29,29,29,2,2,29,29,2,29,29,29,29,2,29,2,29,29,29,,
29,29,29,29,29,29,29,2,29,3,29,29,29,29,29,29,29,29,4,29,29,29,29,29,29,1,29,29,29,,
29,1,29,29,2,29,29,29,2,2,29,29,2,29,29,2,29,2,2,29,29,29,1,2,29,29,1,2,29,,
29,29,29,29,11,5,10,7,29,4,29,29,29,3,12,8,29,29,9,29,29,29,29,6,2,1,29,29,29,,
29,29,29,29,29,29,29,1,29,3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,,
1,2,29,1,29,1,2,1,29,1,1,29,29,29,29,1,29,29,1,29,29,29,29,29,1,1,29,1,29,,
29,29,29,29,4,5,6,1,29,2,29,3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
7,29,10,29,2,1,29,29,5,29,29,8,29,29,29,6,9,29,4,11,29,29,29,29,29,3,29,29,29,,
29,7,11,29,3,6,21,1,29,2,12,15,5,23,29,19,29,4,18,29,16,20,10,17,22,14,9,13,29,,
3,29,29,29,20,1,13,29,2,5,5,29,29,26,3,2,29,29,2,21,29,29,29,4,28,4,29,13,10,,
29,29,29,29,29,29,3,2,29,29,29,29,1,29,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,3,29,29,4,29,29,29,29,29,2,29,29,29,29,29,29,29,29,4,29,29,1,29,29,29,29,29,29,,
29,29,29,4,29,29,29,2,29,1,29,29,3,29,29,5,29,8,29,29,29,8,29,8,29,8,29,29,8,,
29,29,29,29,29,2,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
3,29,1,29,29,2,5,11,29,29,29,29,29,29,29,29,5,29,6,29,29,29,29,29,29,4,9,6,29,,
5,5,5,5,5,5,5,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
11,26,26,29,4,3,5,1,29,24,17,8,14,28,6,20,7,29,21,29,18,9,24,22,25,13,10,2,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,,
29,2,29,29,29,29,29,1,29,1,29,29,3,29,29,29,29,29,29,29,29,29,2,29,29,29,3,29,29,,
29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,2,29,29,1,29,29,29,29,29,29,29,29,1,29,,
29,29,29,29,29,29,29,4,29,29,29,29,29,29,29,29,2,3,29,29,29,29,29,29,29,1,29,29,29,,
29,3,29,29,29,29,29,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,4,29,29,29,5,29,29,,
29,29,29,29,29,29,29,1,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,29,29,29,,
16,4,15,27,5,9,8,1,13,20,21,12,3,28,14,2,25,24,22,26,19,29,7,23,11,10,17,18,6,,
7,8,18,26,11,6,24,9,13,4,14,25,10,22,19,12,17,29,5,20,21,28,23,3,16,1,15,2,27,,
29,3,29,5,29,9,29,1,29,2,29,7,4,29,29,8,29,13,10,14,29,29,11,29,29,6,12,29,29,,
7,8,29,29,11,6,29,9,29,4,29,29,10,29,29,29,29,29,5,29,29,29,29,3,29,1,29,2,29,,
29,29,29,29,29,29,29,1,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,2,29,29,,
29,3,29,29,29,29,29,29,29,29,29,29,5,29,29,29,4,1,29,6,29,29,29,29,29,29,2,29,29,,
3,29,29,29,29,29,29,29,29,29,29,29,29,29,4,29,29,29,29,29,29,29,29,29,29,1,3,29,29,,
29,2,29,29,2,3,2,1,29,1,1,29,1,3,29,29,29,29,1,29,29,29,3,2,3,1,29,1,29,,
12,1,10,21,8,6,9,7,13,4,18,20,16,24,11,23,17,5,15,14,22,26,3,23,25,19,2,28,29,,
5,29,29,29,4,29,6,1,29,2,29,29,3,29,29,5,29,29,5,29,29,29,10,29,29,5,29,5,9,,
29,29,29,29,29,29,29,1,29,2,3,29,29,29,29,29,29,5,29,29,29,29,7,29,29,29,4,29,29,,
29,29,29,3,2,29,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,9,29,7,29,29,2,29,29,29,29,5,29,8,15,4,29,3,29,29,29,6,29,29,29,29,1,29,,
29,29,10,29,29,1,29,10,1,10,10,29,29,29,1,1,29,29,10,29,29,29,29,29,29,1,29,29,29,,
29,29,7,29,29,1,6,2,3,2,29,29,29,29,29,1,29,29,1,29,29,29,4,29,29,29,29,29,29,,
29,29,29,29,29,29,29,7,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
2,13,8,6,27,27,4,13,7,29,27,14,27,27,27,5,9,27,15,13,27,27,3,13,27,27,27,27,1,,
26,26,26,26,6,27,26,3,26,5,4,26,26,28,26,26,26,26,26,26,26,26,26,26,29,26,2,1,26,,
29,29,29,29,29,29,29,2,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,2,29,29,1,29,29,29,29,29,29,3,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,1,29,29,5,29,29,20,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,20,29,,
29,29,29,29,29,2,29,29,1,29,29,29,29,29,29,3,29,29,3,29,29,29,29,29,29,29,29,29,29,,
5,29,29,29,29,2,29,29,1,29,29,29,29,29,7,6,29,29,4,29,29,29,29,29,29,3,29,29,29,,
29,4,29,29,29,29,6,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,3,29,29,29,5,29,29,,
3,5,22,4,22,29,29,1,22,2,22,11,23,22,10,22,10,22,10,10,10,29,6,29,22,22,29,22,22,,
29,3,29,29,29,29,29,1,29,2,5,29,9,29,29,29,29,8,29,29,29,29,4,29,29,7,6,29,29,,
27,27,27,27,27,27,27,2,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,27,,
7,29,7,29,29,2,7,29,3,29,29,29,29,29,5,4,29,29,1,29,29,29,29,7,29,6,29,29,7,,
29,2,29,29,9,7,29,1,29,4,29,29,5,29,11,29,6,8,29,29,29,29,3,29,29,29,29,10,29,,
29,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,3,29,29,,
26,26,26,26,7,5,26,2,26,26,6,26,26,29,26,1,26,26,4,27,26,26,26,26,28,26,26,26,3,,
1,29,29,29,8,1,29,29,1,29,1,29,29,29,1,1,29,29,1,1,29,29,29,29,29,1,29,29,29,,
23,29,14,4,11,9,27,2,24,1,19,3,28,22,26,8,6,7,10,20,15,16,21,17,13,5,25,18,12,,
29,29,29,6,29,29,29,1,29,2,29,29,29,29,5,29,3,4,29,29,29,29,29,29,29,29,29,29,29,,
7,8,29,29,11,6,29,9,29,4,29,29,10,29,29,29,13,29,5,29,29,29,29,3,12,1,29,2,29,,
8,29,29,29,29,1,29,29,4,29,29,29,29,29,6,2,29,29,3,5,29,29,29,29,29,7,29,29,29,,
6,26,21,21,8,2,27,28,1,29,21,21,23,21,7,5,21,21,4,21,21,21,24,22,21,3,25,9,21,,
29,29,4,10,29,29,5,29,7,29,2,29,29,29,12,29,29,1,29,29,29,11,29,9,8,6,3,29,29,,
7,8,18,26,11,6,24,9,13,4,14,25,10,22,19,12,17,29,5,20,21,28,23,3,16,1,15,2,27,,
13,20,9,15,4,7,6,3,12,10,19,15,1,20,12,16,20,12,8,14,11,19,19,18,5,2,17,9,13,,
29,29,29,29,29,29,29,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
23,3,18,15,9,8,10,1,27,2,5,11,16,29,17,21,14,7,25,24,19,12,4,20,29,22,6,28,13,,
7,8,29,29,11,6,29,9,13,4,29,29,10,29,29,12,29,29,5,29,29,29,29,3,29,1,29,2,29,,
7,8,29,29,29,6,29,9,29,4,29,29,10,29,29,29,29,29,5,29,29,29,29,3,29,1,29,2,29,,
29,8,29,29,1,29,29,10,7,6,3,29,4,29,5,29,29,29,29,29,29,29,29,29,29,29,9,2,29,,
3,29,29,29,29,29,29,1,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
7,8,17,25,10,5,23,9,11,4,13,26,28,21,18,12,16,27,6,19,20,24,22,3,15,1,14,2,29,,
29,29,29,29,29,29,29,2,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
7,27,12,27,27,1,9,28,6,29,27,11,10,27,4,2,27,27,3,27,27,27,27,8,27,5,27,27,27,,
7,29,29,29,29,1,9,29,6,11,29,29,29,29,4,2,29,29,3,29,29,29,29,8,29,5,29,29,10,,
29,29,29,29,29,29,29,2,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
11,7,12,4,11,12,12,10,9,10,11,5,12,9,12,12,3,2,12,8,11,11,11,6,11,1,11,12,9,,
29,11,29,29,10,4,29,6,29,2,7,29,29,29,9,8,29,5,29,29,29,29,29,29,29,3,29,1,29,,
28,28,10,28,7,28,6,3,28,28,8,28,28,28,28,28,2,1,9,28,28,28,5,28,28,4,28,11,28,,
29,29,7,29,4,29,5,1,29,2,29,29,5,29,29,29,8,3,29,29,29,29,29,29,29,29,29,29,29,,
24,24,24,24,24,24,24,24,24,24,25,24,24,2,24,24,24,29,24,24,24,24,24,29,1,29,24,24,24,,
7,8,29,29,11,6,12,9,29,4,29,29,10,29,29,13,29,29,5,29,29,29,29,3,29,1,29,2,29,,
10,10,10,10,3,10,1,2,10,4,10,10,29,10,10,2,10,10,1,10,10,10,10,10,20,10,10,3,10,,
29,4,29,29,7,29,29,1,29,2,8,6,9,29,29,10,29,29,29,29,29,29,3,29,29,29,5,29,29,,
29,4,29,29,29,29,29,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,3,29,29,29,29,29,29,,
29,29,29,8,6,5,29,3,29,4,29,10,29,29,7,9,2,1,29,29,29,29,29,29,29,29,29,29,11,,
20,10,13,25,15,5,2,22,21,29,6,16,1,28,12,14,23,17,3,18,27,24,19,8,26,9,7,4,11,,
29,4,29,29,29,29,29,1,29,3,29,8,6,29,29,29,29,2,29,29,29,29,5,29,29,29,7,29,29,,
29,29,29,29,29,29,29,1,29,2,29,29,29,29,29,29,29,3,29,29,29,29,29,29,29,27,28,29,29,,
28,4,28,28,10,28,28,1,28,2,28,28,5,28,29,28,28,6,28,28,10,28,3,10,28,28,9,28,10,,
7,8,18,26,11,6,24,9,13,4,14,25,10,22,19,12,17,29,5,20,21,28,23,3,16,1,15,2,27,,
29,29,29,29,29,5,29,1,29,3,2,29,4,29,29,6,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,5,2,29,29,29,29,29,29,29,29,4,29,29,29,29,29,29,1,3,29,29,29,29,,
29,29,29,29,29,29,29,1,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
5,29,29,29,29,2,29,29,1,29,29,29,29,29,7,6,29,29,4,29,29,29,29,29,29,3,29,29,29,,
29,7,29,29,12,5,29,1,29,2,3,10,6,29,29,29,8,29,29,29,29,29,4,29,29,29,11,29,29,,
7,8,29,29,11,6,29,9,29,4,29,29,10,29,29,29,29,29,5,29,29,29,29,3,29,1,29,2,29,,
29,9,29,29,5,29,10,3,29,4,29,29,8,29,29,11,29,29,7,29,29,29,29,6,29,1,29,2,29,,
29,29,29,29,2,29,5,29,29,7,29,29,1,29,9,10,29,29,29,6,8,29,29,29,4,29,29,29,3,,
15,29,9,13,3,2,25,1,14,4,21,12,26,19,11,10,6,24,7,8,22,18,28,16,20,5,27,23,17,,
29,29,29,29,9,10,3,4,14,29,8,29,5,29,12,6,29,15,13,29,29,29,29,11,29,2,29,11,1,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,,
29,2,29,29,6,29,29,1,29,4,5,12,29,29,29,29,29,29,29,29,29,29,3,29,29,29,7,29,29,,
11,21,10,15,3,1,28,6,15,7,9,15,27,20,26,4,16,17,5,12,19,18,22,25,25,2,23,8,29,,
3,6,20,20,10,8,20,1,24,2,7,21,4,14,24,29,24,25,29,12,13,29,5,20,29,20,9,11,20,,
28,29,27,29,29,28,28,29,28,28,29,27,27,29,29,27,28,1,28,27,29,29,28,29,27,27,29,29,28,,
29,7,29,11,29,12,29,1,29,2,3,6,29,29,29,10,29,4,29,29,29,29,8,29,29,5,9,29,29,,
29,29,29,29,29,1,29,29,1,29,29,29,29,29,29,2,29,29,1,29,29,29,29,29,29,29,29,29,29,,
2,2,29,3,2,2,29,2,29,2,29,3,2,29,29,29,3,29,2,3,29,29,4,2,29,1,4,2,29,,
2,29,12,29,29,1,2,29,2,2,29,29,29,29,2,1,29,29,1,29,29,29,2,2,29,2,29,29,29,,
7,9,29,29,12,2,12,1,20,6,4,29,12,29,29,20,20,8,3,12,29,29,20,29,29,10,12,5,11,,
29,29,29,29,4,29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,29,29,5,3,29,29,29,29,1,,
29,29,29,29,29,29,29,1,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,,
9,10,3,29,13,8,16,11,19,6,21,25,12,22,15,14,2,18,7,26,21,28,23,5,18,1,24,4,27,,
1,1,29,29,1,1,29,29,29,1,29,29,1,29,1,29,29,29,29,1,29,29,1,29,29,1,29,1,29,,
27,7,27,27,27,27,27,1,27,2,8,27,4,29,27,27,27,27,9,27,27,27,6,27,29,27,3,5,27,,
5,29,29,29,29,2,29,29,1,29,29,29,29,29,7,6,29,29,4,29,29,29,29,29,29,3,29,29,29,,
29,29,29,29,29,29,29,3,29,29,5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,10,1,29,,
11,7,29,29,29,3,8,2,29,1,29,6,1,29,29,29,29,29,29,29,29,29,10,29,29,29,9,29,5,,
9,29,13,12,29,29,29,1,29,2,29,3,6,29,9,29,29,9,29,11,6,29,29,29,29,5,29,29,10,,
