rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
4,8,7,1,8,3,4,6,2,9.0,1.0
3,4,1,3,5,4,2,2,2,,
8,7,2,1,9,3,5,6,4,,
9,5,2,1,9,7,4,1,5,,
9,9,4,1,9,2,3,6,4,,
9,5,4,1,9,4,3,5,2,,
4,5,3,1,4,3,2,3,2,,
8,7,5,1,6,4,2,3,9,,
3,1,5,2,9,4,7,8,6,,
9,6,3,1,9,7,2,5,4,,
5,9,4,7,8,6,6,9,1,,
9,2,4,1,9,2,3,9,5,,
4,4,3,2,5,3,2,4,1,,
9,5,2,1,9,8,2,4,2,,
9,9,2,1,9,2,4,9,2,,
9,6,4,1,9,2,5,6,3,,
5,2,9,1,9,9,3,9,4,,
9,4,5,7,8,3,1,6,2,,
7,6,2,1,9,4,5,8,3,,
6,9,2,1,8,5,4,7,3,,
8,6,5,1,9,7,2,4,3,,
1,3,2,4,8,7,9,5,6,,
4,9,3,2,7,6,1,8,5,,
4,4,3,1,4,3,4,3,2,,
8,6,3,1,9,5,2,7,4,,
8,6,3,1,8,3,2,3,6,,
8,3,5,1,7,9,2,4,6,,
4,5,9,2,9,6,3,9,1,,
5,5,2,1,5,4,3,5,4,,
3,4,3,2,4,3,1,2,3,,
9,4,3,7,8,1,2,6,5,,
