rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,Num Cands,Num Seats
40,40,40,40,40,1,40,40,40,40,40,40,40,40,Skipped,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Skipped,40,40,40,2,40,40,Skipped,40,40,40.0,1.0
40,40,40,4,40,40,40,40,7,40,9,6,40,40,40,2,40,40,40,1,40,1,3,40,40,5,40,40,40,40,40,40,40,40,8,40,40,3,10,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,,
40,40,40,1,40,2,40,40,1,40,2,40,40,40,40,1,2,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,,
40,40,40,40,40,40,40,40,40,40,40,40,40,2,1,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,,
38,7,38,1,38,38,38,38,1,38,38,2,4,6,38,2,1,38,38,38,38,4,38,2,6,1,38,38,3,38,2,38,40,5,4,38,39,38,1,38,,
Skipped,10,Skipped,7,15,23,Skipped,26,3,Skipped,8,1,11,Skipped,19,4,21,14,Skipped,13,16,6,17,2,27,5,Skipped,9,25,Skipped,28,Skipped,40,14,22,Skipped,39,12,20,18,,
40,40,40,40,40,40,40,40,3,2,40,40,40,40,40,5,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,7,40,4,40,40,40,40,6,40,40,1,40,40,40,40,40,40,40,40,40,3,40,2,40,5,40,,
40,40,40,4,40,40,40,40,1,3,40,2,2,40,40,1,11,40,40,3,6,1,3,40,40,5,40,7,40,40,40,8,40,40,12,40,8,10,9,40,,
40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,2,40,40,40,40,40,,
40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,4,40,3,40,40,40,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,1,40,40,40,,
5,1,14,20,25,29,21,3,16,34,22,38,36,10,12,26,28,8,4,11,24,33,39,37,17,40,9,13,6,2,35,30,39,18,15,7,32,19,31,27,,
40,40,40,40,1,40,40,40,40,40,40,40,40,1,1,40,2,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,2,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,,
40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,,
40,40,40,40,40,40,40,40,40,Skipped,40,40,3,2,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,1,40,2,40,3,40,40,40,,
40,40,40,40,40,40,40,40,40,4,40,40,40,40,40,40,40,40,40,2,40,40,40,3,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,40,40,1,40,40,40,40,40,40,40,8,40,40,40,40,5,40,40,10,40,40,40,40,40,40,6,40,40,40,40,40,15,40,2,40,7,40,40,40,,
2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,3,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,1,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
2,40,40,40,4,40,5,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,,
1,2,40,40,20,20,40,1,40,40,20,40,20,20,6,40,40,2,20,40,20,40,40,40,20,40,2,6,40,20,40,6,40,40,2,40,40,40,6,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,1,40,40,3,40,40,40,40,,
40,40,40,4,40,40,40,40,3,40,1,5,6,40,40,7,40,40,40,40,40,40,40,8,40,40,40,40,2,40,9,40,40,40,10,40,40,40,40,40,,
38,38,38,38,38,38,38,39,2,38,38,38,39,39,38,38,20,38,38,38,5,1,38,38,39,39,38,5,38,38,2,38,40,38,1,38,40,38,3,40,,
40,40,40,40,40,40,40,40,40,40,40,40,1,2,40,40,40,3,40,40,40,40,40,40,10,20,17,40,4,40,11,18,19,40,9,40,40,40,40,40,,
4,40,3,40,40,40,1,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,40,40,40,40,40,40,2,40,40,40,40,40,40,,
40,40,40,40,2,40,40,40,40,40,40,40,40,40,1,40,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,15,Skipped,Skipped,Skipped,2,12,Skipped,6,Skipped,Skipped,Skipped,Skipped,9,5,10,7,11,13,1,Skipped,3,8,Skipped,Skipped,Skipped,4,16,,
1,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,40,3,40,40,40,40,40,40,40,40,40,40,40,40,40,,
