rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,Num Cands,Num Seats
33,33,33,31,33,33,36,1,28,33,33,33,33,33,32,33,33,27,33,29,30,37,33,33,33,33,33,33,2,33,33,33,34,33,33,35,33,37.0,1.0
27,12,7,5,15,27,4,2,1,30,14,11,21,27,27,30,10,37,37,37,15,1,6,10,14,8,27,27,27,7,18,37,14,27,30,9,27,,
10,6,12,17,37,21,7,4,1,37,37,37,19,37,5,16,18,37,37,22,8,2,37,20,37,14,37,15,9,37,37,13,23,3,24,11,19,,
5,37,37,6,37,37,37,1,3,37,37,37,37,37,8,37,37,37,37,37,37,2,4,37,37,37,37,37,37,37,37,37,37,37,37,37,9,,
37,37,37,37,37,37,5,2,3,37,37,4,37,37,37,37,37,37,37,37,37,1,37,Skipped,Skipped,37,37,37,37,37,37,37,Skipped,37,37,6,37,,
37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
23,3,36,25,36,20,11,4,2,36,37,36,32,36,22,33,19,29,30,28,21,1,36,36,36,14,36,31,24,34,36,36,35,36,27,26,36,,
12,19,14,37,21,9,7,3,2,5,37,37,10,37,11,37,8,37,17,37,6,1,37,37,37,13,14,37,18,37,37,37,15,16,37,4,20,,
37,37,37,37,37,37,37,3,1,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
1,15,37,7,37,10,14,37,3,37,37,37,12,37,4,37,8,37,37,37,37,2,13,37,37,37,37,37,6,37,37,37,9,11,37,5,37,,
25,16,11,18,17,15,4,1,3,22,9,12,24,31,20,19,8,33,34,30,13,2,10,28,29,7,32,37,21,26,36,35,6,23,14,5,27,,
1,17,33,10,13,30,11,4,5,25,28,26,15,37,2,21,31,8,34,36,20,3,9,27,32,18,24,23,14,22,16,35,19,7,12,6,29,,
6,4,1,7,37,37,37,37,3,37,37,37,8,6,9,37,37,37,37,37,37,5,5,2,3,37,37,6,37,4,37,37,37,37,37,37,9,,
5,31,9,30,26,18,3,4,2,14,12,36,6,10,15,29,27,37,34,25,16,1,24,19,23,28,22,33,7,8,35,13,32,21,11,17,20,,
37,1,37,37,37,37,6,5,4,37,37,37,37,37,37,37,37,37,37,37,37,3,9,7,37,37,37,2,37,37,37,37,37,37,37,8,10,,
6,37,37,37,37,13,5,3,2,12,37,37,17,37,7,37,14,37,37,37,10,1,37,37,37,37,11,37,9,37,37,37,15,8,37,4,16,,
3,37,12,14,37,37,5,2,1,37,37,37,37,37,4,37,8,37,37,37,37,6,11,12,13,2,37,37,37,9,10,37,37,37,37,7,37,,
4,10,11,14,37,4,13,1,3,37,15,15,4,37,4,37,15,37,36,37,24,2,15,36,37,15,37,37,4,12,37,4,15,4,25,12,4,,
15,20,14,35,23,10,9,3,1,25,34,33,17,31,5,19,24,29,13,11,4,2,28,26,32,30,7,36,16,27,37,12,21,6,18,8,22,,
37,37,37,11,37,37,4,7,2,37,37,37,37,37,37,8,37,37,37,5,5,1,13,37,37,15,37,37,37,37,37,37,37,37,37,3,37,,
1,Skipped,10,Skipped,Skipped,9,8,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,6,,
9,37,37,37,37,37,4,3,1,7,37,37,37,37,9,37,37,37,37,5,5,1,37,37,37,37,37,37,37,37,37,37,37,37,37,8,37,,
37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
9,3,15,11,33,6,7,10,1,24,34,36,12,31,8,22,14,28,30,13,2,4,18,25,26,16,21,5,27,35,37,29,32,20,19,23,17,,
7,17,19,31,37,5,5,8,2,25,33,27,27,8,24,36,13,37,11,9,10,1,23,26,37,7,34,37,18,17,36,34,12,34,23,6,36,,
2,27,21,37,35,10,17,6,5,9,25,32,12,19,1,18,23,28,34,15,13,3,29,20,26,22,14,31,8,4,36,24,33,30,16,7,11,,
20,37,11,37,37,37,4,2,1,37,3,10,16,7,37,19,11,37,14,37,37,2,37,17,18,9,21,37,15,6,37,37,12,37,13,5,8,,
37,37,37,37,37,37,2,35,3,37,37,37,37,37,37,37,36,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,,
