rank1,rank2,rank3,rank4,rank5,rank6,Num Cands,Num Seats
6,1,3,5,4,2,6.0,1.0
4,2,1,Skipped,3,Skipped,,
Skipped,5,1,Skipped,1,5,,
6,2,1,6,6,3,,
1,2,6,4,5,3,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,1,Skipped,4,Skipped,2,,
3,2,3,6,1,4,,
6,6,1,6,5,6,,
3,1,2,6,4,5,,
2,1,4,6,3,5,,
6,3,1,5,4,2,,
3,4,2,6,5,1,,
5,4,3,1,6,2,,
1,2,Skipped,Skipped,Skipped,Skipped,,
4,2,5,6,1,3,,
4,1,2,Skipped,3,Skipped,,
4,1,2,6,5,3,,
1,3,2,6,5,4,,
3,1,2,6,4,5,,
3,1,2,4,2,3,,
3,2,1,5,6,4,,
1,5,3,4,6,2,,
4,2,3,6,1,5,,
3,1,6,4,1,6,,
6,1,2,6,4,3,,
6,2,4,6,3,1,,
3,1,2,5,4,6,,
4,5,3,1,4,2,,
2,4,5,3,1,6,,
4,2,Skipped,3,Skipped,1,,
4,2,3,5,6,1,,
4,3,2,5,1,6,,
1,2,3,6,6,6,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,,
6,3,2,6,4,1,,
3,2,4,5,5,1,,
3,5,1,2,4,6,,
3,1,2,5,4,6,,
3,2,1,4,1,3,,
6,6,1,6,6,6,,
4,1,2,6,5,3,,
4,1,3,5,6,2,,
4,3,3,1,6,5,,
5,2,4,6,3,1,,
4,2,3,6,5,1,,
5,3,6,4,1,2,,
6,4,3,1,2,5,,
6,6,6,1,6,6,,
Skipped,1,3,Skipped,2,3,,
6,1,3,6,2,4,,
1,2,4,6,3,5,,
4,1,2,4,6,3,,
2,3,4,1,6,6,,
5,2,1,3,4,6,,
4,3,2,Skipped,1,6,,
3,4,2,6,5,1,,
6,6,6,6,6,1,,
2,1,3,6,4,5,,
3,1,2,6,4,5,,
6,4,5,1,5,5,,
2,1,3,5,6,4,,
6,2,1,6,3,6,,
6,1,3,6,6,2,,
2,1,6,3,5,4,,
5,1,2,3,4,6,,
3,1,4,6,5,2,,
1,4,6,3,2,5,,
6,3,2,6,6,1,,
3,1,2,6,4,5,,
Skipped,Skipped,Skipped,1,Skipped,2,,
6,6,1,2,6,6,,
4,1,2,5,6,3,,
Skipped,2,1,Skipped,Skipped,Skipped,,
4,3,1,6,5,2,,
5,3,1,4,5,6,,
3,1,6,4,2,5,,
5,1,2,3,4,6,,
6,1,2,3,3,3,,
4,2,6,5,1,3,,
3,1,2,3,3,3,,
3,1,2,6,4,6,,
3,1,2,6,4,6,,
Skipped,2,3,1,Skipped,4,,
2,2,1,4,3,2,,
6,2,3,1,6,6,,
5,2,1,6,3,4,,
4,2,3,1,6,5,,
6,1,2,6,6,6,,
6,1,5,4,3,1,,
Skipped,Skipped,1,Skipped,2,Skipped,,
6,2,6,6,6,1,,
Skipped,2,1,Skipped,Skipped,Skipped,,
5,1,3,5,2,3,,
5,1,4,3,6,2,,
3,1,2,6,4,5,,
6,3,1,6,4,2,,
3,1,6,5,2,4,,
5,2,4,1,6,4,,
Skipped,3,1,Skipped,2,Skipped,,
1,3,2,Skipped,Skipped,Skipped,,
4,3,2,1,5,6,,
6,1,3,4,5,2,,
4,6,1,5,3,2,,
6,6,2,6,6,1,,
3,1,6,6,2,6,,
3,1,2,4,6,5,,
4,1,2,5,6,3,,
5,2,3,1,4,6,,
1,3,2,6,6,6,,
6,2,1,3,6,6,,
6,2,1,6,6,6,,
