rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
4,7,1,8,3,6,2,9,5,9.0,1.0
9,3,1,9,9,4,9,2,9,,
9,9,9,9,1,2,9,9,3,,
8,2,5,6,9,1,3,7,4,,
3,9,9,9,9,9,9,9,1,,
1,3,3,3,1,2,2,3,1,,
7,4,8,3,6,2,9,1,5,,
7,1,5,4,6,3,9,2,8,,
7,8,2,9,5,4,3,6,1,,
9,9,9,9,9,1,9,9,9,,
5,2,3,4,8,1,9,8,6,,
5,3,1,2,9,4,9,6,9,,
9,9,9,9,9,1,9,9,9,,
4,5,9,2,7,1,8,6,3,,
3,5,9,6,4,7,2,1,8,,
9,9,9,1,9,9,9,9,9,,
2,9,9,9,1,9,3,9,9,,
2,2,4,2,2,2,9,1,3,,
8,3,1,5,9,7,2,6,4,,
6,4,2,3,9,5,7,1,8,,
8,4,2,1,9,5,7,1,6,,
9,8,1,3,6,7,5,2,4,,
9,9,9,9,1,3,9,2,9,,
6,5,1,2,4,3,8,7,9,,
2,7,9,9,9,8,1,4,3,,
9,9,9,9,3,2,1,9,9,,
9,1,3,8,8,9,9,2,7,,
6,8,9,7,1,3,4,2,5,,
9,1,3,9,9,2,9,9,9,,
9,8,4,1,6,7,2,5,3,,
7,5,2,3,9,4,6,1,8,,
9,1,9,7,9,1,9,9,9,,
3,5,9,8,1,7,4,6,2,,
8,3,1,4,5,2,9,6,7,,
2,7,6,9,3,5,1,8,4,,
8,5,2,7,7,3,1,4,6,,
9,9,1,9,9,9,9,9,9,,
9,3,1,2,4,6,7,1,8,,
