rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,Num Cands,Num Seats
18,12,4,14,19,1,6,20,21,2,9,5,23,10,7,22,3,11,16,15,13,8,17,23.0,Unknown
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
23,3,1,23,23,2,23,23,23,23,23,23,23,4,23,23,23,23,23,23,23,23,23,,Unknown
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,23,23,23,23,23,,Unknown
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
22,20,14,3,5,6,19,12,15,23,21,7,11,17,8,16,2,10,4,13,18,1,9,,Unknown
4,23,1,23,23,23,23,23,2,3,23,23,23,22,23,23,23,23,23,23,23,23,23,,Unknown
4,15,8,7,3,10,22,21,6,2,5,1,19,14,18,16,23,17,12,11,13,20,9,,Unknown
3,5,14,9,6,10,20,8,20,13,21,17,4,15,16,20,23,7,6,22,1,2,7,,Unknown
23,23,3,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,2,23,23,,Unknown
22,21,10,4,23,5,16,2,11,8,9,7,19,13,18,12,1,17,14,6,15,20,3,,Unknown
15,20,7,17,20,12,14,21,9,11,23,10,21,3,21,18,22,16,21,8,4,22,20,,Unknown
4,2,6,5,23,9,7,22,17,18,20,8,23,1,23,23,23,23,23,19,3,16,21,,Unknown
23,23,1,23,23,23,3,23,2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
8,23,14,3,10,22,23,13,23,7,23,11,23,4,23,23,23,5,23,18,1,6,15,,Unknown
23,2,1,23,23,5,23,23,23,23,23,4,23,23,23,23,23,23,23,23,23,3,23,,Unknown
4,18,11,9,16,8,15,19,6,5,3,12,22,1,10,20,17,21,23,7,2,13,14,,Unknown
23,23,1,23,23,23,23,23,23,5,23,23,23,23,23,23,23,23,4,23,6,23,3,,Unknown
1,11,10,6,3,8,18,21,15,17,19,9,2,16,5,22,20,13,23,14,4,12,7,,Unknown
23,23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
23,5,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,23,12,23,23,8,23,,Unknown
6,17,3,4,1,8,5,20,14,12,13,9,23,2,16,22,21,19,15,7,10,18,11,,Unknown
1,23,3,23,23,2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,23,23,,Unknown
7,11,12,14,9,17,10,19,6,12,4,3,20,1,22,23,16,8,18,5,2,21,15,,Unknown
1,14,10,4,15,9,23,23,2,3,23,5,13,6,12,23,23,11,7,23,23,8,23,,Unknown
2,23,23,3,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,1,5,23,,Unknown
23,23,1,23,23,23,23,23,2,3,23,23,23,23,23,23,23,23,23,23,23,23,23,,Unknown
9,18,15,11,22,10,14,20,16,1,2,8,23,5,12,21,6,3,17,19,9,4,7,,Unknown
23,23,1,23,23,23,23,23,23,23,23,4,23,22,23,6,23,11,3,2,22,23,23,,Unknown
1,10,8,2,3,12,18,15,6,7,20,11,21,4,22,19,23,16,17,5,9,14,13,,Unknown
