rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,Num Cands,Num Seats
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36.0,1.0
36,11,36,1,9,36,36,36,36,36,36,36,36,36,20,36,36,36,36,4,36,8,36,36,10,36,16,36,36,3,36,36,13,2,36,5,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,4,27,1,10,36,36,36,16,36,36,36,36,15,16,19,16,36,36,10,11,5,36,36,15,11,11,15,8,2,36,36,11,3,15,4,,
36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,36,4,36,36,36,3,36,36,,
36,5,27,1,5,36,36,20,16,36,36,24,36,15,16,19,16,20,25,7,11,7,36,36,15,10,11,13,6,2,36,36,11,3,15,4,,
32,8,21,1,13,15,12,27,18,11,29,36,30,29,22,20,22,31,17,29,16,19,36,14,7,6,5,24,4,2,26,36,25,10,9,3,,
23,11,20,1,8,17,27,31,28,32,29,36,26,13,30,12,6,33,19,5,24,21,22,15,4,14,9,35,10,2,34,25,7,3,16,18,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,,
36,20,16,1,16,14,36,22,25,36,23,36,24,36,13,19,3,36,7,10,36,21,36,15,9,8,2,5,4,10,27,18,26,11,36,6,,
34,14,10,6,11,29,23,35,22,16,36,21,25,32,8,12,31,28,20,5,9,13,19,33,30,4,15,24,2,18,26,27,7,1,17,3,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,4,36,2,36,36,36,36,36,36,36,36,36,36,36,5,3,36,36,36,36,36,1,36,36,36,36,36,36,,
24,11,23,1,4,13,18,31,28,29,26,22,36,14,19,16,17,33,32,6,21,10,34,25,20,8,15,30,5,7,27,35,9,2,12,3,,
33,27,21,4,3,18,31,34,17,11,35,24,23,14,20,9,22,30,26,12,19,5,25,32,15,10,16,6,7,13,28,29,1,2,10,8,,
36,6,22,1,8,19,36,36,15,36,24,36,36,25,14,36,18,36,17,13,23,5,36,36,2,12,10,21,11,4,36,20,16,3,9,7,,
36,5,27,1,5,36,36,20,16,36,36,24,36,11,16,19,16,20,25,7,11,6,36,36,15,10,10,13,6,2,36,36,11,3,15,4,,
35,4,21,15,17,31,33,36,31,1,34,32,8,11,21,7,20,28,34,12,18,2,2,36,16,10,6,5,3,13,30,29,19,2,26,7,,
34,9,25,1,7,22,32,23,16,31,30,36,35,18,14,27,19,28,21,17,15,5,29,26,6,8,13,20,10,2,24,33,12,3,11,4,,
36,36,36,36,9,36,36,36,36,36,36,36,36,36,36,12,10,36,36,11,36,36,36,1,36,7,36,6,36,36,36,36,36,8,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,2,13,8,5,36,36,36,36,10,36,36,36,36,8,6,12,36,36,6,11,1,36,36,9,9,36,4,3,7,36,36,3,1,9,5,,
30,22,17,6,1,23,14,25,34,28,16,32,35,21,20,12,4,27,26,2,19,15,31,29,5,11,18,24,13,8,33,36,3,10,9,7,,
Skipped,7,Skipped,1,7,Skipped,13,Skipped,12,13,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,7,Skipped,11,Skipped,Skipped,3,9,10,Skipped,Skipped,5,Skipped,Skipped,4,2,Skipped,6,,
24,3,22,1,9,36,36,26,21,36,22,36,36,12,16,19,15,36,36,10,17,4,36,36,13,10,12,36,10,1,36,24,12,3,15,3,,
32,19,29,3,1,35,33,27,21,31,36,22,17,16,14,8,12,25,30,7,15,2,23,34,4,11,9,10,20,5,26,28,13,6,24,18,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,,
23,5,25,1,10,17,29,32,31,24,27,21,33,15,22,19,30,28,26,12,16,7,35,20,8,6,14,18,3,4,34,36,13,2,9,11,,
36,15,9,8,3,21,32,36,22,5,36,26,23,18,25,17,24,29,31,7,2,14,30,36,20,6,11,16,13,19,28,24,1,4,10,12,,
31,10,28,3,5,18,25,26,14,28,29,33,35,20,15,17,23,28,22,11,20,8,30,36,2,16,7,19,12,4,24,34,13,1,9,6,,
36,6,36,1,36,36,36,36,36,36,36,36,36,36,36,6,10,36,36,5,36,36,36,36,9,4,36,36,2,7,36,36,36,1,7,2,,
36,5,36,1,10,36,36,36,16,36,36,36,36,11,16,19,16,36,36,8,15,5,36,36,15,11,11,15,8,2,36,36,11,3,15,4,,
36,7,36,6,11,36,36,36,36,36,36,36,36,13,10,36,36,36,36,9,36,14,36,36,2,16,5,15,8,1,36,36,12,3,36,4,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
29,27,16,1,4,24,18,30,34,28,22,25,36,13,16,12,19,31,20,12,21,11,23,28,7,15,9,26,3,5,32,33,10,2,8,6,,
36,1,25,1,10,36,36,36,22,36,25,36,36,17,15,21,15,36,36,11,19,7,36,36,14,10,10,19,14,2,36,36,9,4,13,6,,
36,6,28,1,9,24,25,26,15,32,29,21,27,17,18,23,15,30,20,7,18,4,22,33,4,9,11,14,11,2,19,31,13,4,13,7,,
34,7,32,2,13,21,24,26,15,33,33,36,35,12,18,20,19,35,25,7,22,9,28,31,16,11,9,17,4,1,31,29,14,8,10,4,,
36,5,36,1,10,36,36,36,16,36,36,36,36,11,16,19,16,36,36,8,15,5,36,36,15,11,11,15,8,2,36,36,11,3,15,4,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,2,36,36,36,2,36,36,,
13,9,12,1,22,14,20,25,16,31,33,27,28,3,18,35,5,30,21,7,32,17,26,34,8,23,19,36,4,6,29,15,24,2,11,10,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,,
36,14,25,1,6,24,36,36,36,5,36,36,36,7,18,13,17,23,22,12,16,2,15,36,21,19,9,36,8,3,36,36,11,4,20,10,,
30,22,29,1,7,8,32,31,21,12,27,34,36,25,16,4,24,26,23,10,14,5,28,20,15,2,19,18,3,13,33,35,6,9,11,17,,
33,1,29,3,9,36,36,30,36,36,28,36,36,16,20,18,15,36,36,8,16,12,36,36,13,11,36,36,19,2,36,36,12,4,16,5,,
24,2,22,1,9,36,36,26,21,36,22,36,36,12,16,19,15,36,36,10,17,9,36,36,13,10,12,36,10,1,36,24,12,3,15,5,,
36,36,36,27,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,36,36,29,30,36,36,28,33,36,36,36,36,32,31,,
36,36,36,1,4,36,36,36,36,36,36,36,36,36,36,36,36,36,36,6,15,8,36,36,10,10,9,36,5,3,36,36,15,2,10,6,,
24,2,22,3,9,36,36,26,21,36,22,36,36,12,16,19,15,36,36,10,17,9,36,36,13,10,12,36,10,1,36,36,12,3,15,5,,
36,36,36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
3,13,1,34,30,25,21,2,9,4,18,10,8,19,16,26,17,5,12,32,22,33,11,14,31,24,29,20,15,36,7,6,23,35,27,28,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,1,4,36,36,36,36,2,,
