rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,Num Cands,Num Seats
45,28,51,54,5,48,49,31,37,35,32,15,24,41,21,26,57,58,23,11,9,13,7,19,8,34,46,44,36,20,14,39,29,22,60,38,3,18,12,33,52,16,17,1,25,4,6,59,55,2,40,53,10,27,42,56,47,43,30,61,50,61.0,1.0
61,6,61,61,61,61,61,10,8,61,61,61,61,61,61,3,61,61,9,61,61,61,61,61,2,61,61,61,1,5,61,61,61,61,61,7,61,61,61,61,61,61,61,61,61,4,61,11,61,61,61,61,61,61,61,61,61,61,61,61,61,,
34,20,45,47,11,53,43,15,25,4,46,32,40,35,25,3,54,44,24,28,2,23,14,21,36,41,31,38,7,22,33,39,30,48,49,29,1,16,12,27,51,18,5,6,19,13,10,50,52,17,29,57,9,41,8,56,37,42,26,58,55,,
Skipped,17,54,49,18,50,35,Skipped,34,5,22,30,20,51,37,28,55,46,11,40,10,23,17,48,24,38,45,43,25,13,21,40,19,1,60,42,6,16,21,26,59,41,7,3,13,2,31,47,57,4,39,44,29,32,27,Skipped,33,16,36,61,53,,
32,14,34,27,58,46,11,47,50,8,59,21,19,28,10,48,54,55,5,24,2,15,25,49,20,44,53,26,7,6,16,42,22,45,60,23,36,31,17,18,56,9,38,4,43,1,40,41,37,3,30,52,33,51,35,12,39,29,13,61,57,,
34,31,51,58,10,49,45,7,25,14,33,44,38,43,13,11,59,53,26,12,4,18,35,37,23,20,41,28,6,17,39,48,24,55,60,29,2,19,15,21,57,16,3,9,27,1,5,56,52,22,50,54,8,36,42,40,46,32,30,61,47,,
38,47,49,58,17,45,50,23,39,4,43,27,19,33,26,18,56,51,24,32,5,28,35,41,13,42,52,25,16,6,46,37,14,54,60,30,11,34,15,21,59,22,3,9,12,1,10,48,57,8,44,53,2,36,40,29,31,7,20,61,55,,
61,61,61,61,61,61,61,61,11,5,61,61,61,61,9,8,61,61,4,61,61,61,61,61,61,61,61,7,6,1,61,61,61,61,61,10,61,61,61,61,61,61,61,3,61,2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
36,41,58,35,23,52,20,19,35,22,30,4,19,29,18,6,50,60,30,57,3,38,55,33,11,40,42,43,2,10,48,32,5,19,59,53,1,17,16,9,38,47,51,27,28,7,30,34,12,14,24,49,8,15,13,54,46,31,21,61,56,,
26,46,52,43,26,57,53,11,25,33,30,28,14,16,21,24,55,48,11,27,32,16,28,53,16,26,36,47,31,17,29,51,35,50,60,18,1,34,19,27,55,24,3,6,48,2,38,35,32,12,52,50,6,54,31,13,53,12,54,61,55,,
37,20,52,36,29,42,17,26,48,13,49,22,39,44,15,50,58,56,25,19,14,33,34,59,18,16,47,32,10,5,40,45,3,28,57,31,2,46,21,23,53,7,9,8,6,11,38,35,43,4,54,55,1,24,51,41,30,27,12,61,60,,
28,16,53,56,12,42,43,30,40,3,46,18,23,47,17,13,58,50,31,22,10,21,34,57,19,45,48,26,25,11,33,35,24,44,60,38,2,29,7,15,51,27,6,8,41,1,5,39,54,9,32,59,4,55,52,37,36,14,20,61,49,,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,61,60,60,60,60,60,60,60,60,60,60,60,,
34,35,50,18,7,55,31,25,21,10,37,19,16,56,32,27,60,45,42,30,1,26,24,33,23,44,47,39,14,28,20,51,49,38,53,52,13,40,12,15,54,8,4,2,6,9,3,48,57,11,22,59,5,36,29,58,43,17,46,61,41,,
18,17,20,50,13,51,49,16,41,10,42,28,26,23,36,12,48,52,29,39,4,24,9,37,7,56,35,21,8,5,34,30,25,58,60,44,2,40,32,38,43,19,6,3,27,1,22,55,54,15,53,57,11,46,45,47,31,14,33,61,59,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,5,61,61,8,61,61,61,3,6,61,61,4,61,61,7,61,61,61,61,61,61,61,61,,
61,61,61,61,61,3,61,61,61,61,61,61,61,1,61,61,61,5,61,61,61,61,61,61,61,61,61,61,61,61,61,61,7,61,61,61,61,61,61,61,61,61,61,61,61,61,6,61,61,61,2,61,61,61,61,61,61,4,61,61,61,,
6,5,7,7,3,6,7,4,6,4,8,3,5,5,3,6,9,5,3,3,2,6,5,5,5,7,7,5,5,3,6,7,4,8,8,7,1,6,3,6,8,2,2,3,4,2,3,6,8,3,5,8,2,7,7,8,7,5,4,61,7,,
54,54,59,54,54,58,54,54,54,4,54,54,54,54,54,54,54,56,54,54,54,54,54,54,54,54,54,54,2,60,54,54,54,54,54,3,54,54,1,54,54,54,54,55,54,54,54,54,6,54,54,57,5,54,54,54,54,54,54,61,54,,
13,46,59,32,21,50,44,34,26,5,55,33,16,57,20,42,60,40,37,19,8,17,49,48,11,41,51,22,24,9,27,23,12,36,54,39,10,29,35,47,56,28,3,1,14,2,4,53,58,15,18,31,6,30,38,52,43,7,25,61,45,,
31,36,43,54,32,47,42,18,15,17,50,10,37,60,41,14,59,39,7,22,3,6,27,53,25,52,49,29,16,5,33,38,12,34,56,21,9,35,4,26,58,13,1,19,23,8,30,57,40,11,45,55,2,44,28,46,51,20,24,61,48,,
50,28,40,45,28,58,30,23,40,20,50,35,30,49,30,30,59,45,22,25,1,14,28,47,26,36,40,48,12,3,40,45,40,52,56,18,10,19,4,40,49,21,8,15,29,2,30,40,40,30,30,60,17,35,30,55,44,27,30,61,50,,
32,19,60,52,16,48,50,38,42,8,47,13,21,31,10,23,58,26,11,30,5,18,14,46,2,37,56,17,6,9,27,24,12,53,49,22,28,44,25,40,35,33,1,7,34,4,36,39,55,20,51,59,3,41,45,54,43,15,30,61,57,,
