rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
0,8,0,0,0,0,0,0,1,0,9,0,0,0,6,0,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,7,5,0,0,35.0,Unknown
0,0,9,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,6,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,5,8,0,0,6,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,1,0,7,2,,Unknown
0,4,0,5,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,2,7,0,,Unknown
0,0,0,0,5,0,0,0,3,0,2,7,0,0,6,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,500,60,0,0,40,0,0,0,50,0,0,40,100,0,0,0,0,0,0,0,900,0,0,90,0,0,80,,Unknown
0,0,0,0,7,0,8,0,3,4,0,0,0,0,2,0,9,0,0,6,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,6,0,0,1,0,0,3,0,0,0,7,0,8,2,0,9,0,0,0,4,0,0,0,0,0,0,5,0,0,0,,Unknown
0,0,0,0,0,0,0,0,9,7,3,8,1,0,0,0,0,0,5,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,8,0,0,0,0,3,9,0,1,0,0,0,7,6,0,0,0,4,0,0,0,0,0,0,0,2,5,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
9,4,0,0,7,0,0,0,3,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,9,0,0,4,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,8,0,0,0,0,5,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,5,0,0,0,0,0,0,0,3,0,0,0,0,9,0,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,7,6,0,4,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,0,0,8,0,5,2,0,4,6,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unknown
0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,2,0,0,1,7,8,0,0,,Unknown
0,0,0,0,6,0,0,0,9,0,5,0,0,0,0,0,0,0,0,2,0,?,0,0,0,0,0,4,0,0,0,3,0,7,1,,Unknown
